変圧器容量 （kVA）,,10,,20,,30,50,75,100,150,200,300,500,,
,,,,,,,,,,,,,,,
,短絡インピーダンス（%）,2.2,,2.4,,2,2.5,1.8,2.3,2.6,2.9,3,3.1,,
,,,,,,,,,,,,,,,
定格二次電流（A）,,48,,95,,143,238,357,476,714,952,1429,2381,,
,,,,,,,,,,,,,,,
短絡電流（kA）,,2.2,,4.0,,7.1,9.5,19.8,20.7,27.5,32.8,47.6,76.8,,
,,,,,,,,,,,,,,,
"遮断容量（kA）
32AF",,2.5,EW32AAG,5,EW32SAG,10,,25,,36,,50,85,100,125
,,,,,,,,,,,,,,,
50AF,,,EW50AAG,,EW50EAG,EW50SAG,,EW50RAG,,EW50HAG,,,,,
,,,,,,,,,,,,,,,
63AF,,,,,EW63EAG,EW63SAG,,EW63RAG,,,,,,,
,,,,,,,,,,,,,,,
100AF,,,,,EW100AAG,EW100EAG,,,,,,,,,
125AF,,,,,EW125JAG,,,,,,,,EW125RAG,,EW125HAG
250AF,,,,,,EW250EAG,,,,,,EW250JAG,EW250RAG,,EW250HAG
400AF,,,,,,,,EW400EAG,,,,,EW400SAG,EW400RAG,EW400HAG
630AF,,,,,,,,,EW630EAG,,,,EW630RAG,,EW630HAG
,,,,,,,,,,,,,,,
800AF,,,,,,,,,,EW800EAG,,,EW800RAG,,EW800HAG
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
