配線用遮断器・漏電遮断器の選定,"電磁
接触器
形式",（a） 200-230V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,サーマル,,,電動機定格,,,,短絡容量  (kA),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"リレー
形式",,,出力 電流 始動,,,電流,2.5,,,,5,,,10,,,,25,,36,,50,,,85,,,100,,125,,,,
,SC-03,,,(kW),,(A),,"(A)
5.4",形式,BW32AAG,,"(A) 形式
3",,BW32SAG,"(A) 形式
3",,BW50SAG,,"(A) 形式
5",BW50RAG,"(A) 形式
10",BW125JAG,(A) 形式,,,"(A) 形式
15",,BW125RAG,(A) 形式,,15,(A) 形式,BW50HAG,,"(A)
15",
,,TR-0N,,,0.1 0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.2,,1.3,10.4,,,,5,,,5,,,,5,,10,,,,,15,,,,,15,,,,15,
,,,,,0.4,,2.3,18.4,,,,10,,,10,,,,10,,10,,,,,15,,,,,15,,,,15,
,,,,,,,3.5,23,,,,10,,,10,,,,10,,10,,,,,15,,,,,15,,,,15,
,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6.9,56,,,,20,,,20,,,,20,,20,,,,,20,,,,,20,,,,20,
,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,30,,,,30,,30,,,,,30,,,,,30,,,,30,
,,,,,2.2,,9.5,77,,,,30,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,40,,,,40,
,"SC-4-0
SC-N1
SC-N2","TR-5-1N
TR-N2",,,"3.7 15.5
5.5",,21,"139
203",BW50AAG 40,,,,,"BW50EAG 40
BW63EAG 60",,,BW63SAG 60,,40,BW63RAG,"40
60",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,50,,,,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.5 27.5,,,258,,,,,,BW100AAG 75,,BW100EAG,,,,,75,,,,,60,,,,,,60 BW125HAG,,,60,
,SC-N3,SC-N2S TR-N3,,,11,,40,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,100,,,,100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,,"54
68","516
548",,,,,,,,,,,,,,,,,125,,,,,,125,,,,125,
,"SC-N4
SC-N5A",TR-N5,,,18.5,,,,,,,,,,,,,,,,,,,,125,,,,,,125,,,,125,
,,,,,22,,"84
137 1170
166 1380","670
921",BW250EAG 125,,,,,,,,,,,,,,,,BW250JAG 125,,,,,,BW250RAG 125 BW250HAG 125,,,,,
,SC-N6,TR-N6,,,30,116,,,,,,,,,,,,,,,,,175,,175,,,,,,175,,,,175,
,SC-N7,TR-N7,,,37,,,,,,,,,,,,,,,,,,225,,225,,,,,,225,,,,225,
,,,,,,,,,,,,,,,,,,,,,,,250,,250,,,,,,250,,,,250,
,SC-N8,TR-N8,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC-N10 TR-N10,,,55,,200 1900,,,,,,,,,,,,,,,,,,BW400EAG 400 BW400SAG 400 BW400RAG 400 BW400HAG 400,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC-N11 TR-N12,,,75,,"270 2430
320 3040",,,,,,,,,,,,,,,,,,BW630EAG 500,,,,,,BW630RAG 500 BW630HAG 500,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,500,,,,500,
,,SC-N12 TR-N12,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,110,,380 3800,,,,,,,,,,,,,,,,,,630,,,,,,630,,,,630,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
