,,,,電動機定格,,,,,短絡容量  (kA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"電磁
接触器
形式
SC-03","サーマル
リレー",,出力 電流 始動,,,,,1.5,,,,2.5,,,7.5,,,,10,,,18,,30,,,36,,,50,,65,,,,70,,,
,,形式,,,,,,電流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(kW),,(A),,(A),形式,,,,(A) 形式,,(A) 形式,,,,(A) 形式,,,(A) 形式,,(A) 形式,,(A) 形式,,,,(A) 形式,,,(A) 形式,,,,(A) 形式,,,(A)
,,TR-0N,,,0.1 0.34,,,,2.7 BW32AAG,,,,3 BW32SAG,,,3 BW50SAG,,,5,BW50RAG,,10,,,BW125JAG,,15,,,,BW125RAG,15,,BW50HAG,,15,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SC-4-0,,,,0.2 0.68,,,5.4,,,,3,,,3,,,,5,BW63RAG,,10,,,,,15,,,,,15,,,,15,,,,
,,,,,,,1.2,9.6,,,,3,,,3,,,,5,,,10,,,,,15,,,,,15,,,,15,,,,
,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1.8,11.5,,,,5,,,5,,,,5,,,10,,,,,15,,,,,15,,,,15,,,,
,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,3.5,28,,,,10,,,10,,,,10,,,10,,,,,15,,,,,15,,,,15,,,,
,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.2,,"4.8
7.8","39
70
102",,,,15,,,15,,,,15,,,15,,,,,15,,,,,15,,,,15,,,,
,,"SC-0,05 TR-0N",,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,,,20,,,,20,,,20,,,,,20,,,,,20,,,,20,,,,
,,TR-5-1N,,,5.5 10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,30,,,30,,,,30,,,30,,,,,30,,,,,30,,,,30,,,,
,"SC-4-1,5-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.5 13.5,,20,190,129 BW50AAG 40 BW50EAG 40,,,,,BW63EAG 60 BW63SAG 60,,,,,40,,,"40
60",,,,,40,,,,,40,,,,40,,,,
,"SC-N1
SC-N2",TR-N2,,,11,,,,,,,,,,,,,,,,,,,,,,40,,,,,40,,,,40,,,,
,,,,,15,,27,258,,,,,,,,,,,BW100EAG,,,75,,,,,60,,,,,,60 BW125HAG,,,60,,,,
,,SC-N2S TR-N3,,,18.5,,34,274,,,,,,,,,,,,,,100,,,,,60,,,,,60,,,,60,,,,
,,,,,22,,42,335,,,,,,,,,,,,,,100,,,,,75,,,,,75,,,,75,,,,
,,,,,,,"58
69","461
585",,,,,,,,,,,,,,,,,,100,,,,,,100,,,,100,,,,
,"SC-N3
SC-N4
SC-N5A",,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,125,,,,125,,,,
,,TR-N5,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,BW250EAG 125,,BW250JAG 125,,,,,,BW250RAG 125 BW250HAG 125,,,,,,,,
,,,,,45,,"83
135 1215","690
950",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,175,,175,,,,,,175,,,,175,,,,
,"SC-N6
SC-N7
SC-N8","TR-N6
TR-N7",,,"55
75",100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,225,,225,,,,,,225,,,,225,,,,
,,TR-N8,,,90,,"160 1520
190 1900
226 2260",,,,,,,,,,,,,,,,,,,BW400EAG 350 BW400SAG 350 BW400RAG 350,,,BW630EAG 500 BW630RAG 500,,,,,,,,,"BW400HAG 350
BW630HAG 500",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC-N10 TR-N10,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,400,,400,,,,,,,,400
,,SC-N11 TR-N12,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
