,,,,,電動機定格,,,,短絡容量  (kA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"電磁
接触器
形式",,"サーマル
リレー",,出力 電流 始動,,,,1.5,,,2.5,,,,7.5,,,,10,,18,,30,,36,,,50,,65,,,,70,,,
,,,形式,,,,,電流,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,(kW),,(A),(A),形式,,(A) 形式,,,,(A) 形式,,,,(A) 形式,,(A) 形式,,(A) 形式,,,(A) 形式,,(A) 形式,,,(A) 形式,,,,(A) 形式,,,(A)
,SC-03,,TR-0N,,,0.1 0.34,,,2.7 EW32EAG,,,5 EW32SAG,,,,3 EW50SAG,,,5,EW50RAG,10,,,EW125JAG,15,,,,EW125RAG,15,,EW50HAG,,15,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.2 0.68,,5.4,,,5,,,,3,,,,5,,10,,,,15,,,,,15,,,,15,,,,
,,,,,,,,9.6,,,5,,,,3,,,,5,,10,,,,15,,,,,15,,,,15,,,,
,,,,,,0.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11.5,,,5,,,,5,,,,5,,10,,,,15,,,,,15,,,,15,,,,
,,,,,0.75,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,28,,,10,,,,10,,,,10,,10,,,,15,,,,,15,,,,15,,,,
,,,,,,1.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.2,4.8,39,,,15,,,,15,,,,15,,15,,,,15,,,,,15,,,,15,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"SC-0,05 TR-0N",,,,3.7,7.8,70,,,20,,,,20,,,,20,,20,,,,20,,,,,20,,,,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SC-4-0,,TR-5-1N,,,5.5 10.5,,102,,,30,,,,30,,,,30,,30,,,,30,,,,,30,,,,30,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"SC-4-1,5-1",,,,,7.5 13.5,,129,,,,,EW50EAG 40,,,,,,40,,40,,,,40,,,,,40,,,,40,,,,
,SC-N1,,TR-N2,,,11,20,190,,,,,EW63EAG 60 EW63SAG 60,,,,,,,EW63RAG,60,,,,40,,,,,40,,,,40,,,,
,SC-N2,,,,,15,27,258,,,,,,,,,,,EW100EAG,,75,,,,60,,,,,,60 EW125HAG,,,60,,,,
,,SC-N2S TR-N3,,,18.5,,34,274,,,,,,,,,,,,,100,,,,60,,,,,60,,,,60,,,,
,,,,,,22,42,335,,,,,,,,,,,,,100,,,,75,,,,,75,,,,75,,,,
,,,,,,,,461,,,,,,,,,,,,,,,,,100,,,,,100,,,,100,,,,
,SC-N3,,,,,30,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SC-N4,,,,,,,585,,,,,,,,,,,,,,,,,125,,,,,125,,,,125,,,,
,,,TR-N5,,,37,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SC-N5A,,,,,,,,,,,,,,,,,,,,,,,,EW250JAG 125,,,,,EW250RAG 125 EW250HAG 125,,,,,,,,
,,,,,,45,83,690,EW250EAG 125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,950,,,,,,,,,,,,,,,175,,175,,,,,175,,,,175,,,,
,SC-N6,,TR-N6,,,55,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SC-N7,,TR-N7,,,75,,135 1215,,,,,,,,,,,,,,,225,,225,,,,,225,,,,225,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SC-N8,,TR-N8,,,90,,160 1520,,,,,,,,,,,,,,,,,EW400EAG 350 EW400SAG 350 EW400RAG 350,,,,,,,,,,,EW400HAG 350,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC-N10 TR-N10,,,110,,,190 1900,,,,,,,,,,,,,,,,,400,,,400,,400,,,,,,,,400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC-N11 TR-N12,,,132,,,226 2260,,,,,,,,,,,,,,,,,,,EW630EAG 500 EW630RAG 500,,,,,,,,,EW630HAG 500,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
