,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"電磁
接触器
形式
SC-03",サーマル,,電動機定格,,,,,短絡容量  (kA),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"リレー
形式",,,出力 電流 始動,,,電流,1.5,,,2.5,,,7.5,,,,10,,,18,,30,,,36,,,50②,,65①③,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TK-0NH,,(kW),5.5 10.5,(A),,(A),"形式
102 BW50AAG",,,"(A) 形式
30 BW50EAG 30 BW50SAG 30",,(A) 形式,,,,(A) 形式,,BW50RAG,"(A)
30","形式
BW125JAG",(A),形式,(A),15,形式,BW125RAG,(A),形式,15,(A) 形式,BW50HAG,,"(A)
15",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TK-5-1NH,,,7.5 13.5,,,129,,,30,,,30,,,,30,,,30,,,,,20,,,,,20,,,,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TK-N2H,,,11,,20,190,,,40,,,40,,,,40,,,40,,,,,30,,,,,30,,,,30,
,SC-4-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,15,,27,258,,,,,BW63EAG 60 BW63SAG 60,,,,,,,BW63RAG,60,BW125JAK,,,,50,,BW125RAK,,,50,,BW125HAK,,50,
,,,TK-N3H 18.5,,,,34,274,,,,,,60,,,,60,,,60,,,,,60,,,,,60,,,,60,
,"SC-4-1
SC-N2
SC-N3",,,,22,,42,335,,,,,,,,,,BW100EAG,,,75,,,,,75,,,,,75,,,,75,
,,,,,30,,58,461,,,,,,,,,,,,,100,,,,,100,,,,,100,,,,100,
,,,,,37,,69,585,,,,,,,,,,,,BW100EAK 100,,,,,,100,,,,,100,,,,100,
,,,,,45,,83,690,,,,,,,,,,,,,,,BW250EAK 125 BW250JAK 125,,,,,,,,BW250RAK 125,,BW250HAK 125,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TK-N6H,,,55,100,,950,,,,,,,,,,,,,,,175,,,175,,,,,175,,,,175,
,,,,,,,135 1215,,,,,,,,,,,,,,,,,,BW400EAG 350 BW400SAG 350,,,,,,BW400RAG 350 BW400HAG① 350,,,,,
,SC-N4,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TK-N10H,,,90,,160 1520,,,,,,,,,,,,,,,,,,,400,,,400,,400,,,,400,
,,,,,,,190 1900,,,,,,,,,,,,,,,,,,,,,BW630EAG 500,,,BW630RAG 500 BW630HAG① 500,,,,,
,"SC-N6
SC-N8",,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TK-N12H,,,132,,226 2260,,,,,,,,,,,,,,,,,,,,,,600,,600,,,,600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,160,,280 2240,,,,,,,,,,,,,,,,,,,,,,600,,600,,,,600,
,SC-N10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BX630RAE② 500,,BX630HAE③ 500,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,200,,348 2854,,,,,,,,,,,,,,,,,,,,,,,,630,,,,630,
,,,,,220,,376 3140,,,,,,,,,,,,,,,,,,,,,,,,BX800RAE 480,,BX800HAE③ 480,,,
,,,,,250,,429 3380,,,,,,,,,,,,,,,,,,,,,,,,560,,,,560,
,,SC-N12 TK-N14H,,,300,,509 3700,,,,,,,,,,,,,,,,,,,,,,,,640,,,,640,
,,,,,315,,531 4010,,,,,,,,,,,,,,,,,,,,,,,,720,,,,720,
,,,,,,,596 4660,,,,,,,,,,,,,,,,,,,,,,,,760,,,,760,
,,−,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,631 5040,,,,,,,,,,,,,,,,,,,,,,,,800,,,,800,
,,−,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,注① BW400HAG、BW630HAG の遮断容量は 70kA です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"注② BX630RAE の遮断容量は AC440V　42kA、AC380/415V　50kA です。
注③ BX630/800HAE の遮断容量は AC440V　65kA、AC380/415V　70kA です。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
