,"電磁
接触器
形式",サーマル,,電動機定格,,,,短絡容量  (kA),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"リレー
形式",,,出力 電流,,"始動
電流",1.5,,2.5,,,,7.5,,,10,,,18,,,30,,36,,,,50,,65 ①,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(kW),,(A),(A),形式,(A) 形式,,,,(A) 形式,,,(A) 形式,,,(A) 形式,,,(A) 形式,,,(A) 形式,,,(A) 形式,,,(A) 形式,,,(A),
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SC-03,TK-0NH,,,5.5 10.5,,102,,,,EW50EAG,,30,,EW50SAG 30,,EW50RAG,,30,,EW125JAG,,,15,,,EW125RAG,,,15,,EW50HAG,,15,
,,,,,,,129,,,,,,30,,,30,,,30,,,,,20,,,,,,20,,,,20,
,,TK-5-1NH,,,7.5 13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,190,,,,,,40,,,40,,,40,,,,,30,,,,,,30,,,,30,
,,TK-N2H,,,11,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SC-4-0,,,,15,27,258,,,,EW63EAG,,60,,EW63SAG 60,,EW63RAG,,60,,EW125JAK,,,50,,,EW125RAK,,,,50 EW125HAK,,,50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TK-N3H 18.5,,,,34,274,,,,,,60,,,60,,,60,,,,,60,,,,,,60,,,,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SC-4-1,,,,22,42,335,,,,,,,,,,EW100EAG,,75,,,,,75,,,,,,75,,,,75,
,SC-N2,,,,30,58,461,,,,,,,,,,,,100,,,,,100,,,,,,100,,,,100,
,,,,,37,69,585,,,,,,,,,,,EW100EAK 100,,,,,,100,,,,,,100,,,,100,
,,,,,45,83,690,,,,,,,,,,,,,,EW250EAK 125,,,EW250JAK 125,,,,,,EW250RAK 125 EW250HAK 125,,,,,
,SC-N3,TK-N6H,,,55,100,950,,,,,,,,,,,,,,,175,,175,,,,,,175,,,,175,
,SC-N4,,,,75,,135 1215,,,,,,,,,,,,,,,,,EW400EAG 350 EW400SAG 350 EW400RAG 350 EW400HAG① 350,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TK-N10H,,,90,,160 1520,,,,,,,,,,,,,,,,,400,,,,400,,400,,,,400,
,,,,,,,190 1900,,,,,,,,,,,,,,,,,,,,EW630EAG 500 EW630RAG 500 EW630HAG① 500,,,,,,,,
,SC-N6,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TK-N12H,,132,,,226 2260,,,,,,,,,,,,,,,,,,,,,600,,600,,,,600,
,,,,,,,280 2240,,,,,,,,,,,,,,,,,,,,,600,,600,,,,600,
,SC-N8,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,注① EW400HAG、EW630HAG の遮断容量は 70kA です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
