配線用遮断器・漏電遮断器の選定,"電動機
kW の
合計",● AC200‒220V　三相誘導電動機の幹線用オートブレーカ，漏電遮断器の定格電流（A）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"最大
使用電流","電動機中最大容量のもの（kW）: 電動機容量
電動機中最大容量のもの（A）: 全負荷電流（内線規程の資料番号 3-7-3）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,（A 以下）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.75,,1.5,,2.2,,3.7,,5.5,,7.5,,11,,15,18.5,,22,30,,37,,45,,55,,75,,90,,110,
,（kW以下）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4.6,,"8
30",,"11.1
30",,16.8,,24.6,,34,,48,,64,79,,92,124,,152,,190,,228,,310,,360,,440,
,3,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.5,20,30,,30,,40,,50,,,,,,,,,,,,,,,,,,,,,,,,,
,6.3,30,40,,40,,40,,50,,75,,,,,,,,,,,,,,,,,,,,,,,
,8.2,40,50,,50,,50,,50,,75,,100,,,,,,,,,,,,,,,,,,,,,
,12,50,60,,60,,60,,60,,75,,100,,125,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.7,75,100,,100,,100,,100,,100,,100,,125,,150,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19.5,90,100,,100,,100,,100,,100,,125,,125,,150,175,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23.2,100,125,,125,,125,,125,,125,,125,,125,,150,175,,200,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"30
37.5","125
150","150
175",,"150
175",,"150
175",,"150
175",,"150
175",,"150
175",,"150
175",,"150
175","175
175",,"200
200",300,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,175,200,,200,,200,,200,,200,,200,,200,,200,200,,200,300,,350,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.5,200,225,,225,,225,,225,,225,,225,,225,,225,225,,225,300,,350,,400,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63.7,250,300,,300,,300,,300,,300,,300,,300,,300,300,,300,300,,350,,400,,500,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,300,350,,350,,350,,350,,350,,350,,350,,350,350,,350,350,,350,,400,,500,,,,,,,
,86.2,350,400,,400,,400,,400,,400,,400,,400,,400,400,,400,400,,400,,400,,500,,800,,,,,
,97.5,400,500,,500,,500,,500,,500,,500,,500,,500,500,,500,500,,500,,500,,500,,800,,900,,,
,112.5,450,500,,500,,500,,500,,500,,500,,500,,500,500,,500,500,,500,,500,,500,,800,,900,,900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,500,600,,600,,600,,600,,600,,600,,600,,600,600,,600,600,,600,,600,,600,,900,,900,,900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,600,700,,700,,700,,700,,700,,700,,700,,700,700,,700,700,,700,,700,,700,,900,,900,,900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175,700,800,,800,,800,,800,,800,,800,,800,,800,800,,800,800,,800,,800,,800,,900,,900,,1000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200,800,900,,900,,900,,900,,900,,900,,900,,900,900,,900,900,,900,,900,,900,,900,,900,,1000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
