,,,電動機中最大容量のもの（kW）：電動機容量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"電動機
kW の
合計
（kW以下）
3","最大
使用電流
（A 以下）",電動機中最大容量のもの（A）：全負荷電流（内線規程の資料番号 3‒7‒3）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.75,,1.5,,2.2,,3.7,,5.5,,7.5,,11,,15,18.5,22,,30,,37,,45,,55,,75,,90,,110,
,,,,2.3,4,,5.5,,8.4,,12.3,,17,,24,,32,39.5,,46,62,,76,,95,,114,,155,,180,,220,
,,7.5,,10,15,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.5,10,,15,15,,20,,30,,,,,,,,,,,,,,,,,,,,,,,,,
,6.3,15,,20,20,,20,,30,,40,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.2,20,,30,30,,30,,30,,40,,60,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,25,,30,30,,30,,40,,50,,60,,75,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15.7,37.5,,50,50,,50,,50,,50,,60,,100,,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19.5
23.2","45
50",,"50
60","50
60",,"50
60",,"50
60",,"50
60",,"75
75",,"100
100",,"125
125","125
125",,125,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,62.5,,75,75,,75,,75,,75,,75,,100,,125,125,,125,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37.5,75,,100,100,,100,,100,,100,,100,,100,,125,125,,125,150,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,87.5,,100,100,,100,,100,,100,,100,,100,,125,125,,125,150,,175,,,,,,,,,,,
,52.5,100,,125,125,,125,,125,,125,,125,,125,,125,125,,125,150,,175,,200,,,,,,,,,
,63.7,125,,150,150,,150,,150,,150,,150,,150,,150,150,,150,150,,175,,200,,250,,,,,,,
,75,150,,175,175,,175,,175,,175,,175,,175,,175,175,,175,175,,175,,200,,250,,,,,,,
,86.2,175,,200,200,,200,,200,,200,,200,,200,,200,200,,200,200,,200,,200,,250,,350,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.5,200,,225,225,,225,,225,,225,,225,,225,,225,225,,225,225,,225,,225,,250,,350,,400,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112.5,225,,250,250,,250,,250,,250,,250,,250,,250,250,,250,250,,250,,250,,250,,350,,400,,500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,125,250,,300,300,,300,,300,,300,,300,,300,,300,300,,300,300,,300,,300,,300,,350,,400,,500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,150,300,,350,350,,350,,350,,350,,350,,350,,350,350,,350,350,,350,,350,,350,,350,,400,,500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"175
200","350
400",,"400
500","400
500",,"400
500",,"400
500",,"400
500",,"400
500",,"400
500",,"400
500","400
500",,"400
500","400
500",,"400
500",,"400
500",,"400
500",,"400
500",,"400
500",,"500
500",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,（注 1）遮断器の定格電流選定は次の条件で行いました。,,,,,,,,,,,,,,,,（注 2）表の負荷 kW の合計の意味は同時に運転される電動機および一般負荷設備容量の合計です。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,・需要率 100% とします。,,,,,,,,,,,,,,,,電動機中最大のものとはこれら設備中最大容量の電動機容量を示します。,,,,,,,,,,,,,,,,
,,"・電動機の全負荷電流は内線規程の資料番号 3‒7‒3 の規約電流とします。
・電動機の始動電流は全負荷電流の 900% 以内、始動時間は 6 秒以下、",,,,,,,,,,,,,,,,"設備容量の合計が 90kW、その中で最大容量の電動機が 15kW の場合、たて軸の 97.5kW
以下と横軸の 15kW の交点の欄の定格電流のものを選定します。",,,,,,,,,,,,,,,,
