,,,,,,,,,,,,,,,,,,
,"電磁
接触器",,電動機定格,,"遮断器
定格電流
（A）",,短絡容量（kA）,,,,,,,,,,,
,,,,"電流
（A）",,,,,,,,,,,,,,
,形式,,"出力
（kW）",,,,1.5,,2.5,,7.5,10,,18,,30,50,
,,,,,,,遮断器形式,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,SC-03,,0.2,0.65,,0.7,BW32AAM,,BW32SAM,,BW50SAM,,,,,,,
,,,,,,,,EW32EAM,EW32SAM,,EW50SAM,,,,,,,
,,,0.4,1.15,,1.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,0.75,1.8,,2,,,,,,,,,,,,
,,,1.5,3.5,,4,,,,,,,,,,,,
,,,2.2,4.8,,5,,,,,,,,,,,,
,"SC-0,05",,3.7,7.8,,10,,,,,,,,,,,,
,SC-4-0,,5.5,10.5,,12,,,,,,,BW50RAM,,,,,
,"SC-4-1,5-1",,7.5,13.5,,16,,,,,,,EW50RAM,,BW125JAM,,BW125RAM,
,,,,,,24,,,,,,,,,,,,
,SC-N1,,11,20,,,,,,,,,,,EW125JAM,,,EW125RAM
,,,,,,32,,,,,,,,,,,,
,SC-N2,,15,27,,,,,,,,,,,,,,
,,,,,,45,,"BW50EAM
EW50EAM",,,,,,,,,,
,SC-N2S,,18.5,34,,,,,,,,,,,,,,
,SC-N2S,,,,,,,,,,,,,,,,,
,,,22,42,,45,,,,,,,,,,,,
,SC-N3,,30,58,,75,,,,,,,"BW100EAM
EW100EAM",,,,,
,,,,,,,,,,,,,,,,,,
,SC-N4,,37,69,,90,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"SC-N5,N5A",,45,83,,90,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,SC-N6,,55,100,,125,,,,,,,,,"BW250EAM
EW250EAM","BW250JAM
EW250JAM",,"BW250RAM
EW250RAM"
,SC-N7,,75,136,,150,,,,,,,,,,,,
,SC-N8,,90,166,,175,,,,,,,,,,,,
,SC-N10,,110,190,,225,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,始動条件,,,,,,,,,,,,,,,,,
