"電灯・電熱回路の選定
4.8  電灯・電熱回路の選定
定格電流は最大使用電流の 1.25 倍以上のものを選びます。
（内線規程 3605‒3 の 3：「連続負荷を有する分岐回路の負荷容量は、その分岐回路を保護する過
電流遮断器の定格電流の 80% を超えないこと。」としています。）",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"回路の
配線用
短絡容量（kV）
FABまたはELB",,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
4,● 200 〜 230V,,,,,,,,,,,,,"L
L
L",,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"最大
使用電流",,"ブレーカ
の定格",,回路の短絡容量（kA）（引込口の短絡電流が下記以下の範囲で使用ください。）,,,,,,,,,,,,,,,,
,（A）,電流,,,,,,,,,,,,,,,,,,,
,,,,2.5,,5,,10,,25,36,50,85,,,,100,,125,,
,,（A）,,,,,,,,,,,,,,,,,,,
,12,15,,□ W32AAG‒ ○ P015,,□ W32SAG‒ ○ P015,,□ W50SAG‒ ○ P015,,□ W50RAG‒ ○ P015,□ W125JAG‒ ○ P015,,□ W125RAG‒ ○ P015,,,,,,□ W50HAG‒ ○ P015,,
,16,20,,□ W32AAG‒ ○ P020,,□ W32SAG‒ ○ P020,,□ W50SAG‒ ○ P020,,□ W50RAG‒ ○ P020,□ W125JAG‒ ○ P020,,□ W125RAG‒ ○ P020,,,,,,□ W50HAG‒ ○ P020,,
,,,,,,,,,,,,,,,,,,,,,
,24,30,,□ W32AAG‒ ○ P030,,□ W32SAG‒ ○ P030,,□ W50SAG‒ ○ P030,,□ W50RAG‒ ○ P030,□ W125JAG‒ ○ P030,,□ W125RAG‒ ○ P030,,,,,,□ W50HAG‒ ○ P030,,
,,,,,,,,,,,,,,,,,,,,,
,32,40,,□ W50AAG‒ ○ P040,,□ W50EAG‒ ○ P040,,□ W50SAG‒ ○ P040,,□ W50RAG‒ ○ P040,□ W125JAG‒ ○ P040,,□ W125RAG‒ ○ P040,,,,,,□ W50HAG‒ ○ P040,,
,,,,,,,,,,,,,,,,,,,,,
,40,50,,□ W50AAG‒ ○ P050,,□ W50EAG‒ ○ P050,,□ W50SAG‒ ○ P050,,□ W50RAG‒ ○ P050,□ W125JAG‒ ○ P050,,□ W125RAG‒ ○ P050,,,,,,□ W50HAG‒ ○ P050,,
,,,,,,,,,,,,,,,,,,,,,
配線用遮断器・漏電遮断器の選定,48,60,,□ W63EAG‒ ○ P060,,,,□ W63SAG‒ ○ P060,,□ W63RAG‒ ○ P060,□ W125JAG‒ ○ P060,,□ W125RAG‒ ○ P060,,,,,,□ W125HAG‒ ○ P060,,
,60,75,,□ W100AAG‒ ○ P075,,,,□ W100EAG‒ ○ P075,,,□ W125JAG‒ ○ P075,,□ W125RAG‒ ○ P075,,,,,,□ W125HAG‒ ○ P075,,
,,,,,,,,,,,,,,,,,,,,,
,80,100,,□ W100AAG‒ ○ P100,,,,□ W100EAG‒ ○ P100,,,□ W125JAG‒ ○ P100,,□ W125RAG‒ ○ P100,,,,,,□ W125HAG‒ ○ P100,,
,,,,,,,,,,,,,,,,,,,,,
,100,125,,□ W125JAG‒ ○ P125,,,,,,,,,□ W125RAG‒ ○ P125,,,,,,□ W125HAG‒ ○ P125,,
,,,,,,,,,,,,,,,,,,,,,
,120,150,,□ W250EAG‒ ○ P150,,,,,,,,□ W250JAG‒ ○ P150,□ W250RAG‒ ○ P150,,,,,,□ W250HAG‒ ○ P150,,
,140,175,,□ W250EAG‒ ○ P175,,,,,,,,□ W250JAG‒ ○ P175,□ W250RAG‒ ○ P175,,,,,,□ W250HAG‒ ○ P175,,
,160,200,,□ W250EAG‒ ○ P200,,,,,,,,□ W250JAG‒ ○ P200,□ W250RAG‒ ○ P200,,,,,,□ W250HAG‒ ○ P200,,
,180,225,,□ W250EAG‒ ○ P225,,,,,,,,□ W250JAG‒ ○ P225,□ W250RAG‒ ○ P225,,,,,,□ W250HAG‒ ○ P225,,
,200,250,,□ W250EAG‒ ○ P250,,,,,,,,□ W250JAG‒ ○ P250,□ W250RAG‒ ○ P250,,,,,,□ W250HAG‒ ○ P250,,
,240,300,,□ W400EAG‒ ○ P300,,,,,,,,,□ W400SAG‒ ○ P300,,,,□ W400RAG‒ ○ P300,,□ W400HAG‒ ○ P300,,
,,,,,,,,,,,,,,,,,,,,,
,280,350,,□ W400EAG‒ ○ P350,,,,,,,,,□ W400SAG‒ ○ P350,,,,□ W400RAG‒ ○ P350,,□ W400HAG‒ ○ P350,,
,,,,,,,,,,,,,,,,,,,,,
,320,400,,□ W400EAG‒ ○ P400,,,,,,,,,□ W400SAG‒ ○ P400,,,,□ W400RAG‒ ○ P400,,□ W400HAG‒ ○ P400,,
,,,,,,,,,,,,,,,,,,,,,
,400,500,,□ W630EAG‒3P500,,,,,,,,,□ W630RAG‒3P500,,,,,,□ W630HAG‒3P500,,
,,,,,,,,,,,,,,,,,,,,,
,480,600,,□ W630EAG‒3P600,,,,,,,,,□ W630RAG‒3P600,,,,,,□ W630HAG‒3P600,,
,560,700,,□ W800EAG‒3P700,,,,,,,,,□ W800RAG‒3P700,,,,,,□ W800HAG‒3P700,,
,,,,,,,,,,,,,,,,,,,,,
,640,800,,□ W800EAG‒3P800,,,,,,,,,□ W800RAG‒3P800,,,,,,□ W800HAG‒3P800,,
,,,,,,,,,,,,,,,,,,,,,
