,"最大
使用電流
（A）","電流
（A）","ブレーカ
の定格",回路の短絡容量（kA）（引込口の短絡電流が下記以下の範囲で使用ください。）,,,,,,,,,,,,,,
,,,,1.5,,2.5,,7.5,,10,18,30,36,,50,,65,
,,,,,,,,,,,,,,,,,,
,12,15,,"BW32AAG‒ ○ P015
EW32EAG‒ ○ P015",,□ W32SAG‒ ○ P015,,□ W50SAG‒ ○ P015,,□ W50RAG‒ ○ P015,□ W125JAG‒ ○ P015,,,□ W125RAG‒ ○ P015,,,□ W50HAG‒ ○ P015,
,,,,,,,,,,,,,,,,,,
,16,20,,"BW32AAG‒ ○ P020
EW32EAG‒ ○ P020",,□ W32SAG‒ ○ P020,,□ W50SAG‒ ○ P020,,□ W50RAG‒ ○ P020,□ W125JAG‒ ○ P020,,,□ W125RAG‒ ○ P020,,,□ W50HAG‒ ○ P020,
,,,,,,,,,,,,,,,,,,
,24,30,,"BW32AAG‒ ○ P030
EW32EAG‒ ○ P030",,□ W32SAG‒ ○ P030,,□ W50SAG‒ ○ P030,,□ W50RAG‒ ○ P030,□ W125JAG‒ ○ P030,,,□ W125RAG‒ ○ P030,,,□ W50HAG‒ ○ P030,
,32,40,,BW50AAG‒ ○ P040,,□ W50EAG‒ ○ P040,,□ W50SAG‒ ○ P040,,□ W50RAG‒ ○ P040,□ W125JAG‒ ○ P040,,,□ W125RAG‒ ○ P040,,,□ W50HAG‒ ○ P040,
,,,,EW50EAG‒ ○ P040,,,,,,,,,,,,,,
,40,50,,BW50AAG‒ ○ P050,,□ W50EAG‒ ○ P050,,□ W50SAG‒ ○ P050,,□ W50RAG‒ ○ P050,□ W125JAG‒ ○ P050,,,□ W125RAG‒ ○ P050,,,□ W50HAG‒ ○ P050,
,,,,EW50EAG‒ ○ P050,,,,,,,,,,,,,,
,48,60,,,□ W63EAG‒ ○ P060,,,□ W63SAG‒ ○ P060,,□ W63RAG‒ ○ P060,□ W125JAG‒ ○ P060,,,□ W125RAG‒ ○ P060,,,□ W125HAG‒ ○ P060,
,60,75,,□ W100EAG‒ ○ P075,,,,,,,□ W125JAG‒ ○ P075,,,□ W125RAG‒ ○ P075,,,□ W125HAG‒ ○ P075,
,80,100,,□ W100EAG‒ ○ P100,,,,,,,□ W125JAG‒ ○ P100,,,□ W125RAG‒ ○ P100,,,□ W125HAG‒ ○ P100,
,100,125,,□ W125JAG‒ ○ P125,,,,,,,,,,□ W125RAG‒ ○ P125,,,□ W125HAG‒ ○ P125,
,,,,,,,,,,,,,,,,,,
,120,150,,□ W250EAG‒ ○ P150,,,,,,,,□ W250JAG‒ ○ P150,,□ W250RAG‒ ○ P150,,,□ W250HAG‒ ○ P150,
,,,,,,,,,,,,,,,,,,
,140,175,,□ W250EAG‒ ○ P175,,,,,,,,□ W250JAG‒ ○ P175,,□ W250RAG‒ ○ P175,,,□ W250HAG‒ ○ P175,
,,,,,,,,,,,,,,,,,,
,160,200,,□ W250EAG‒ ○ P200,,,,,,,,□ W250JAG‒ ○ P200,,□ W250RAG‒ ○ P200,,,□ W250HAG‒ ○ P200,
,,,,,,,,,,,,,,,,,,
,180,225,,□ W250EAG‒ ○ P225,,,,,,,,□ W250JAG‒ ○ P225,,□ W250RAG‒ ○ P225,,,□ W250HAG‒ ○ P225,
,200,250,,□ W250EAG‒ ○ P250,,,,,,,,□ W250JAG‒ ○ P250,,□ W250RAG‒ ○ P250,,,□ W250HAG‒ ○ P250,
,,,,,,,,,,,,,,,,,,
,240,300,,□ W400EAG‒ ○ P300,,,,,,,,,,□ W400SAG‒ ○ P300,□ W400RAG‒ ○ P300,,□ W400HAG‒ ○ P300,
,,,,,,,,,,,,,,,,,,
,280,350,,□ W400EAG‒ ○ P350,,,,,,,,,,□ W400SAG‒ ○ P350,□ W400RAG‒ ○ P350,,□ W400HAG‒ ○ P350,
,320,400,,□ W400EAG‒ ○ P400,,,,,,,,,,□ W400SAG‒ ○ P400,,□ W400RAG‒ ○ P400,□ W400HAG‒ ○ P400,
,400,500,,□ W630EAG‒3P500,,,,,,,,,,,□ W630RAG‒3P500,,□ W630HAG‒3P500,
,480,600,,□ W630EAG‒3P600,,,,,,,,,,,□ W630RAG‒3P600,,□ W630HAG‒3P600,
,560,700,,□ W800EAG‒3P700,,,,,,,,,,,□ W800RAG‒3P700,,□ W800HAG‒3P700,
,640,800,,□ W800EAG‒3P800,,,,,,,,,,,□ W800RAG‒3P800,,□ W800HAG‒3P800,
,,,,,,,,,,,,,,,,,,
,備考：連続負荷とは「常時 3 時間以上連続して使用されるもの」と定義しています。,,,,,,,,,,,,,,,,,
,"備考 1：形式の□部は MCCB の場合 B、ELCB の場合 E となります。
備考 2：形式の○部は極数となります。 2 極の場合：2　3 極の場合：3",,,,,,,,,,,,,,,,,
