定格,● 1 φコンデンサ設備容量に対するブレーカ定格電流適用例,定格,,定格,,定格,,,,,,,,,,MC 形式,
,,,,,,,,定格,,定格,,,,MCCB,,,
,,,,,,,,,,,,,,,,,
"周波数
（Hz）
50
4
配線用遮断器・漏電遮断器の選定",,"電圧
（V）
200",,設備容量,,電流,,コンデンサ容量,,,直列リアクトル容量　6%,,,ELCB,,（参考）,
,,,,（kvar）,,（A）,,（kvar）,（μF）,（kvar）,,（mH）,,定格電流,,,
,,,,1.34,,6.7,,1.43,100,0.09,,6.06,,"（A）
10",,SC-0,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,2.67,,13.4,,2.84,200,0.17,,3.04,,20,,SC-4-0,
,,,,,,,,,,,,,,,,,
,,,,3.34,,16.7,,3.55,250,0.21,,2.43,,30,,SC-4-1,
,,,,,,,,,,,,,,,,,
,,,,4.01,,20.1,,4.27,300,0.26,,2.03,,30,,SC-5-1,
,,,,5,,25.0,,5.32,374,0.32,,1.63,,40,,SC-N1,
,,,,10,,50.0,,10.64,748,0.64,,0.81,,75,,SC-N2S,
,,,,15,,75.0,,15.96,"1,122",0.96,,0.54,,125,,SC-N4,
,,,,20,,100.0,,21.28,"1,496",1.28,,0.41,,150,,SC-N6,
,,,,25,,125.0,,26.60,"1,870",1.60,,0.33,,200,,SC-N7,
,,,,,,,,,,,,,,,,,
,,,,30,,150.0,,31.91,"2,244",1.91,,0.27,,225,,SC-N8,
,,,,,,,,,,,,,,,,,
,,,,40,,200.0,,42.55,"2,992",2.55,,0.20,,300,,SC-N11,
,,,,,,,,,,,,,,,,,
,,,,50,,250.0,,53.19,"3,740",3.19,,0.16,,400,,SC-N12,
,,,,,,,,,,,,,,,,,
,,,,75,,375.0,,79.79,"5,610",4.79,,0.11,,600,,SC-N14,
,,,,100,,500.0,,106.38,"7,480",6.38,,0.08,,800,,SC-N16,
,,,,,,,,,,,,,,,,,
,,,,150,,750.0,,159.57,"11,220",9.57,,0.05,,1200,,,
,,,,,,,,,,,,,,,,,
,,,,200,,1000.0,,212.77,"14,961",12.77,,0.04,,1500,,,
,,,,300,,1500.0,,319.15,"22,441",19.15,,0.03,,2500,,,
,,400,,1.07,,2.7,,1.14,20,0.07,,30.38,,5,,SC-03,
,,,,1.60,,4.0,,1.70,30,0.10,,20.32,,10,,SC-03,
,,,,2.67,,6.7,,2.84,50,0.17,,12.18,,10,,SC-0,
,,,,4.01,,10.0,,4.27,75,0.26,,8.11,,15,,SC-05,
,,,,,,,,,,,,,,,,,
,,,,5,,12.5,,5.32,94,0.32,,6.50,,20,,SC-4-0,
,,,,,,,,,,,,,,,,,
,,,,10,,25.0,,10.64,187,0.64,,3.25,,40,,SC-N1,
,,,,,,,,,,,,,,,,,
,,,,15,,37.5,,15.96,281,0.96,,2.17,,60,,SC-N2,
,,,,,,,,,,,,,,,,,
,,,,20,,50.0,,21.28,374,1.28,,1.63,,75,,SC-N2S,
,,,,25,,62.5,,26.60,468,1.60,,1.30,,100,,SC-N3,
,,,,,,,,,,,,,,,,,
,,,,30,,75.0,,31.91,561,1.91,,1.08,,125,,SC-N4,
,,,,,,,,,,,,,,,,,
,,,,40,,100.0,,42.55,748,2.55,,0.81,,150,,SC-N6,
,,,,,,,,,,,,,,,,,
,,,,50,,125.0,,53.19,935,3.19,,0.65,,200,,SC-N7,
,,,,75,,187.5,,79.79,"1,403",4.79,,0.43,,300,,SC-N11,
,,,,100,,250.0,,106.38,"1,870",6.38,,0.33,,400,,SC-N14,
,,,,150,,375.0,,159.57,"2,805",9.57,,0.22,,600,,SC-N16,
,,,,200,,500.0,,212.77,"3,740",12.77,,0.16,,800,,SC-N16,
,,,,300,,750.0,,319.15,"5,610",19.15,,0.11,,1200,,,
,,,,,,,,,,,,,,,,,
60,,220,,0.97,,4.4,,1.03,50,0.06,,12.17,,10,,SC-03,
,,,,,,,,,,,,,,,,,
,,,,1.94,,8.8,,2.06,100,0.12,,6.08,,15,,SC-0,
,,,,,,,,,,,,,,,,,
,,,,2.91,,13.2,,3.10,150,0.19,,4.06,,20,,SC-0,
,,,,,,,,,,,,,,,,,
,,,,3.88,,17.6,,4.13,200,0.25,,3.04,,30,,SC-4-1,
,,,,5,,22.7,,5.32,258,0.32,,2.36,,40,,SC-N1,
,,,,,,,,,,,,,,,,,
,,,,10,,45.5,,10.64,515,0.64,,1.18,,75,,SC-N2S,
,,,,,,,,,,,,,,,,,
,,,,15,,68.2,,15.96,773,0.96,,0.79,,125,,SC-N4,
,,,,20,,90.9,,21.28,"1,030",1.28,,0.59,,150,,SC-N6,
,,,,25,,113.6,,26.60,"1,288",1.60,,0.47,,200,,SC-N7,
,,,,30,,136.4,,31.91,"1,546",1.91,,0.39,,225,,SC-N8,
,,,,40,,181.8,,42.55,"2,061",2.55,,0.30,,300,,SC-N11,
,,,,50,,227.3,,53.19,"2,576",3.19,,0.24,,400,,SC-N11,
,,,,,,,,,,,,,,,,,
,,,,75,,340.9,,79.79,"3,864",4.79,,0.16,,600,,SC-N14,
,,,,,,,,,,,,,,,,,
,,,,100,,454.5,,106.38,"5,152",6.38,,0.12,,800,,SC-N14,
,,,,,,,,,,,,,,,,,
,,,,150,,681.8,,159.57,"7,728",9.57,,0.08,,1200,,,
,,,,,,,,,,,,,,,,,
,,,,200,,909.1,,212.77,"10,303",12.77,,0.06,,1500,,,
,,,,300,,1363.6,,319.15,"15,455",19.15,,0.04,,2500,,,
,,,,,,,,,,,,,,,,,
,,440,,1.55,,3.5,,1.65,20,0.10,,30.45,,5,,SC-03,
,,,,,,,,,,,,,,,,,
,,,,2.33,,5.3,,2.48,30,0.15,,20.26,,10,,SC-0,
,"（備考 1）ブレーカの定格電流はコンデンサの定格電流値の 1.5 倍または投入後 0.01 秒の過渡突入電流実効値 + コンデンサ定格電流実効値の値の 10 分の 1 の値の大きい方の値を基準にしてその値の直近
上位値から選定しています。（JISC4901 解説 IV. コンデンサ使用上の指針 d）より選定）
（備考 2）自動力率調整など複数のコンデンサバンクの切換えを行う場合は別に電磁接触器を使用して開閉してください。また、直列リアクトルは必ず使用してください。この場合、主幹用ブレーカの定
格電流はコンデンサ容量の総和を求め、選定してください。",,,,,,,,,,,,,,,,
,,,,3.11,,7.1,,3.31,40,0.20,,15.18,,10,,SC-0,
,,,,3.88,,8.8,,4.13,50,0.25,,12.17,,15,,SC-4-0,
,,,,5,,11.4,,5.32,64,0.32,,9.44,,20,,SC-4-0,
,,,,10,,22.7,,10.64,129,0.64,,4.72,,40,,SC-N1,
,,,,15,,34.1,,15.96,193,0.96,,3.15,,60,,SC-N2,
,,,,20,,45.5,,21.28,258,1.28,,2.36,,75,,SC-N2S,
,,,,,,,,,,,,,,,,,
,,,,25,,56.8,,26.60,322,1.60,,1.89,,100,,SC-N3,
,,,,,,,,,,,,,,,,,
,,,,30,,68.2,,31.91,386,1.91,,1.57,,125,,SC-N4,
,,,,,,,,,,,,,,,,,
,,,,40,,90.9,,42.55,515,2.55,,1.18,,150,,SC-N6,
,,,,,,,,,,,,,,,,,
,,,,50,,113.6,,53.19,644,3.19,,0.94,,175,,SC-N7,
,,,,75,,170.5,,79.79,966,4.79,,0.63,,300,,SC-N11,
,,,,,,,,,,,,,,,,,
,,,,100,,227.3,,106.38,"1,288",6.38,,0.47,,350,,SC-N12,
,,,,,,,,,,,,,,,,,
,,,,150,,340.9,,159.57,"1,932",9.57,,0.31,,600,,SC-N14,
,,,,200,,454.5,,212.77,"2,576",12.77,,0.24,,700,,SC-N16,
,,,,300,,681.8,,319.15,"3,864",19.15,,0.16,,1000,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
