● 3 相変圧器　400‒440V/210V,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"変圧器容量（kVA）
In 定格一次電流（rms A）",,,,"0.5
0.7",,"1.0
1.3",,"1.5
2","2.0
2.6","3.0
3.9",,,"5.0
6.6","7.5
9.8",,,"10
13.1"
,,,,,,,,,,,,,,,,,
"440V における
短絡電流
配線用遮断器・漏電遮断器の選定",Irush：励磁突入電流（rms A）,,,15.4,,30.8,,46.3,61.7,92.5,,,154.2,231.3,,,308.4
,,,,,,,,,,,,,,,,,
,,,1.5（kA） BW32AAG‒3P003,,,BW32AAG‒3P005,,,BW32AAG‒3P010,,,,BW50SAT‒3P015,,,BW32SAT‒3P020,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,2.5（kA） BW32SAG‒3P003,,,BW32SAG‒3P005,,,BW32SAG‒3P010,,,,BW50SAT‒3P015,,,BW32SAT‒3P020,
,,,7.5（kA）,BW50SAG‒3P005,,,,,BW50SAG‒3P010,,,,BW50SAT‒3P015,,,BW50SAT‒3P020,
,,,10（kA）,BW50RAG‒3P010,,,,,,,,BW50RAG‒3P020,,,,BW50RAG‒3P040,
,,,18（kA）,BW125JAG‒3P015,,,,,,,,,,,,,
,,,30（kA）,BW125JAG‒3P015,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,36（kA）,BW125RAG‒3P015,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,50（kA）,BW125RAG‒3P015,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,65（kA）,,BW50HAG-3P015,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"変圧器容量（kVA）
In 定格一次電流（rms A）",,,,,"15
19.7",,"20
26.2","30
39.4","50
65.6",,"75
98.4",,"100
131.2",,"150
196.8",,"200
262.4"
,,,,,,,,,,,,,,,,,
Irush：励磁突入電流（rms A）,,,,,462.5,,616.7,708.6,1180.9,,1771.4,,2361.9,,3542.8,,4723.8
,,,,,,,,,,,,,,,,,
"440V における
短絡電流",,,1.5（kA）,,BW32SAT‒3P030,BW50SAT‒3P040,,BW100EAT‒3P060,BW100EAT‒3P090,,BW250EAT‒3P125,,BW250EAT‒3P150,,BW250EAT‒3P225,BW400EAT‒3P350,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,2.5（kA）,,BW32SAT‒3P030,BW50SAT‒3P040,,BW100EAT‒3P060,BW100EAT‒3P090,,BW250EAT‒3P125,,BW250EAT‒3P150,,BW250EAT‒3P225,BW400EAT‒3P350,
,,,7.5（kA）,,BW32SAT‒3P030,BW50SAT‒3P040,,BW100EAT‒3P060,BW100EAT‒3P090,,BW250EAT‒3P125,,BW250EAT‒3P150,,BW250EAT‒3P225,BW400EAT‒3P350,
,,,10（kA）,,BW50RAG‒3P050,BW100EAG‒3P060,,BW100EAT‒3P060,BW100EAT‒3P090,,BW250EAT‒3P125,,BW250EAT‒3P150,,BW250EAT‒3P225,BW400EAT‒3P350,
,,,18（kA）,BW125JAG‒3P060,,BW125JAT‒3P060,,,BW125JAT‒3P090,,BW250EAT‒3P125,,BW250EAT‒3P150,,BW250EAT‒3P225,BW400EAT‒3P350,
,,,30（kA）,BW125JAG‒3P060,,BW125JAT‒3P060,,,BW125JAT‒3P090,,BW250RAT‒3P125,,BW250RAT‒3P150,,BW250RAT‒3P225,BW400EAT‒3P350,
,,,,,,,,,,,,,,,,,
,,,36（kA） BW125RAG‒3P060,,,BW125RAG‒3P100,,,BW250RAT‒3P125,,BW250RAT‒3P125,,BW250RAT‒3P150,,BW250RAT‒3P225,BW400RAT‒3P350,
,,,,,,,,,,,,,,,,,
,,,50（kA） BW125RAG‒3P060,,,BW125RAG‒3P100,,,BW250RAT‒3P125,,BW250RAT‒3P125,,BW250RAT‒3P150,,BW250RAT‒3P225,BW400RAT‒3P350,
,,,,,,,,,,,,,,,,,
,,,65（kA）,BW125HAG-3P060,,BW125HAG‒3P100,,,BW250HAG‒3P150,,BW250HAG‒3P225,,BW400HAG‒3P300,,BW630HAG‒3P500,,−
,,,,,,,,,,,,,,,,,
