変圧器容量（kVA）,,,,0.5,,1.0,,1.5,2.0,3.0,,5.0,,7.5,,10,
In 定格一次電流（rms A）,,,,1.312,,2.624,,3.936,5.249,,7.873,,13.122,,19.682,,26.243
Irush：励磁突入電流（rms A）,,,,30.836,,61.672,,92.507,123.343,,185.015,,308.358,,462.536,,616.715
220V における,,,2.5（kA）,BW32AAG‒3P005,,BW32AAG‒3P010,,,BW32AAG‒3P015,,BW32SAT‒3P015,,BW32SAT‒3P020,,BW32SAT‒3P030,BW50SAT‒3P040,
,,,,,,,,,,,,,,,,,
短絡電流,,,5（kA）,BW32SAG‒3P005,,BW32SAG‒3P010,,,BW32SAG‒3P015,,BW32SAT‒3P015,,BW32SAT‒3P020,,BW32SAT‒3P030,BW32SAT‒3P040,
,,,,,,,,,,,,,,,,,
,,,10（kA）,BW50SAG‒3P010,,,,,BW50SAG‒3P015,,BW50SAT‒3P015,,BW50SAT‒3P020,,BW50SAT‒3P030,BW50SAT‒3P040,
,,,,,,,,,,,,,,,,,
,,,25（kA）,BW50RAG‒3P010,,,,,BW50RAG‒3P015,,BW50RAG‒3P020,,BW50RAG‒3P040,,BW50RAG‒3P050,BW100EAG‒3P060,
,,,,,,,,,,,,,,,,,
,,,36（kA）,,,,,,,,,,BW125JAG‒3P015,,BW125JAG‒3P060,BW125JAT‒3P060,
,,,,,,,,,,,,,,,,,
,,,50（kA）,BW125JAG‒3P015,,,,,,,,,,,BW125JAG‒3P060,BW125JAT‒3P060,
,,,85（kA）,BW125RAG‒3P015,,,,,,,,,,,BW125RAG‒3P060,BW125RAG‒3P100,
,,,,,,,,,,,,,,,,,
,,,100（kA）,BW125RAG‒3P015,,,,,,,,,,,BW125RAG‒3P060,BW125RAG‒3P100,
,,,,,,,,,,,,,,,,,
,,,125（kA）,BW50HAG-3P015,,,,,,,,,,,BW125HAG‒3P060,BW125HAG‒3P100,
,,,,,,,,,,,,,,,,,
,変圧器容量（kVA）,,,15,,20,,30,50,75,,100,,,150,,200
,,,,,,,,,,,,,,,,,
In 定格一次電流（rms A）,,,,39.365,,52.486,,78.730,131.216,196.824,,262.432,,393.648,,524.864,
Irush：励磁突入電流（rms A）,,,,,925.073,,1233.430,1417.132,2361.887,,3542.831,,4723.775,,7085.662,,9447.550
220V における,,,2.5（kA）,,BW50SAT‒3P050,BW100EAT‒3P075,,BW100EAT‒3P100,BW250EAT‒3P150,,BW400EAT‒3P250,,BW400EAT‒3P300,,BW630EAT-3P500,BX800RAE-3P800,
,,,,,,,,,,,,,,,,,
短絡電流,,,5（kA）,,BW50SAT‒3P050,BW100EAT‒3P075,,BW100EAT‒3P100,BW250EAT‒3P150,,BW400EAT‒3P250,,BW400EAT‒3P300,,BW630EAT-3P500,BX800RAE-3P800,
,,,,,,,,,,,,,,,,,
,,,10（kA）,,BW50SAT‒3P050,BW100EAT‒3P075,,BW100EAT‒3P100,BW250EAT‒3P150,,BW400EAT‒3P250,,BW400EAT‒3P300,,BW630EAT-3P500,BX800RAE-3P800,
,,,,,,,,,,,,,,,,,
,,,25（kA）,BW100EAT‒3P060,,BW100EAT‒3P075,,BW100EAT‒3P100,BW250EAT‒3P150,,BW400EAT‒3P250,,BW400EAT‒3P300,,BW630EAT-3P500,BX800RAE-3P800,
,,,,,,,,,,,,,,,,,
,,,36（kA）,,BW125JAT‒3P060,BW125JAT‒3P075,,BW125JAT‒3P090,BW250EAT‒3P150,,BW400EAT‒3P250,,BW400EAT‒3P300,,BW630EAT-3P500,BX800RAE-3P800,
,,,50（kA）,,BW125JAT‒3P060,BW125JAT‒3P075,,BW125JAT‒3P090,BW250RAT‒3P150,,BW400EAT‒3P250,,BW400EAT‒3P300,,BW630EAT-3P500,BX800RAE-3P800,
,,,,,,,,,,,,,,,,,
,,,85（kA） BW250RAG‒3P125,,,,BW250RAT‒3P125,,BW250RAT‒3P150,,BW400RAT‒3P250,,BW400RAT‒3P300,,BW630RAT-3P500,BX800RAE-3P800,
,,,,,,,,,,,,,,,,,
,,,100（kA）,BW250RAG‒3P125,,,BW250RAT‒3P125,,BW250RAT‒3P150,,BW400RAT‒3P250,,BW400RAT‒3P300,,BW630RAT-3P500,,−
,,,,,,,,,,,,,,,,,
,,,125（kA）,BW250HAG‒3P125,,BW250HAG‒3P175,,BW400HAG‒3P250,BW400HAG‒3P300,,BW630HAG‒3P500,,BW630HAG‒3P600,,−,,−
,（注）突入電流波高値倍数を 20kVA 以下：23.5 倍、20kVA 超：18 倍として計算しました。突入電流がこの値を超える場合は選定の見直しが必要となる場合があります。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
