,,,,,,,,
,,,,,,,,
電源電圧,,標準適用,全負荷,,定格電流〔A〕,,,
,,,,,,,,
,,,,,,,,
,"電動機
〔kW〕",,電流,,,直流リアクトル（DCR）,,
,,,,,,,なし,
,,,〔A〕,,あり,,,
3相 400V,0.4,,1.15,,5,,5,
,,,,,,,,
,0.75,,1.8,,,,,
,,,,,,,,
,1.5,,3.5,,,,10,
,,,,,,,,
,2.2,,4.8,,,,15,
,3.7,,7.8,,10,,20,
,5.5,,10.5,,15,,30,
,7.5,,13.5,,20,,40,
,11,,20,,30,,50,
,15,,27,,40,,60,
,18.5,,,,,,,
,,,34,,,,75,
,22,,,,,,,
,,,42,,50,,100,
,30,,,,,,,
,,,58,,75,,125,
,37,,,,100,,,
,,,69,,,,,
,45,,,,,,150,
,,,83,,,,,
,55,,100,,125,,200,
,,,,,,,,
,75,,136,,175,,−,
,,,,,,,,
,90,,166,,200,,,
,110,,190,,250,,,
,132,,225,,300,,,
,160,,273,,350,,,
,200,,342,,500,,,
,220,,,,,,,
,,,376,,,,,
,280,,,,,,,
,,,500,,600,,,
,315,,,,,,,
,,,,,800,,,
,355,,,,,,,
,,,,,,,,
,400,,,,1200,,,
,,,,,,,,
,450,,,,,,,
,,,,,,,,
,500,,,,,,,
,,,,,,,,
（注）盤内温度50℃以下の条件で推奨する電流値｛ブレーカの設置環境の基準は、周囲温度,,,,,,,,
