電源電圧,●ブレーカの定格電流値（参考）インバータのマニュアルの指定に従ってください。,標準適用,,全負荷,,,,
,,,,,,,,
,,,,,,,,
,,,,,,定格電流〔A〕,,
,,,,,,,,
"3相 200V
配線用遮断器・漏電遮断器の選定",,電動機,,電流,,,直流リアクトル（DCR）,
,,,,,,"あり
5",,"なし
5"
,,"〔kW〕
0.1",,"〔A〕
0.68",,,,
,,,,,,,,
,,,,,,,,
,,0.2,,1.3,,,,
,,,,,,,,
,,0.4,,2.3,,,,
,,,,,,,,
,,0.75,,3.5,,,,10
,,1.5,,6.9,,10,,15
,,2.2,,9.5,,,,20
,,3.7,,15.5,,20,,30
,,5.5,,21,,30,,50
,,7.5,,27.5,,40,,75
,,,,,,,,
,,11,,40,,50,,100
,,,,,,,,
,,15,,54,,75,,125
,,,,,,100,,
,,18.5,,68,,,,150
,,22,,,,,,175
,,,,84,,,,
,,30,,,,150,,200
,,,,116,,,,
,,37,,137,,175,,250
,,,,,,,,
,,45,,166,,200,,300
,,,,,,,,
,,55,,200,,250,,350
,,75,,272,,350,,−
,,90,,332,,400,,
,,110,,380,,500,,
"単相 200V
単相 100V",,0.1,,,,5,,5
,,,,,,,,
,,0.2,,,,,,
,,,,,,,,
,,0.4,,,,,,10
,,,,,,,,
,,0.75,,,,10,,15
,,,,,,,,
,,1.5,,,,15,,20
,,2.5,,,,20,,30
,,0.1,,,,5,,5
,,,,,,,,
,,,,,,,,
,,0.2,,,,,,10
,,,,,,,,
,,0.4,,,,10,,15
,,0.75,,,,15,,20
,,,,,,,,
