電源電圧,"●ELCB インバータ回路適用における感度選定表
標準適用
電動機
〔kW〕",,"インバータ
容量
〔kW〕",,"標準適用
電動機
定格電流〔A〕",,,,,,,,,,,,
,,,,,,,配線距離・感度電流,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"3相 200V
3相 400V",,,,,,,10m,,30m,50m,,100m,,200m,,300m,
,,,,,,,,,,,,,,,,,
,0.1,,0.1,,0.68,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"0.2
0.4",,0.2,,1.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,0.75,,0.4,,2.3,,,,,,,,,,,,
,,,0.75,,3.5,,,,,,,,,,,,
,1.5,,,,,,,,,,,,,,,,
,,,1.5,,6.9,,,,,,,,,,,,
,2.2,,,,,,,,,,,,,,,,
,,,2.2,,9.5,,,,30mA,,,,,,,,
,3.7,,,,,,,,,,,,,,,,
,,,3.7,,15.5,,,,,,,,,,,,
,5.5,,5.5,,21,,,,,,,,,,,,
,7.5,,7.5,,27.5,,,,,,,100mA,,,,,
,11,,11,,40,,,,,,,,,,,,
,15,,15,,54,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,18.5,,18.5,,68,,,,,,,,,200mA,,,
,,,,,,,,,,,,,,,,,
,22,,22,,84,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,30,,30,,116,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"37
45",,37,,137,,,,,,,,,,,,
,,,45,,166,,,,,,,,,,,,
,55,,,,,,,,,,,,,,,,
,,,55,,200,,,,,,,,,,,,
,75,,,,,,,,,,,,,,,,
,,,75,,272,,,,,,,,,,,500mA,
,90,,,,,,,,,,,,,,,,
,,,90,,332,,,,,,,,,,,,
,110,,110,,380,,,,,,,,,,,,
,0.4,,0.4,,1.15,,,,,,,,,,,,
,0.75,,0.75,,1.8,,,,,,,,,,,,
,1.5,,1.5,,3.5,,,,,,,,,,,,
,2.2,,2.2,,4.8,,,,30mA,,,,,,,,
,,,,,,,,,,,,,,,,,
,3.7,,3.7,,7.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,5.5,,5.5,,10.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,7.5,,7.5,,13.5,,,,,,,,,,,,
,,,,,,,,,,100mA,,,,,,,
,"11
15",,11,,20,,,,,,,,,,,,
,,,15,,27,,,,,,,,,,,,
,18.5,,,,,,,,,,,,,,,,
,,,18.5,,34,,,,,,,,,,,,
,22,,,,,,,,,,,,,,,,
,,,22,,42,,,,,,,200mA,,,,,
,30,,,,,,,,,,,,,,,,
,,,30,,58,,,,,,,,,,,,
,37,,37,,69,,,,,,,,,,,,
,45,,45,,83,,,,,,,,,500mA,,,
,55,,55,,100,,,,,,,,,,,,
,75,,75,,136,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,90,,90,,166,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,110,,110,,190,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,132,,132,,225,,,,,,,,,,,1000mA,
,,,,,,,,,,,,,,,,,
,"160
200",,160,,273,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,220,,200,,342,,,,,,,,,,,,
,,,220,,376,,,,,,,,,,,,
,280,,,,,,,,,,,,,,,,
,,,280,,500,,,,,,,,,,,,
,（注1）富士漏電遮断器または漏電保護リレーを適用した場合の一覧表です。,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,（注2）標準適用電動機定格電流は当社の標準電動機（三相全閉外扇形，足取付形，4極，50Hz，200Vおよび400V）の数値です。,,,,,,,,,,,,,,,,
,"（注3）電源の接地は，200V系がΔ結線で一端接地，400V系がY結線で中性点接地したものとして算出しています。
（注4）3心600V架橋ポリエチレン絶縁電線（CV）を金属管配線（対地密着）したときの対地静電容量を基準に算出しています。",,,,,,,,,,,,,,,,
