● 230V,,上位,ブレーカ,EAG,□ W100,JAG,□ W125,"□ W125
RAG",,"□ W125
HAG",,"□ W250
EAG",,"□ W250
JAG","□ W250
RAG","□ W250
HAG",EAG,□ W400,SAG,□ W400,RAG,□ W400,"□ W400
HAG",,"□ W630
EAG",,"□ W630
RAG",,"□ W630
HAG","□ W800
EAG","□ W800
RAG",HAG,□ W800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
下位ブレーカ形式,,形式,"定格遮断
容量［kA］",25,,50,,100,,125,,36,,50,100,125,50,,85,,100,,125,,50,,100,,125,50,100,125,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,（sym）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
□ W32AAG,,2.5,,5,,10,,10,,10,,5,,7.5,7.5,7.5,−,,−,,−,,−,,−,,−,,−,−,−,−,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EW32EAG,,2.5,,5,,10,,10,,10,,5,,7.5,7.5,7.5,−,,−,,−,,−,,−,,−,,−,−,−,−,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
□ W32SAG,,5,,22,,50,,60,,60,,10,,30,30,30,−,,−,,−,,−,,−,,−,,−,−,−,−,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
□ W50AAG,□ W50EAG　□ W63EAG 5,2.5,,"5
22",,"10
50",,"10
60",,"10
60",,"5
10",,"7.5
30","7.5
30","7.5
30","−
−",,"−
−",,"−
−",,"−
−",,"−
−",,"−
−",,"−
−","−
−","−
−","−
−",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,□ W50SAG　□ W63SAG 10,,,22,,50,,60,,60,,10,,30,30,30,−,,−,,−,,−,,−,,−,,−,−,−,−,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,□ W50RAG　□ W63RAG 25,,,−,,50,,85,,85,,36,,50,50,50,35,,50,,50,,50,,42,,50,,50,42,50,50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
□ W100AAG,,5,,22,,50,,60,,60,,10,,30,30,30,−,,−,,−,,−,,−,,−,,−,−,−,−,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
□ W100EAG,,25,,−,,50,,85,,85,,36,,50,50,50,35,,50,,50,,50,,35,,50,,50,35,50,50,,
□ W125JAG,,50,,−,,−,,100,,100,,−,,50,100,100,50,,85,,85,,85,,50,,85,,85,50,85,85,,
□ W125RAG,,100,,−,,−,,−,,−,,−,,−,100,100,−,,−,,100,,125,,−,,100,,125,−,100,125,,
□ W250EAG,,36,,−,,−,,−,,−,,−,,50,60,60,42,,50,,50,,50,,42,,42,,50,42,50,50,,
□ W250JAG,,50,,−,,−,,−,,−,,−,,−,100,100,50,,85,,85,,85,,50,,85,,85,50,85,85,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
□ W250RAG,,100,,−,,−,,−,,−,,−,,−,−,−,−,,−,,100,,125,,−,,100,,125,−,100,125,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
□ W400EAG,,50,,−,,−,,−,,−,,−,,−,−,−,−,,85,,85,,100,,50,,85,,85,50,85,85,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
□ W400SAG,,85,,"−
−",,"−
−",,"−
−",,"−
−",,"−
−",,"−
−","−
−","−
−","−
−",,"−
−",,"100
−",,"125
125",,−,,"100
100",,"125
125",−,"100
100","125
125",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"□ W400RAG
□ W630EAG",,"100
50",,−,,−,,−,,−,,−,,−,−,−,−,,−,,−,,−,,−,,85,,100,50,85,100,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
□ W630RAG,,100,,−,,−,,−,,−,,−,,−,−,−,−,,−,,−,,−,,−,,−,,125,−,100,125,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,備考）配線用遮断器の場合　□部に B を、漏電遮断器の場合 E を入れてください。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
