,,上位ブレーカ形式,,BX100HAE,,,,BX160HAE,,BX250HAE,BX400HAE,BX630HAE,,BX800HAE,,BX1000HAE,,BX1250HAE,,BX1600HAE,
下位ブレーカ形式,,保護特性,,3 元特性（長限時−短限時−瞬時）,,,,,,,,,,,,,,,,,
,,定格電流 In  [A],,"40
100
160
250
400
630
800
1000
1250
1600",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,コントロールユニット,,,5,,5,,"5
5",,5,,5,,5,,5,,5,,5
,,,,,,,,,,,,,,,,,,,,,
,,定格遮断容量  [kA]  (sym),,,65,,65,,"65
65",,65,,65,,65,,65,,65,,65
,,,,,,,,,,,,,,,,,,,,,
"BW32AAG
EW32EAG",BW50AAG,"1.5
1.5",,,"0.3
0.3",,"0.8
0.8",,"1.4
1.5
1.4
1.5",,"1.5
1.5",,"1.5
1.5",,"1.5
1.5",,"1.5
1.5",,"1.5
1.5",,"1.5
1.5"
,,,,,,,,,,,,,,,,,,,,,
□ W50EAG,□ W63EAG,2.5,,,0.3,,0.8,,"1.4
2.5",,2.5,,2.5,,2.5,,2.5,,2.5,,2.5
,,,,,,,,,,,,,,,,,,,,,
□ W100EAG,,10,,,,,1.2,,"2.0
2.5",,4.0,,5.8,,10,,10,,10,,10
,,,,,,,,,,,,,,,,,,,,,
□ W250EAG,,18,,,,,,,"2.0
2.5",,4.0,,5.8,,18,,18,,18,,18
□ W400EAG,,30,,,,,,,,,4.0,,5.8,,30,,30,,30,,30
□ W630EAG,,36,,,,,,,,,,,5.8,,36,,36,,36,,36
□ W800EAG,,36,,,,,,,,,,,,,36,,36,,36,,36
□ W32SAG,,2.5,,,0.5,,1.2,,"2.0
2.5",,2.5,,2.5,,2.5,,2.5,,2.5,,2.5
□ W50SAG,□ W63SAG,7.5,,,0.5,,1.2,,"2.0
2.5",,4.0,,5.8,,7.5,,7.5,,7.5,,7.5
,,,,,,,,,,,,,,,,,,,,,
□ W125JAG,,30,,,0.5,,1.2,,"2.0
2.5",,4.0,,5.8,,30,,30,,30,,30
,,,,,,,,,,,,,,,,,,,,,
□ W250JAG,,30,,,,,,,"2.0
2.5",,4.0,,5.8,,30,,30,,30,,30
,,,,,,,,,,,,,,,,,,,,,
"□ W400SAG
□ W50RAG",□ W63RAG,"36
10",,,0.5,,1.2,,"2.0
2.5",,"4.0
4.0",,"5.8
5.8",,"36
10",,"36
10",,"36
10",,"36
10"
,,,,,,,,,,,,,,,,,,,,,
□ W125RAG,,50,,,0.5,,1.2,,"2.0
2.5",,4.0,,5.8,,50,,50,,50,,50
,,,,,,,,,,,,,,,,,,,,,
□ W250RAG,,50,,,,,,,"2.0
2.5",,4.0,,5.8,,50,,50,,50,,50
,,,,,,,,,,,,,,,,,,,,,
□ W400RAG,,50,,,,,,,,,4.0,,5.8,,50,,50,,50,,50
□ W630RAG,,50,,,,,,,,,,,5.8,,50,,50,,50,,50
□ W800RAG,,50,,,,,,,,,,,,,50,,50,,50,,50
□ W50HAG,,65,,,0.5,,1.2,,"2.0
2.5",,4.0,,5.8,,65,,65,,65,,65
□ W125HAG,,65,,,0.5,,1.2,,"2.0
2.5",,4.0,,5.8,,65,,65,,65,,65
□ W250HAG,,65,,,,,,,"2.0
2.5",,4.0,,5.8,,65,,65,,65,,65
,,,,,,,,,,,,,,,,,,,,,
□ W400HAG,,70,,,,,,,,,4.0,,5.8,,65,,65,,65,,65
,,,,,,,,,,,,,,,,,,,,,
□ W630HAG,,70,,,,,,,,,,,5.8,,65,,65,,65,,65
,,,,,,,,,,,,,,,,,,,,,
"□ W800HAG
BX100HAE",,"70
65",,,65,,65,,"65
65",,65,,65,,"65
65",,"65
65",,"65
65",,"65
65"
,,,,,,,,,,,,,,,,,,,,,
BX160HAE,,65,,,,,,,"65
65",,65,,65,,65,,65,,65,,65
,,,,,,,,,,,,,,,,,,,,,
BX250RAE,,50,,,,,,,50,,50,,50,,50,,50,,50,,50
,,,,,,,,,,,,,,,,,,,,,
BX250HAE,,65,,,,,,,65,,65,,65,,65,,65,,65,,65
,,,,,,,,,,,,,,,,,,,,,
BX400RAE,,42,,,,,,,,,42,,42,,42,,42,,42,,42
BX400HAE,,65,,,,,,,,,65,,65,,65,,65,,65,,65
BX630RAE,,42,,,,,,,,,,,42,,42,,42,,42,,42
BX630HAE,,65,,,,,,,,,,,65,,65,,65,,65,,65
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"(204)
4-28",,,,,,,,,,,,,,,,,,,,,
