● 3 φ 6.3kV/420V,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,モールド変圧器容量（kVA） 100,,,200,,300,,500,,,750,,1000,
,,,,,,,,,,,,,,,,,,,
,,,,,,油入変圧器容量（kVA）,100,,200,,300,,500,,,750,,1000,
,,,,,,,,,,,,,,,,,,,
,,,,,,二次定格電流（A）,137,,275,,412,,687,,,1031,,1375,
,,,,,,,3.4,,6.9,,10.3,,17.2,,,25.8,,34.4,
,,,,,,二次短絡電流（kA）,,,,,,,,,,,,,
,,,,,,JC ヒューズの定格電流（A） 20,,,30,,50,,60,,,75,,100,
"MCCB 形式
配線用遮断器・漏電遮断器の選定",,ELCB 形式,,1.5,遮断容量（kA） 定格電流（A）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW32AAG,,EW32EAG,,,,5 〜 32,＊,,＊,,＊,,＊,,,＊,,＊,
,,,,,,,,,,,,,,,,,,,
BW50AAG,,EW50AAG,,2.5,,5 〜 50,＊,,＊,,＊,,＊,,,＊,,＊,
BW32SAG,,EW32SAG,,,,3、5 〜 32,＊,,＊,,＊,,＊,,,＊,,＊,
BW50EAG,,EW50EAG,,,,5 〜 50,＊,,＊,,＊,,＊,,,＊,,＊,
BW63EAG,,EW63EAG,,7.5,,60、63,＊,,＊,,＊,,＊,,,＊,,＊,
BW50SAG,,EW50SAG,,,,5 〜 32,,,,,＊,,＊,,,＊,,＊,
,,,,,,,,,,,,,,,,,,,
BW63SAG,,EW63SAG,,10,,60、63,,,,,＊,,＊,,,＊,,＊,
,,,,,,,,,,,,,,,,,,,
BW50RAG,,EW50RAG,,,,10 〜 50,,,,,＊,,＊,,,＊,,＊,
,,,,,,,,,,,,,,,,,,,
BW63RAG,,EW63RAG,,,,60、63,,,,,＊,,＊,,,＊,,＊,
,,,,,,,,,,,,,,,,,,,
"BW100EAG
BW125JAG",,"EW100EAG
EW125JAG",,30,,"50、60、63、75、100
15 〜 75",,,,,＊,,＊,,,＊,,"＊
＊",
,,,,,,,,,,,,,,,,,,,
BW125RAG,,EW125RAG,,50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW125JAG,,EW125JAG,,30,,100 〜 125,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW125RAG,,EW125RAG,,50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW250EAG,,EW250EAG,,18,,125,,,,,,,,,,＊,,＊,
BW250JAG,,EW250JAG,,30,,,,,,,,,,,,,,＊,
BW250RAG,,EW250RAG,,50,,,,,,,,,,,,,,,
BW250EAG,,EW250EAG,,18,,150 〜 250,,,,,,,,,,＊,,＊,
,,,,,,,,,,,,,,,,,,,
BW250JAG,,EW250JAG,,30,,,,,,,,,,,,,,＊,
,,,,,,,,,,,,,,,,,,,
BW250RAG,,EW250RAG,,50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW400EAG,,EW400EAG,,30,,"250
300",,,,,,,,,,,,＊,
,,,,,,,,,,,,,,,,,,,
"BW400SAG
BW400RAG",,"EW400SAG
EW400RAG",,"36
50",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW400HAG,,EW400HAG,,70,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW400EAG,,EW400EAG,,30,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW400SAG,,EW400SAG,,36,,350、400,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW400RAG,,EW400RAG,,50,,,,,,,,,,,,,,,
BW400HAG,,EW400HAG,,70,,,,,,,,,,,,,,,
BW400EAG,,EW400EAG,,30,,,,,,,,,,,,,,＊,
BW400SAG,,EW400SAG,,36,,500、600、630,,,,,,,,,,,,,
BW400RAG,,EW400RAG,,50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW400HAG,,EW400HAG,,70,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW630EAG,,EW630EAG,,36,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"BW630RAG
BW630HAG",,"EW630RAG
EW630HAG",,"50
70",,７00、800,,,,,,,,,,,,,
,,,,,,,,,,,ヒューズの許容時間電流範囲を,,,,,,,,
BW800EAG,,EW800EAG,,36,,,,,,,超える恐れがある範囲,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW800RAG,,EW800RAG,,50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BW800HAG,,EW800HAG,,70,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
