"SSCの過電流保護機器の選定、400Hz回路への適用
4.16  SSC の過電流保護機器の選定
（1）電動機回路の保護
保護の考え方
A）過負荷領域：SSC の過負荷特性時間および半導体保護ヒューズの
繰返し負荷特性＞サーマルリレーの動作時間 + ブレーカトリップコイルでの引
外しまたは、モータブレーカの動作特性
B）短絡電流領域：SSC の非繰返しサージオン電流の許容通電時間＞ブレーカの動作時間
（または半導体保護用ヒューズの動作時間）
SSC の許容 I2t ＞半導体保護用ヒューズの全遮断 I2t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,（a）,,"モータ
瞬時遮断式
ブレーカ
ブレーカ",,,,ヒューズ,,,,,,ヒューズ,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,SSC,,,,,,,SSC,,,,,,
,,,,,,,,,,,,,,,,,,,,"OLR
M
M",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,（b）,,,,,,,,,,,
,"（a）モータブレーカ + 半導体保護用ヒューズの場合
定格電圧",モータ容量,,SSC 形式,,許容 I2t,,非繰返し,,遮断器形式,,遮断容量,,ヒューズ形式,,定格電流,,,,,,,遮断容量,,,,通過 I2t,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"（V）
3 φ",,（kW）,,,,（A2・s）,,サージオン電流,,（モータブレーカ）,（kA）,,,,,（A）,,,,,,,（kA）,（atAC250V）,,,"（A2・s）
40",,,,
,,,,,,,,（A）,,,（atAC230V）,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC220V,0.2,,SS03 ○,,166,,150,,□ W32SAM‒3P1P4,5,,,CR2LS‒10,,10,,,,,,,100,,,,,,配線用遮断器・漏電遮断器の選定,,
,,0.4,,SS08 ○,,166,,150,,□ W32SAM‒3P2P6,5,,,CR2LS‒10,,10,,,,,,,,,,,40,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.75,,SS20 ○,,640,,400,,□ W32SAM‒3P004,5,,,CR2LS‒30,,30,,,,,,,,,,,350,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.5,,SS30 ○,,1000,,500,,□ W32SAM‒3P008,5,,,CR2LS‒50,,50,,,,,,,,,,,850,,,,
,,2.2,,SS40 ○,,2560,,800,,□ W50SAM‒3P010,10,,,CR2LS‒75,,75,,,,,,,,,,,2300,,,,
,,3.7,,SS50 ○,,4000,,1000,,□ W50SAM‒3P016,10,,,CR2L‒100,,100,,,,,,,,,,,4000,,,,
,,5.5,,SS80 ○,,45000,,1600,,□ W50SAM‒3P024,10,,,CR2L‒140,,140,,,,,,,,,,,7000,,,,
,,7.5,,SS802,,45000,,1600,,□ W50SAM‒3P032,10,,,CR2L‒175,,175,,,,,,,,,,,13000,,,,
3 φ,,,,,,,,,,,（atAC440V）,,,,,,,,,,,,,（atAC600V）,,,350,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC440V,1.5,,SS30 ○ H,,1800,,600,,□ W50SAM‒3P004,7.5,,,CR6L‒30,,30,,,,,,,100,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,
,,2.2,,SS30 ○ H,,1800,,600,,□ W50SAM‒3P005,7.5,,,CR6L‒50,,50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,
,,3.7,,SS30 ○ H,,1800,,600,,□ W50SAM‒3P008,7.5,,,CR6L‒50,,50,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,
,,5.5,,SS50 ○ H,,7200,,1000,,□ W50SAM‒3P012,7.5,,,CR6L‒75,,75,,,,,,,,,,,,,,,
,,7.5,,SS50 ○ H,,7200,,1000,,□ W50SAM‒3P016,7.5,,,CR6L‒100,,100,,,,,,,,,,,7000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11.0,,SS80 ○ H,,36000,,1600,,□ W50SAM‒3P024,7.5,,,CR6L‒150,,150,,,,,,,,,,,18000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15.0,,SS80 ○ H,,36000,,1600,,□ W50SAM‒3P032,7.5,,,CR6L‒200,,200,,,,,,,,,,,30000,,,,
