（V）,定格電圧,"モータ容量
（kW）",,SSC 形式,,"許容 I2t
（A2・s）",,"非繰返し
サージオン電流
（A）",,"遮断器形式
（瞬時遮断式）","（kA）
（atAC230V）",遮断容量,,サーマルリレー,,,ヒューズ形式,,"定格電流
（A）",
,,,,,,,,,,,,,形式,,"定格の呼び
（A）",,,,,
,,,,,,,,,,,,,,,,,,,,
3 φ,AC220V,0.2,,SS03 ○,,166,,150,,BW32SAQ‒3P015 F*,5,,TR-0NH,,0.95,,CR2LS‒10,,10,
,,,,,,,,,,,,,,,,,,,,
,,0.4,,SS08 ○,,166,,150,,BW32SAQ‒3P020 F*,5,,TR-0NH,,1.7,,CR2LS‒10,,10,
,,,,,,,,,,,,,,,,,,,,
,,0.75,,SS20 ○,,640,,400,,BW32SAQ‒3P040 F*,5,,TR-0NH,,2.8,,CR2LS‒30,,30,
,,1.5,,SS30 ○,,1000,,500,,BW32SAQ‒3P060 F*,5,,TR-0NH,,5,,CR2LS‒50,,50,
,,,,,,,,,,,,,,,,,,,,
,,2.2,,SS40 ○,,2560,,800,,BW50SAQ‒3P080 F*,10,,TR-0NH,,7,,CR2LS‒75,,75,
,,,,,,,,,,,,,,,,,,,,
,,3.7,,SS50 ○,,4000,,1000,,BW63SAQ‒3P120 F*,10,,,TR‒5‒1‒NH,12,,CR2L‒100,,100,
,,,,,,,,,,,,,,,,,,,,
,,5.5,,SS80 ○,,45000,,1600,,BW63SAQ‒3P200 F*,10,,TR‒N2H,,18,,CR2L‒140,,140,
,,7.5,,SS802,,45000,,1600,,BW63SAQ‒3P250 F*,10,,TR‒N2H,,24,,CR2L‒200,,175,
,,,,,,,,,,,（atAC440V）,,,,,,,,,
,AC440V,1.5,,SS30 ○ H,,1800,,600,,BW50SAQ‒3P030 F*,7.5,,TR‒0NH,,2.8,,CR6L‒30,,30,
3 φ,,2.2,,SS30 ○ H,,1800,,600,,BW50SAQ‒3P040 F*,7.5,,TR‒0NH,,4,,CR6L‒50,,50,
,,3.7,,SS30 ○ H,,1800,,600,,BW50SAQ‒3P060 F*,7.5,,TR‒0NH,,6,,CR6L‒50,,50,
,,,,,,,,,,,,,,,,,,,,
,,5.5,,SS50 ○ H,,7200,,1000,,BW63SAQ‒3P120 F*,7.5,,TR‒0NH,,9,,CR6L‒75,,75,
,,,,,,,,,,,,,,,,,,,,
,,7.5,,SS50 ○ H,,7200,,1000,,BW63SAQ‒3P150 F*,7.5,,,TR‒5‒1‒NH,12,,CR6L‒100,,100,
,,,,,,,,,,,,,,,,,,,,
,,11.0,,SS80 ○ H,,36000,,1600,,BW63SAQ‒3P200 F*,7.5,,TR‒N2H,,18,,CR6L‒150,,150,
,,,,,,,,,,,,,,,,,,,,
,,15.0,,SS80 ○ H,,36000,,1600,,BW63SAQ‒3P250 F*,7.5,,TR‒N2H,,24,,CR6L‒200,,200,
,,,,,,,,,,,,,,,,,,,,
,"（備考 1）SSC 形式の○部は主回路素子数が 2 個の物は 2、素子数が 3 個の物は 3 とします。
（備考 2）遮断器形式の□部は MCCB の場合 B、ELCB の場合 E とします。",,,,,,,,,,,,,,,,,,,
