,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"● DC ブレーカラインアップ
定格電圧",,,,,,,,,,,,,
,,,,,アンペアフレーム,,,,,,,,,上段：形式
,DC,250V,,1000,,1250,,1600,,2000,2500,3200,,下段：遮断容量 Icu/Ics(kA)
,,,,,BW1000RAE-C6 BW1250RAE-C6 BW1600RAE-C6 BW2000RAE-C6 BW2500RAE-C6 BW3200RAE-C6,,,,,,,,,
,,,,50/20,,50/30,,50/30,,50/30,50/30,,50/30,
,,350V,,,,,,,,,,,,
,,,,,BW1000RAE-C6 BW1250RAE-C6 BW1600RAE-C6 BW2000RAE-C6 BW2500RAE-C6 BW3200RAE-C6,,,,,,,,,
,,,,35/15,,50/25,,50/25,,50/25,50/25,,50/25,
,,500V,,,,,,,,,,,,
,,,,20/10,BW1000RAE-C6 BW1250RAE-C6 BW1600RAE-C6 BW2000RAE-C6 BW2500RAE-C6 BW3200RAE-C6,50/25,,50/25,,50/25,50/25,,50/25,
,,,,,,,,,,,,,,
,,600V,,"BW1000RAE-C6 BW1250RAE-C6 BW1600RAE-C6 BW2000RAE-C6 BW2500RAE-C6 BW3200RAE-C6
20/10",,20/15,,20/15,,20/15,20/15,20/15,,
