● DC ノンオートスイッチ（負荷開閉器）ラインアップ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,定格電圧,,,,アンペアフレーム,,,,,,,,,,,,,,,,
,,,,20,,32,,50,,63,100,125,,250,,400,,630,,800,
,DC,250V,,,,BW32SAS,,BW50SAS,,BW63SAS,BW100EAS,,BW125JAS,,BW250EAS,,BW400EAS,,BW630EAS,BW800EAS,
,,,,,,,,,,,,,BW125RAS,,BW250RAS,,,,BW630RAS,,
,,,,,,,,,,,,,,,,,,,,,
,,400V,,,,"BW32SAS-
3P C4",,"BW50SAS
-3P C4",,"BW63SAS
-3P C4","BW100EAS
-3P C4",,,,,,,,,,
,,500V ①,,,,,,,,,,,BW125JAS,,BW250EAS,,BW400EAS,,BW630EAS,BW800EAS,配線用遮断器・漏電遮断器の選定
,,,,,,,,,,,,,-3P C5,,-3P C5,,-3P,,-3P,-3P,
,,,,,,,,,,,,,BW125RAS,,BW250RAS,,BW400RAS,,BW630RAS,BW800RAS,
,,,,,,,,,,,,,-3P C5,,-3P C5,,-3P,,-3P,-3P,
,,600V ①,,,,,,,,,,,BW125RAS,,BW250RAS,,BW400RAS,,BW630RAS,BW800RAS,
,,,,,,,,,,,,,-4P C6,,-4P C6,,-4P,,-4P,-4P,
,,650V,,,,,,BW50SAS,,,,,,,,,,,,,
,,,,,,,,-3P 0A0 □ 5,,,,,,,,,,,,,
,,700V,,,,,,C60NA-DC,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,750V,,,,,,,,,,,,,,,BW400RAS,,BW630RAS,BW800RAS,
,,,,,,,,,,,,,,,,,-3P CP,,-3P CP,-3P CP,
,,800V,,,,C60NA-DC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,1000V,,C60NA-DC,,,,SW60-DC,,,,,,,,,"BW400RAS
-4P CP",,"BW630RAS
-4P CP","BW800RAS
-4P CP",
