形式,,,,"EW125
JAG","EW125
RAG",,"EW250
EAG","EW250
JAG","EW250
RAG",,"EW400
EAG","EW400
SAG","EW400
RAG","EW400
HAG","EW630
EAG",,"EW630
RAG","EW630
HAG","EW800
EAG",,"EW800
RAG","EW800
HAG"
極数,,,,"３P、
４P","３P、
４P",,３P,"３P、
４P","３P、
４P",,３P,３P,"３P、
４P","３P、
４P",３P,,３P,３P,３P,,３P,３P
,,,,,,,,,,,,,,,,,,,,,,
定格使用電圧AC（V）,,,,380-500,,,230-500,,,,230-500,,,,230-500,,,,230-500,,,
,,,,,,,,,,,,,,,,,,,,,,
使用可能電圧範囲AC（V）,,,,160-550,,,160-550,,,,160-550,,,,160-550,,,,160-550,,,
,,,,,,,,,,,,,,,,,,,,,,
定格インパルス耐電圧Uimp（kV）6,,,,,,,6,,,,6,,,,6,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,,
"定格電流　In（A）
定格周波数（Hz）",,,,"15,20,30,40,50,
60,75,100,125
50-60",,,"125,150,160,175,
200,225,250
50-60",,,,"250,300,350,400
50-60",,,,"500,600,630
50-60",,,,"700,800
50-60",,,
,,,,,,,,,,,,,,,,,,,,,,
定格感度電流（mA）,,,,30、100/200/,,,30、100/200/500/1000,,,,30、100/200/500/1000切替,,,,100/200/500/1000切替,,,,100/200/500/1000切替,,,
,,,,,,,,,,,,,,,,,,,,,,
定格,IEC60947-2,AC500V,,"500/1000切替
8/4",10/5,,"切替
5/3",8/4,10/5,,18/9,20/10,36/18,42/21,20/10,,36/18,42/21,20/10,,36/18,42/21
,,,,,,,,,,,,,,,,,,,,,,
"遮断
容量
（kA）","JIS C8201-2-2
Ann1,2
　　Icu/Ics",,,,,,,,,,,,,,,,,,,,,
,,AC440V,,30/15,50/25,,18/9,30/15,50/25,,30/15,36/18,50/25,70/35,36/18,,50/25,70/35,36/18,,50/25,70/35
,,AC380V,,30/15,50/25,,18/9,30/15,50/25,,30/15,36/18,50/25,70/35,36/18,,50/25,70/35,36/18,,50/25,70/35
,,AC230V −,,,−,,36/18,50/25,100/50,,50/25,85/43,100/50,125/63,50/25,,100/50,125/63,50/25,,100/50,125/63
,,,,,,,,,,,,,,,,,,,,,,
