形式,,,,,,EW125JAGU,,EW125RAGU,,EW250JAGU,EW250RAGU,EW400SAGU,,EW400RAGU,,EW400HAGU,
,,,,,,,,,,,,,,,,,
極数,,,,,,３P,,３P,,３P,３P,３P,,３P,,３P,
,,,,,,,,,,,,,,,,,
定格使用電圧,,,,,,IEC 380-500,,,,230-500,,230-500,,,,,
,,,,,,,,,,,,,,,,,
"使用可能電圧範囲
定格インパルス耐電圧Uimp（kV）",,,,,,"UL 240-480
160-550",,,,"240-480
160-550",,"240-480
160-550",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,6,,,,6,,6,,,,,
,,,,,,,,,,,,,,,,,
定格電流　In（A）,,,,,,"15,20,30,40,50,60,75,100,125",,,,"125,150,160,175,200,225,250",,,"250,300,350,400",,,,
,,,,,,,,,,,,,,,,,
定格周波数（Hz）,,,,,,50-60,,,,50-60,,50-60,,,,,
,,,,,,,,,,,,,,,,,
定格感度電流（mA）,,,,,,30、100/200/500/1000切替,,,,30、100/200/500/1000切替,,,30、100/200/500/1000切替,,,,
定格,,,,AC500V,,15/8,,36/18,,18/9,36/18,20/10,,36/18,,42/21,
"遮断
容量",,"IEC60947-2
JIS C8201-2-2",,AC440V,,30/15,,50/25,,30/15,50/25,36/18,,50/25,,70/35,
,（kA）,"Ann1,2
　　Icu/Ics",,AC380V,,30/15,,50/25,,30/15,50/25,36/18,,50/25,,70/35,
,,,,,,,,,,,,,,,,,
,,,,,AC230V −,,,−,,50/25,100/50,85/43,,100/50,,125/63,
,,"UL489
CAN/CSA C22.2 
No.5",,,,,,,,,,,,,,,
,,,,480V,,30,,50,,30,50,35,,50,,65,
,,,,,,,,,,,,,,,,,
,,,,240V,,50,,100,,50,100,50,,100,,100,
,,,,,,,,,,,,,,,,,
,形式指定の例：EW250EAG-3P225B-C5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
