形式,,相線式,,極数・素子数,,定格電流,,定格感度電流,,,,最大動作時間 (s),,逆接続,
,,,,,,,,,,,,,,,
,,,,,,(A),□内記号,(mA),,■内記号,,,,,
,,,,,,,,,,,,,,,
"EW50EAN-3P □ ■ -00155
EW100EAN-3P □ ■ -00155",（2）単 3 中性線欠相保護機能付配線用遮断器,1 φ 3W,,3P3E,,20,020,30,,B,,0.1,,可,
,,,,,,,,,,,,,,,
,,,,,,30,030,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,40,040,,,,,,,,
,,,,,,50,050,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,60,060,30,,B,,0.1,,,
EW250EAN-3P □ ■,,,,,,,,,100/200/500 切替,K,,,,,
,,,,,,75,075,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,100,100,,,,,,,,
,,,,,,125,125,30,,B,,0.1,,,
EW400EAN-3P □ ■,,,,,,150,150,,100/200/500/1000 切替 K,,,0.1/0.4/1/2 切替,,,
,,,,,,160,160,,,,,,,,
,,,,,,175,175,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,200,200,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,225,225,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,250,250,,,,,,,,
,,,,,,,,,100/200/500/1000 切替 K,B,,"0.1
0.1/0.4/1/2 切替",,,
,,,,,,250,250,30,,,,,,,
,,,,,,300,300,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,350,350,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,400,400,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
