機種,,形式,適合規格,,,認定取得規格,,,,EC 指令,認証機関
,,,JIS,IEC,EN,UL,CSA,GB,KC,CE マーク,TÜV
,,,日本,国際,ヨーロッパ,アメリカ,カナダ,中国,韓国,ヨーロッパ,ドイツ
,,,,,,/,,,,,
電磁接触器,標準形,SC □□ X(D),◎,◎,◎,◎	/	ー,,◎❶,◎,◎,◎
,スーパーマグネット付,SC □□ XS,◎,◎,◎,◎	/	ー,,◎❶,ー,◎,◎
,低電圧補償形,SC □□ X(D)U,◎,◎,ー,◎	/	ー,,◎❶,ー,ー,ー
,機械ラッチ形,SC □□ X(D)V,◎,◎,ー,ー,,ー,ー,ー,ー
電磁開閉器,標準形,SW □□ X(D),◎,○,○,○	/	ー,,ー,ー,○,○
,ケースカバー付,SW □□ X(D) □ C(M),◎,○,ー,ー,,ー,ー,ー,ー
,押しボタン付,SW □□ X □ P,◎,○,ー,ー,,ー,ー,ー,ー
サーマルリレー ２素子,,TR □□ 2,◎,ー,ー,ー,,ー,ー,ー,ー
,３素子、欠相検出機能付,"TR □□ 3, TR □□ K",◎,◎,◎,◎	/	ー,,◎❶,ー,◎,◎
,遅動形,TR □□ L,◎,○,ー,ー,,ー,ー,ー,ー
,速動形,TR □□ Q,◎,◎,ー,◎	/	ー,,◎❶,ー,ー,ー
補助継電器,標準形,SCH4X,◎,◎,◎,◎	/	ー,,◎❶,◎,◎,◎
,機械ラッチ形,SCH4XV,◎,◎,ー,ー,,ー,ー,ー,ー
オプション,補助接点ユニット,SZ3A □,◎,◎,◎,◎	/	ー,,◎❶,◎,◎,◎
,コイルサージ吸収ユニット SZ-Z □,,◎,◎,◎,ー	/	◎,,ー,ー,◎,◎
,主回路サージ吸収ユニット,SZ3ZM □,◎,◎,◎,ー	/	◎,,ー,ー,ー,ー
,インターロックユニット,SZ3RM,◎,◎,◎,◎	/	ー,,ー,ー,ー,ー
,単独設置ユニット,TZ1H □,◎,◎,◎,◎	/	ー,,ー,ー,ー,ー
,,SZ-HD/T,◎,◎,◎,ー	/	◎,,ー,ー,ー,ー
