形式,"三相かご形モータ（AC-3, AC-3e）",,,,,,抵抗負荷（AC-1）,,"開放熱電流〔A〕
（定格通電電流）"
,定格容量〔kW〕,,,定格使用電流〔A〕,,,定格使用電流〔A〕,,
,200-240V,380-440V,500-550V,200-240V,380-440V,500-550V,200-240V,380-440V,
SC09,2.2,4,2.7,11,9,6,20,20,20
SC12,2.7,5.5,5.5,13,12,9,20,20,20
SC18,3.7,7.5,7,18,18,13,25,25,25
SC20,4,7.5,9,20,20,17,32,32,32
SC26,5.5,11,11,26,26,20,40,40,50
SC32,6.5,15,13,32,32,24,50,50,50
SC38,7.5,18.5,15,35,38,26,50,50,50
SC40,7.5,18.5,15,40,40,26,60,60,80
SC50,11,22,22,50,50,38,80,80,80
SC65,15,30,37,65,65,60,80,80,80
