形式,コイル呼び電圧,指定コード,コイル電圧・周波数
"SC09XA
SC12XA
SC18XA
SC20XA
SC26XA
SC32XA
SC38XA
SC20DA
SC26DA
SC38DA
SC40XA
SC50XA
SC65XA
SCH4XA",AC24V,E,"24V 50Hz / 
24-26V  60Hz"
,AC48V,F,"48V 50Hz / 
48-52V  60Hz"
,AC100V,1,100V 50Hz /  100-110V  60Hz
,AC110V,H,100-110V 50Hz /  110-120V  60Hz
,AC115V,J,110-115V 50Hz /  115-120V  60Hz
,AC120V,K,110-120V 50Hz /  120-130V  60Hz
,AC200V,2,200V 50Hz /  200-220V  60Hz
,AC220V,M,200-220V 50Hz /  220-240V  60Hz
,AC230V,N,210-230V 50Hz /  230-250V  60Hz
,AC240V,P,220-240V 50Hz /  240-260V  60Hz
,AC380V,S,346-380V 50Hz /  380-420V  60Hz
,AC400V,4,380-400V 50Hz /  400-440V  60Hz
,AC415V,X,380-415V 50Hz /  415-440V  60Hz
,AC440V,T,415-440V 50Hz /  440-480V  60Hz
