機種,形式,電磁石容量［VA］,,,,損失［W］,,閉路電圧［V］,,開放電圧［V］,,動作時間［ms］,
,,投入時,,保持時,,,,,,,,,
,,"200V 
50Hz","220V 
60Hz","200V 
50Hz","220V 
60Hz","200V 
50Hz","220V 
60Hz",50Hz,60Hz,50Hz,60Hz,"コイル ON →
主接点 ON","コイル OFF →
主接点 OFF"
標準形,SC09XA,66,70,7.2,7.2,2.2,2.3,111 ～ 131,126 ～ 146,56 ～ 84,64 ～ 92,8 ～ 19,4 ～ 15
,SC12XA,66,70,7.2,7.2,2.2,2.3,111 ～ 131,126 ～ 146,56 ～ 84,64 ～ 92,8 ～ 19,4 ～ 15
,SC18XA,66,70,7.2,7.2,2.2,2.3,111 ～ 131,126 ～ 146,56 ～ 84,64 ～ 92,8 ～ 19,4 ～ 15
,SC20XA,90,95,9,9,2.7,2.8,118 ～ 136,120 ～ 140,75 ～ 105,90 ～ 120,9 ～ 20,4 ～ 15
,SC26XA,90,95,9,9,2.7,2.8,118 ～ 136,120 ～ 140,75 ～ 105,90 ～ 120,9 ～ 20,4 ～ 15
,SC32XA,90,95,9,9,2.7,2.8,118 ～ 136,120 ～ 140,75 ～ 105,90 ～ 120,9 ～ 20,4 ～ 15
,SC38XA,90,95,9,9,2.7,2.8,118 ～ 136,120 ～ 140,75 ～ 105,90 ～ 120,9 ～ 20,4 ～ 15
,SC20DA,90,95,9,9,2.7,2.8,118 ～ 136,120 ～ 140,75 ～ 105,90 ～ 120,9 ～ 20,4 ～ 15
,SC26DA,90,95,9,9,2.7,2.8,118 ～ 136,120 ～ 140,75 ～ 105,90 ～ 120,9 ～ 20,4 ～ 15
,SC38DA,90,95,9,9,2.7,2.8,118 ～ 136,120 ～ 140,75 ～ 105,90 ～ 120,9 ～ 20,4 ～ 15
,SC40XA,120,135,12.7,12.4,3.6,3.8,110 ～ 130,120 ～ 145,75 ～ 105,85 ～ 120,9 ～ 20,4 ～ 15
,SC50XA,120,135,12.7,12.4,3.6,3.8,110 ～ 130,120 ～ 145,75 ～ 105,85 ～ 120,9 ～ 20,4 ～ 15
,SC65XA,120,135,12.7,12.4,3.6,3.8,110 ～ 130,120 ～ 145,75 ～ 105,85 ～ 120,9 ～ 20,4 ～ 15
"スーパー
マグネット付",SC40XS,105,130,3.5,4.2,2.8,3.2,140 ～ 150,,60 ～ 100,,17 ～ 39,21 ～ 33
,SC50XS,105,130,3.5,4.2,2.8,3.2,140 ～ 150,,60 ～ 100,,17 ～ 39,21 ～ 33
,SC65XS,105,130,3.5,4.2,2.8,3.2,140 ～ 150,,60 ～ 100,,17 ～ 39,21 ～ 33
