機種,形式,電磁石容量［W］,,時定数［ms］,閉路電圧［V］,開放電圧［V］,動作時間［ms］,
,,投入時,保持時,保持時,,,"コイル ON →
主接点 ON","コイル OFF →
主接点 OFF"
,,24V,24V,,,,,
標準形,SC09XG,3.9,3.9,30,11 ～ 16,3 ～ 7,49 ～ 54,10 ～ 23
,SC12XG,3.9,3.9,30,11 ～ 16,3 ～ 7,49 ～ 54,10 ～ 23
,SC18XG,3.9,3.9,30,11 ～ 16,3 ～ 7,49 ～ 54,10 ～ 23
,SC20XG,4.6,4.6,34,11 ～ 16,3 ～ 7,57 ～ 64,7 ～ 20
,SC26XG,4.6,4.6,34,11 ～ 16,3 ～ 7,57 ～ 64,7 ～ 20
,SC32XG,4.6,4.6,34,11 ～ 16,3 ～ 7,57 ～ 64,7 ～ 20
,SC38XG,4.6,4.6,34,11 ～ 16,3 ～ 7,57 ～ 64,7 ～ 20
,SC20DG,4.6,4.6,34,11 ～ 16,3 ～ 7,57 ～ 64,7 ～ 20
,SC26DG,4.6,4.6,34,11 ～ 16,3 ～ 7,57 ～ 64,7 ～ 20
,SC38DG,4.6,4.6,34,11 ～ 16,3 ～ 7,57 ～ 64,7 ～ 20
,SC40XG,7.5,7.5,46,11 ～ 16,3 ～ 7,70 ～ 80,7 ～ 20
,SC50XG,7.5,7.5,46,11 ～ 16,3 ～ 7,70 ～ 80,7 ～ 20
,SC65XG,7.5,7.5,46,11 ～ 16,3 ～ 7,70 ～ 80,7 ～ 20
"スーパー
マグネット付",SC40XS,145,2.4,1,16 ～ 19,4 ～ 12,17 ～ 39,21 ～ 33
,SC50XS,145,2.4,1,16 ～ 19,4 ～ 12,17 ～ 39,21 ～ 33
,SC65XS,145,2.4,1,16 ～ 19,4 ～ 12,17 ～ 39,21 ～ 33
