形式,電磁石容量［W］,,時定数［ms］,閉路電圧［V］,開放電圧［V］,動作時間［ms］,
,投入時,保持時,保持時,,,"コイル ON →
主接点 ON","コイル OFF →
主接点 OFF"
,24V,24V,,,,,
SC09XG-L,2.4,2.4,40,12 ～ 17,4 ～ 8,64 ～ 73,10 ～ 23
SC12XG-L,2.4,2.4,40,12 ～ 17,4 ～ 8,64 ～ 73,10 ～ 23
SC18XG-L,2.4,2.4,40,12 ～ 17,4 ～ 8,64 ～ 73,10 ～ 23
SC20XG-L,2.4,2.4,46,14 ～ 19,5 ～ 9,86 ～ 101,7 ～ 20
SC26XG-L,2.4,2.4,46,14 ～ 19,5 ～ 9,86 ～ 101,7 ～ 20
SC32XG-L,2.4,2.4,46,14 ～ 19,5 ～ 9,86 ～ 101,7 ～ 20
SC38XG-L,2.4,2.4,46,14 ～ 19,5 ～ 9,86 ～ 101,7 ～ 20
SC20DG-L,2.4,2.4,46,14 ～ 19,5 ～ 9,86 ～ 101,7 ～ 20
SC26DG-L,2.4,2.4,46,14 ～ 19,5 ～ 9,86 ～ 101,7 ～ 20
SC38DG-L,2.4,2.4,46,14 ～ 19,5 ～ 9,86 ～ 101,7 ～ 20
