主回路電圧,モータ,,100 万回,200 万回,300 万回,400 万回,500 万回
,容量〔kW〕 電流〔A〕,,,,,,
200 ～ 240V,0.75,4.6,SC09X,SC09X,SC09X,SC09X,SC09X
,1.5,8,SC09X,SC09X,SC09X,SC12X,SC12X
,2.2,11.1,SC09X,SC09X,SC18X,SC18X,SC20X(D)
,3.7,16.8,SC18X,SC20X(D),SC26X(D),SC26X(D),SC38X(D)
,5.5,24.6,SC26X(D),SC26X(D),SC38X(D),SC50X,SC50X
,7.5,34,SC32X,SC38X(D),SC50X,SC50X,SC65X
,11,48,SC50X,SC50X,ー,ー,ー
,15,64,SC65X,ー,ー,ー,ー
380 ～ 440V,1.5,4,SC09X,SC09X,SC09X,SC09X,SC09X
,2.2,5.6,SC09X,SC09X,SC09X,SC09X,SC12X
,3.7,8.4,SC12X,SC12X,SC12X,SC12X,SC18X
,5.5,12.3,SC18X,SC18X,SC18X,SC20X(D),SC32X
,7.5,17,SC20X(D),SC20X(D),SC32X,SC38X(D),SC40X
,11,24,SC26X(D),SC38X(D),SC40X,SC50X,SC50X
,15,32,SC32X,SC40X,SC50X,SC65X,ー
,18.5,39.5,SC40X,SC50X,ー,ー,ー
,22,46,SC50X,SC65X,ー,ー,ー
,30,62,SC65X,ー,ー,ー,ー
