主回路電圧,モータ,,,適用電磁接触器形式,,,"始動器の
許容始動時間
〔s〕","連続始動
可能回数
〔回〕"
,"容量
〔kW〕","定格電流
〔A〕","始動電流
〔A〕",MCs（スター用）,,"MC∆（デルタ用）
MCM（主回路用）",,
,,,,"電気的耐久性 30 万回以上
（※形式は 20 万回以上）",電気的耐久性 10 万回以上,,,
200-240V,5.5,21,203,"SC09,12 (SC09,12)","SC09,12 (SC09,12)",SC18,8.7,3
,7.5,27.5,258,"SC12 (SC09,12)","SC09,12 (SC09,12)",SC18,9.5,3
,11,40,380,SC20 (SC18),"SC18 (SC09,12)",SC26,11,3
,15,54,516,SC38 (SC20),SC26 (SC18),SC38,12,3
,18.5,68,548,SC38 (SC26),SC26 (SC20),SC50,13,3
,22,84,670,"SC40,50 (SC38)",SC26(SC26),SC65,13,3
,30,116,921,SC-N3 (SC38),SC50 (SC26),SC-N4,15,3
,37,137,1170,SC-N4 (SC50),SC65 (SC38),SC-N5A,16,3
,45,166,1380,SC-N4 (SC50) ※,SC-N3 (SC50),SC-N6,17,2
,55,200,1900,SC-N6 (SC-N3) ※,SC-N4 (SC65),SC-N7,19,2
380-440V,5.5,10.5,102,"SC09,12","SC09,12","SC09,12",8.7,3
,7.5,13.5,129,"SC09,12","SC09,12",SC18,9.5,3
,11,20,190,"SC09,12","SC09,12",SC18,11,3
,15,27,258,SC20,SC18,SC20,12,3
,18.5,34,274,SC20,SC18,SC26,13,3
,22,42,335,SC20,SC18,SC26,13,3
,30,58,461,SC38,SC26,SC50,15,3
,37,69,585,"SC40,50",SC26,SC50,16,3
,45,83,690,SC50 ※,"SC32,38",SC65,17,2
,55,100,950,SC-N3 ※,SC50,SC65,19,2
,75,135,1215,SC-N4 ※,SC65,SC-N5A,21,2
