主回路電圧,モータ,,,適用電磁接触器形式,,,"始動器の
許容始動時間
〔s〕","連続始動
可能回数
〔回〕","始動抵抗器
（1 相当たり）"
,"容量
〔kW〕","定格電流
〔A〕","始動電流
〔A〕",MCs（スター用）,"MC∆（デルタ用）
MCM（主回路用）",MCA,,,
200-240V,5.5,21,203,"SC09,12 (SC09,12)",SC18,"SC09,12",8.7,3,"120W 
3.6Ω"
,7.5,27.5,258,"SC09,12 (SC09,12)",SC18,"SC09,12",9.5,3,"120W 
2.7Ω"
,11,40,380,"SC18 (SC09,12)",SC26,"SC09,12",11,3,"120W 
2.0Ω"
,15,54,516,SC26 (SC18),SC38,"SC09,12",12,3,"180W 
1.5Ω"
,18.5,68,548,SC26 (SC20),SC50,SC18,13,3,"225W 
1.2Ω"
,22,84,670,SC26 (SC26),SC65,SC18,13,3,"225W 
1.0Ω"
,30,116,921,SC50 (SC26),SC-N4,SC20,15,3,"300W 
0.75Ω"
,37,137,1170,SC65 (SC38),SC-N5A,SC26,16,3,"450W 
0.6Ω"
,45,166,1380,SC-N4 (SC50),SC-N6,SC38,17,2,"450W 
0.5Ω"
,55,200,1900,SC-N5A (SC65),SC-N7,"SC40,50",19,2,"600W 
0.4Ω"
,75,270,2430,SC-N6 (SC-N5A),SC-N8,SC50,21,2,2 x 600W  0.6Ω (2 本並列 )
380-440V,5.5,10.5,102,"SC09,12","SC09,12","SC09,12",8.7,3,"80W 
15Ω"
,7.5,13.5,129,"SC09,12",SC18,"SC09,12",9.5,3,"80W 
10Ω"
,11,20,190,"SC09,12",SC18,"SC09,12",11,3,"80W 
8Ω"
,15,27,258,SC18,SC20,"SC09,12",12,3,"180W 
6Ω"
,18.5,34,274,SC18,SC26,"SC09,12",13,3,"225W 
4.7Ω"
,22,42,335,SC18,SC26,SC18,13,3,"225W 
4.0Ω"
,30,58,461,SC26,SC50,SC18,15,3,"300W 
3.0Ω"
,37,69,585,SC26,SC50,SC18,16,3,"450W 
2.4Ω"
,45,83,690,"SC32,38",SC65,SC26,17,2,"450W 
2.0Ω"
,55,100,950,SC50,SC65,SC26,19,2,"600W 
1.6Ω"
,75,135,1215,SC65,SC-N5A,SC26,21,2,2 x 600W  2.4Ω (2 本並列 )
,90,160,1520,SC-N4,SC-N6,"SC32,38",23,2,2 x 600W  2.0Ω (2 本並列 )
,110,190,1900,SC-N5A,SC-N7,"SC40,50",25,2,"0.84Ω 
150A 5 秒定格"
,132,226,2260,SC-N5A,SC-N8,SC50,27,2,"0.72Ω 
180A 4 秒定格"
,160,280,2240,SC-N7,SC-N10,SC50,29,2,"0.6Ω2 
10A 5 秒定格"
