形式,単相コンデンサ回路,,,,三相コンデンサ回路,,,,,
,200-220V,,400-440V,,200-220V,,400-440V,,500-550V,
,容量	[kvar],電流	[A],容量	[kvar],電流	[A],容量	[kvar],電流	[A],容量	[kvar],電流	[A],容量	[kvar],電流	[A]
SC09X,1.2,6,1.7,4.3,2,6,3,4.3,3,3.5
SC12X,1.8,9,3.2,8,3,9,5,8,5,6
SC18X,3,15,6,15,5,15,10,15,10,12
SC20X(D),4,20,8,20,7,20,14,20,14,16
SC26X(D),6,30,12,30,10,30,20,30,20,25
SC32X,6,30,12,30,10,30,20,30,20,25
SC38X(D),6,30,12,30,10,30,20,30,20,25
SC40X,7.5,38,12,30,13,38,26,38,25,30
SC50X,11,53,21,53,18,53,36,53,35,41
SC65X,11,53,21,53,18,53,36,53,35,41
