電磁開閉器,,,,協調タイプ,,,,,,
"電磁開閉器	
形式","電磁接触器	
形式",サーマルリレー,,タイプ1,,,,,タイプ2,
,,形式,"ヒートエレメント	
定格
〔A〕","短絡電流	
""r""	〔kA〕",富士オートブレーカ,,富士漏電遮断器,,"短絡電流	
""r""	〔kA〕","ヒューズ	
(IEC60269-1	
gG/gM)	
定格〔A〕"
,,,,,形式,"定格
〔A〕",形式,"定格
〔A〕",,
"SW09X□3
SW09X□K",SC09X,"TR18X3
TR18XK",0.34-0.52,1,"BW32AAG
BW32SBG
BW50AAG
BW50EBG
BW125JAG",5,"EW32EAG
EW32SBG
EW50EAG
EW50EBG
EW125JAG",5,1,4
,,,0.48-0.72,1,,5,,5,1,4
,,,0.64-0.96,1,,5,,5,1,4
,,,0.8-1.2,1,,5,,5,1,6
,,,0.95-1.45,1,,10,,10,1,6
,,,1.4-2.1,1,,20,,20,1,6
,,,1.7-2.6,1,,20,,20,1,6
,,,2.2-3.4,1,,20,,20,1,10
,,,2.8-4.2,1,,20,,20,1,10
,,,4-6,1,,20,,20,1,10
,,,5-7.5,1,,20,,20,1,20
,,,6-9,1,,20,,20,1,20
,,,7-10.5,1,,20,,20,1,20
"SW12X□3
SW12X□K",SC12X,"TR18X3
TR18XK",0.34-0.52,1,"BW32AAG
BW32SBG
BW50AAG
BW50EBG
BW125JAG",5,"EW32EAG
EW32SBG
EW50EAG
EW50EBG
EW125JAG",5,1,4
,,,0.48-0.72,1,,5,,5,1,4
,,,0.64-0.96,1,,5,,5,1,4
,,,0.8-1.2,1,,5,,5,1,6
,,,0.95-1.45,1,,10,,10,1,6
,,,1.4-2.1,1,,20,,20,1,6
,,,1.7-2.6,1,,20,,20,1,6
,,,2.2-3.4,1,,20,,20,1,10
,,,2.8-4.2,1,,20,,20,1,10
,,,4-6,1,,20,,20,1,10
,,,5-7.5,1,,20,,20,1,20
,,,6-9,1,,20,,20,1,20
,,,7-10.5,1,,20,,20,1,20
,,,9-13,1,,30,,30,1,25
"SW18X□3
SW18X□K",SC18X,"TR18X3
TR18XK",0.34-0.52,1,"BW32AAG
BW32SBG
BW50AAG
BW50EBG
BW125JAG",5,"EW32EAG
EW32SBG
EW50EAG
EW50EBG
EW125JAG",5,1,4
,,,0.48-0.72,1,,5,,5,1,4
,,,0.64-0.96,1,,5,,5,1,4
,,,0.8-1.2,1,,5,,5,1,6
,,,0.95-1.45,1,,10,,10,1,6
,,,1.4-2.1,1,,20,,20,1,6
,,,1.7-2.6,1,,20,,20,1,6
,,,2.2-3.4,1,,20,,20,1,10
,,,2.8-4.2,1,,20,,20,1,10
,,,4-6,1,,20,,20,1,10
,,,5-7.5,1,,20,,20,1,20
,,,6-9,1,,20,,20,1,20
,,,7-10.5,1,,20,,20,1,20
,,,9-13,1,,30,,30,1,25
,,,13-16.5,3,"BW50SAG
BW50SBG 
BW125JAG",30,"EW50SAG
EW50SBG 
EW125JAG",30,3,32
,,,15-18,3,,50,,50,3,63
