電磁開閉器,,,,協調タイプ,,,,,,,
"電磁開閉器	
形式","電磁接触器	
形式",サーマルリレー,,タイプ1,,,,,,タイプ2,
,,形式,"ヒート
エレメント	
定格
〔A〕","短絡電流
Iq
〔ｋA〕",240V	（注1）,,"短絡電流
Iq
〔ｋA〕",440V,,"短絡電流
Iq
〔ｋA〕","240V,	440V"
,,,,,"富士オートブレーカ	BW□	
富士漏電遮断器	EW□",,,"富士オートブレーカ	BW□	
富士漏電遮断器	EW□",,,"ヒューズ	
(IEC60269-1	
gG/gM)	
定格〔A〕"
,,,,,形式,"定格
〔A〕",,形式,"定格
〔A〕",,
"SW20X□3
SW20X□K
SW20D□3
SW20D□K","SC20X
SC20D","TR38X3
TR38XK",0.34-0.52,15(10),"BW50SAG❶
EW50SAG❶
BW50SBG
EW50SBG",5,7.5(5),"BW50SAG❶
EW50SAG❶
BW50SBG
EW50SBG",5,65,4
,,,0.48-0.72,15(10),,5,7.5(5),,5,65,4
,,,0.64-0.96,15(10),,5,7.5(5),,5,65,4
,,,0.8-1.2,15(10),,5,7.5(5),,5,65,6
,,,0.95-1.45,15(10),,5,7.5(5),,5,65,6
,,,1.4-2.1,15(10),,5,7.5(5),,5,65,6
,,,1.7-2.6,15(10),,5,7.5(5),,5,65,6
,,,2.2-3.4,15,"BW50RAG
EW50RAG",10,7.5(5),,10,65,10
,,,2.8-4.2,15,,10,7.5(5),,10,65,10
,,,4-6,25,"BW125JAG
EW125JAG",20,18,"BW125JAG
EW125JAG",20,65,10
,,,5-7.5,25,,20,18,,20,65,20
,,,6-9,25,,30,18,,30,65,20
,,,7-10.5,25,,30,18,,30,65,20
,,,9-13,25,,30,18,,30,65,25
,,,12-18,25,,30,18,,30,65,32
,,,18-24,25,,75,18,,30,65,40
"SW26X□3
SW26X□K
SW26D□3
SW26D□K","SC26X
SC26D","TR38X3
TR38XK",4-6,25,"BW125JAG
EW125JAG",20,18,"BW125JAG
EW125JAG",20,65,10
,,,5-7.5,25,,20,18,,20,65,20
,,,6-9,25,,30,18,,30,65,20
,,,7-10.5,25,,30,18,,30,65,20
,,,9-13,25,,40,18,,30,65,25
,,,12-18,25,,40,18,,30,65,32
,,,18-24,25,,125,18,,30,65,40
,,,20-26,25,,125,18,,30,65,40
"SW38X□3
SW38X□K
SW38D□3
SW38D□K","SC38X
SC38D","TR38X3
TR38XK",4-6,25,"BW125JAG
EW125JAG",20,18,"BW125JAG
EW125JAG",20,65,10
,,,5-7.5,25,,20,18,,20,65,20
,,,6-9,25,,30,18,,30,65,20
,,,7-10.5,25,,30,18,,30,65,20
,,,9-13,25,,40,18,,30,65,25
,,,12-18,25,,40,18,,30,65,32
,,,18-24,25,,125,18,,30,65,40
,,,20-26,25,,125,18,,30,65,40
,,,26-32,25,,125,10,,125,65,63
,,,32-38,25,,125,10,,125,65,63
ー,SC09X,ー,ー,25,"BW125JAG
EW125JAG",30,10,"BW125JAG
EW125JAG",30,65,32
ー,SC12X,ー,ー,25,,30,10,,30,65,32
ー,SC18X,ー,ー,25,,30,10,,30,65,32
ー,"SC20X 
SC20D",ー,ー,25,,75,18,,30,65,50
ー,"SC26X 
SC26D",ー,ー,25,,125,18,,30,65,80
ー,SC32X,ー,ー,25,,125,18,,30,65,80
ー,"SC38X 
SC38D",ー,ー,25,,125,18,,30,65,80
