電磁開閉器,,,,短絡電流定格(SCCR)と短絡保護装置,,,,,,
"電磁開閉器
形式","電磁接触器
形式",サーマルリレー,,AC240V,,,AC240V,,,
,,形式,"ヒートエレメント定格
[A]","SCCR
[kA]",配線用遮断器	❶,,"SCCR
[kA]",配線用遮断器	❶,,
,,,,,"最大定格電流
[A]","UL489規格認定
富士オートブレーカ
及び漏電遮断器",,"最大定格電流
[A]","UL489規格認定
富士オートブレーカ
及び漏電遮断器",
"SW09X□3
SW09X□K",SC09X,"TR18X3
TR18XK",0.1-0.15 ❹,14,15,"BW50RAGU
EW50RAGU",18,15,"BW50RBGU
EW50RBGU",
,,,0.13-0.2 ❹,14,15,,18,15,,
,,,0.18-0.27 ❹,14,15,,18,15,,
,,,0.24-0.36,14,15,,18,15,,
,,,0.34-0.52,14,15,,18,15,,
,,,0.48-0.72,14,15,,18,15,,
,,,0.64-0.96,14,15,,18,15,,
,,,0.8-1.2,14,15,,18,15,,
,,,0.95-1.45,14,15,,18,15,,
,,,1.4-2.1,14,15,,18,15,,
,,,1.7-2.6,14,15,,18,15,,
,,,2.2-3.4,14,15,,18,15,,
,,,2.8-4.2,14,20,,18,20,,
,,,4-6,14,30,,18,30,,
,,,5-7.5,14,30,,18,30,,
,,,6-9,14,30,,18,30,,
,,,7-10.5,14,30,,18,30,,
"SW12X□3
SW12X□K",SC12X,"TR18X3
TR18XK",0.1-0.15 ❹,14,15,"BW50RAGU
EW50RAGU",18,15,"BW50RBGU
EW50RBGU",
,,,0.13-0.2 ❹,14,15,,18,15,,
,,,0.18-0.27 ❹,14,15,,18,15,,
,,,0.24-0.36,14,15,,18,15,,
,,,0.34-0.52,14,15,,18,15,,
,,,0.48-0.72,14,15,,18,15,,
,,,0.64-0.96,14,15,,18,15,,
,,,0.8-1.2,14,15,,18,15,,
,,,0.95-1.45,14,15,,18,15,,
,,,1.4-2.1,14,15,,18,15,,
,,,1.7-2.6,14,15,,18,15,,
,,,2.2-3.4,14,15,,18,15,,
,,,2.8-4.2,14,20,,18,20,,
,,,4-6,14,30,,18,30,,
,,,5-7.5,14,30,,18,30,,
,,,6-9,14,30,,18,30,,
,,,7-10.5,14,30,,18,30,,
,,,9-13,14,50,,18,30,,
"SW18X□3
SW18X□K",SC18X,"TR18X3
TR18XK",0.1-0.15 ❹,14,15,"BW50RAGU
EW50RAGU",18,15,"BW50RBGU
EW50RBGU",
,,,0.13-0.2 ❹,14,15,,18,15,,
,,,0.18-0.27 ❹,14,15,,18,15,,
,,,0.24-0.36,14,15,,18,15,,
,,,0.34-0.52,14,15,,18,15,,
,,,0.48-0.72,14,15,,18,15,,
,,,0.64-0.96,14,15,,18,15,,
,,,0.8-1.2,14,15,,18,15,,
,,,0.95-1.45,14,15,,18,15,,
,,,1.4-2.1,14,15,,18,15,,
,,,1.7-2.6,14,15,,18,15,,
,,,2.2-3.4,14,15,,18,15,,
,,,2.8-4.2,14,20,,18,20,,
,,,4-6,14,30,,18,30,,
,,,5-7.5,14,30,,18,30,,
,,,6-9,14,30,,18,30,,
,,,7-10.5,14,30,,18,30,,
,,,9-13,14,50,,18,30,,
,,,13-16.5,14,75,"BW100EAGU
EW100EAGU",18,30,,
,,,15-18,14,75,,18,30,,
ー,SC09X,ー,ー,14,75,"BW100EAGU
EW100EAGU",18,30,"BW50RBGU
EW50RBGU",
ー,SC12X,ー,ー,14,75,,18,30,,
ー,SC18X,ー,ー,14,75,,18,30 ❸,,
