,AC240V,,,AC480V,,,AC600V,,
,"SCCR
[kA]",配線用遮断器 ❶,,"SCCR
[kA]",配線用遮断器 ❶,,"SCCR
[kA]",配線用遮断器 ❶,限流ヒューズ ❷
,,"最大定格電流
[A]","UL489規格認定
富士オートブレーカ
及び漏電遮断器",,"最大定格電流
[A]","UL489規格認定
富士オートブレーカ
及び漏電遮断器",,"最大定格電流
[A]","最大定格電流
[A]"
,25,15,"BW125JAGU
EW125JAGU",18,15,"BW125JAGU
EW125JAGU",5,-,1
,25,15,,18,15,,5,-,1
,25,15,,18,15,,5,-,1
,25,15,,18,15,,5,-,1
,25,15,,18,15,,5,-,3
,25,15,,18,15,,5,-,3
,25,15,,18,15,,5,-,3
,25,15,,18,15,,5,-,3
,25,15,,18,15,,5,-,10
,25,15,,18,15,,5,-,10
,25,15,,18,15,,5,-,10
,25,15,,18,15,,5,-,10
,25,20,,18,20,,5,-,10
,25,30,,18,30,,5,-,20
,25,30,,18,30,,5,-,20
,25,50,,18,30,,5,-,20
,25,50,,18,30,,5,-,20
,25,50,,18,30,,5,-,40
,25,75,,18,30,,5,-,40
,35,30,"BW125JAGU
EW125JAGU",35,30,"BW125RAGU
EW125RAGU",5,-,20
,35,30,,35,30,,5,-,20
,35/25,30/50,,35/10,30/50,"BW125RAGU
EW125RAGU
BW125JAGU
EW125JAGU",5,-,20
,35/25,30/50,,35/10,30/50,,5,-,20
,35/25,30/50,,35/10,30/50,,5,-,40
,35/25,30/75,,35/10,30/75,,5,-,40
,35/25,30/75,,35/10,30/75,,5,-,40
,35/25,30❸/125,,35/10,30❸/125,,5,-,80
,35,30,"BW125JAGU
EW125JAGU",35,30,"BW125RAGU
EW125RAGU",5,-,20
,35,30,,35,30,,5,-,20
,35/25,30/50,,35/10,30/50,"BW125RAGU
EW125RAGU
BW125JAGU
EW125JAGU",5,-,20
,35/25,30/50,,35/10,30/50,,5,-,20
,35/25,30/50,,35/10,30/50,,5,-,40
,35/25,30/75,,35/10,30/75,,5,-,40
,35/25,30/75,,35/10,30/75,,5,-,40
,35/25,30❸/125,,35/10,30❸/125,,5,-,80
,25,125,,10,125,,5,-,80
,25,125,,10,125,,5,-,80
,25,75,"BW125JAGU 
EW125JAGU",18,30❸,"BW125JAGU 
EW125JAGU",5,70,40
,35/25,30❸/125,,35/10,30❸/125,"BW125RAGU
EW125RAGU
BW125JAGU
EW125JAGU",5,150,80
,35/25,30❸/125,,35/10,30❸/125,,5,150,80
,35/25,30❸/125,,35/10,30❸/125,,5,150,80
