変圧器容量 kVA,,30以下,,50〜100,,150〜300,,,500〜1000,,,,1500〜2000,,,2500〜5000,
"遮断容量 kA
(sym)",,"1.5
2.5
5
7.5
10
15
20
25
30
36
42
50
65
85
125
200",,,,,,,,,,,,,,,
フレーム A,30・32,"NF32-CVF
NF32-SV
NF30-KC
（注1）
NF32-SVF",,,,,,,,,,,,,,,
,50・60・63,NF50-KC（注1）,,,,NF63-HV,NF63-HRV,,,,,,,,,,
,,"NF63-SV
NF63-CV
NF63-SVF
NF63-CVF",,,,,,,,,,,,,,,
,100・125,"NF125-CV
NF125-CVF",,,,,NF125-SVF,,NF125-SV,NF125-HV,,,,,NF125-RV,,NF125-UV
,,,,,,,NF125-SEV,,,,,NF125-HEV,,,,,
,225・250,NF250-CV,,,,,,"NF250-SV
NF250-SEV",,,,"NF250-HV
NF250-HEV",,,NF250-RV,,NF250-UV
,400,NF400-CW,,,,,,,,NF400-SW/SEW,,,NF400-HEW,,NF400-REW,,NF400-UEW
,600・630,NF630-CW,,,,,,,,,,NF630-SW/SEW,NF630-HEW,,NF630-REW,,
,800,NF800-CEW,,,,,,,,,,NF800-SEW,NF800-HEW,,NF800-REW,,NF800-UEW
,1000〜1600,NF1000-SEW〜NF1600-SEW,,,,,,,,,,,,,,NF1200-UR,
