"電動機 kW
の合計
（kW以下）","最大
使用電流
（A以下）","電動機中最大のもの（kW）：電動機容量
（A）：全負荷電流",,,,,,,,,,,,,,,,,
,,"0.75
3.6","1.5
6.4","2.2
9.4","3.7
15","5.5
22.3","7.5
29.1","11
41.6","15
57.1","18.5
68.2","22
81.4","30
110","37
136","45
167","55
202","75
264","90
320","110
394","132
476"
3,15,20,20,30,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
4.5,20,30,30,30,40,－,－,－,－,－,－,－,－,－,－,－,－,－,－
6.3,30,40,40,40,50,60,－,－,－,－,－,－,－,－,－,－,－,－,－
8.2,40,50,50,50,50,75,75,－,－,－,－,－,－,－,－,－,－,－,－
12,50,60,60,60,60,75,75,－,－,－,－,－,－,－,－,－,－,－,－
15.7,75,100,100,100,100,100,100,125,125,－,－,－,－,－,－,－,－,－,－
19.5,90,100,100,100,100,100,100,125,125,125,－,－,－,－,－,－,－,－,－
23.2,100,125,125,125,125,125,125,125,125,125,150,－,－,－,－,－,－,－,－
30,125,150,150,150,150,150,150,150,150,150,150,－,－,－,－,－,－,－,－
37.5,150,175,175,175,175,175,175,175,175,175,175,200,－,－,－,－,－,－,－
45,175,200,200,200,200,200,200,200,200,200,200,200,350,－,－,－,－,－,－
52.5,200,225,225,225,225,225,225,225,225,225,225,225,350,500,－,－,－,－,－
63.7,250,300,300,300,300,300,300,300,300,300,300,300,350,500,500,－,－,－,－
75,300,350,350,350,350,350,350,350,350,350,350,350,350,500,500,－,－,－,－
86.2,350,400,400,400,400,400,400,400,400,400,400,400,400,500,500,600,－,－,－
97.5,400,500,500,500,500,500,500,500,500,500,500,500,500,500,500,600,700,－,－
112.5,450,500,500,500,500,500,500,500,500,500,500,500,500,500,500,700,700,－,－
125,500,600,600,600,600,600,600,600,600,600,600,600,600,600,600,700,700,700,－
150,600,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,900
175,700,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,900
200,800,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
225,900,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
250,1000,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
