,直入れ始動,"電 動 機
4極の場合",,電磁開閉器（注1）（注2）,,遮断容量  kA  AC230V（Icu sym）,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.5,,5,,7.5,,10,,15,,25,,30（注3）,,50,,85,,100,,150,,200,
,,"出力
kW
0.75","全負荷
電流A
3.6","形　　名
T10〜T21","ヒータ
称呼A
3.6",NF32-CVF,"形　名 定格
10",NF30-KC,"形　名 定格 形　名 定格 形　名 定格 形　名 定格 形　名 定格 形　名 定格 形　名 定格 形　名 定格 形　名 定格 形　名
10",NF32-SV,10,,,NF63-SV,10,NF63-HV,10,,,NF125-SV,（15）,,,NF125-HV,（15）,NF125-RV,"定格
（15）","形　名
NF125-UV","定格
（15）"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1.5,6.4,T10〜T25,6.6,,15,,15,,15,,,,15,,15,,,,（15）,NF63-HRV,（15）,NF125-HV,15,,（15）,,（15）
,,2.2,9.4,T10〜T35,,〃 〃 〃,20,〃 〃 〃,20,〃 〃 〃,20,,,,20,,20,,,,20,,20,,20,,20,,20
,,3.7,15,T20〜T35,"9 1
5",,30,,30,,30,,,〃 〃 〃 〃 〃,30,〃 〃 〃 〃 〃,30,,,,30,〃 〃 〃,30,,30,,30,,30
,,5.5,22.3,T25〜T65,22,,,NF50-KC,50,NF63-CV,50,,,,50,,50,,,〃 〃 〃 〃 〃 〃 〃,50,,50,,50,〃 〃 〃 〃 〃 〃 〃,50,〃 〃 〃 〃 〃 〃 〃,50
,,7.5,29.1,T35〜T80,29,,,NF100-KC,60,〃,60,,,,60,,60,,,,60,,,〃 〃 〃 〃 〃 〃,60,,60,,60
,,11,41.6,T50〜T100,42,,,〃,100,,,,,,,,,NF125-CV,75,,75,,,,75,,75,,75
,,15,57.1,T65〜T100･N125,54,,,,,,,,,,,,,〃,100,,100,,,,100,,100,,100
Y-Δ始動,直入れ始動,5.5,22.3,,22,,,NF50-KC,50,NF63-CV,50,,,NF63-SV,50,NF63-HV,50,,,NF125-SV,50,NF63-HRV,50,NF125-HV,50,NF125-RV,50,NF125-UV,50
,,7.5,29.1,,29,,,NF100-KC,75,〃,60,,,〃,60,〃,60,NF125-CV,60,,60,,,,60,,60,,60
,,11,41.6,− − − −,42,,,〃,100,,,,,,,,,,75,,75,,,,75,,75,,75
,,"15
18.5","57.1
68.2",T80･T100･N125,"54
67",,,,,,,,,,,,,〃 〃 〃,"100
100",〃 〃 〃 〃,"100
100",,,〃 〃 〃 〃,"100
100",〃 〃 〃 〃,"100
125",〃 〃 〃 〃,"100
100"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,81.4,T100･N125･N150,82,,,,,,,,,,,,,NF250-CV,150,,,NF250-SV,150,NF250-HV,150,NF250-RV,150,NF250-UV,150
,,30,110,N125〜N220,105,,,,,,,,,,,,,,175,,,,175,,175,,175,,175
,,37,136,N150〜N220,125,,,,,,,,,,,,,〃 〃,225,,,〃 〃,225,〃 〃,225,〃 〃,225,〃 〃,225
,,45,167,N180〜N400,150,,,,,,,,,,,,,,,NF400-CW,400,NF400-SW,300,NF400-HEW,250,NF400-REW,250,NF400-UEW,250
,,55,202,N220〜N400,180,,,,,,,,,,,,,,,NF630-CW,500,NF400-SEW,300,〃,300,〃,300,〃,300
,,,,,,,,,,,,,,,,,,,,,,NF400-SW,350,,,,,,
