直入れ始動,"電  動  機
4極の場合",,電磁開閉器（注1）（注2）,,遮断容量  kA  AC415V（Icu sym）,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.5,,2.5,,7.5,,10,,25,,30（注3）,,30,,50,,70,,150,,,200,
,"出力
kW
0.75","全負荷
電流A
1.8","形　　名
T10〜T21","ヒータ
称呼A
1.7","形　名
NF30-KC（注4）
NF32-CVF","定格
5","形　名
NF32-SV","定格
5","形　名
NF63-SV","定格
5","形　名
NF63-HV","定格
10",形　名,定格,"形　名
NF125-SV","定格
（15）",形　名,定格,"形　名
NF125-HV","定格
（15）",,形　名 定格,"形　名
NF125-RV","定格
（15）",,"形　名
NF125-UV","定格
（15）"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.5,3.2,,3.6,,10,,10,,10,,10,,,,（15）,,,,（15）,,,,（15）,,,（15）
,2.2,4.7,〃 〃,5,,10,,10,,10,,10,,,,（15）,,,,（15）,,,,（15）,,,（15）
,3.7,7.5,T12〜T35,6.6,〃 〃 〃 〃 〃,20,〃 〃 〃 〃 〃,20,,20,,20,,,,20,NF63-HRV,20,,20,,,,20,,,20
,5.5,11.2,T20〜T35,11,,30,,30,,30,〃 〃 〃 〃 〃 〃,30,,,,30,,30,,30,,,,30,,,30
,7.5,14.6,T20〜T35,15,,30,,30,〃 〃 〃 〃 〃 〃 〃 〃,30,,30,,,,30,〃 〃 〃,30,,30,,,,30,,,30
,11,20.8,T25〜T65,22,NF50-KC（注4）,50,NF63-CV,50,,50,,50,,,〃 〃 〃 〃 〃 〃 〃 〃 〃 〃 〃,50,,50,〃 〃 〃 〃 〃 〃 〃 〃 〃 〃 〃,50,,,〃 〃 〃 〃 〃 〃 〃 〃 〃 〃 〃,50,,〃 〃 〃 〃 〃 〃 〃 〃 〃 〃 〃,50
,15,28.6,T35〜T80,29,,,,60,,60,NF63-HV,60,,,,60,,,,60,,,,60,,,60
,18.5,34.1,T50〜T100,35,,,〃 〃,60,,60,NF125-CV,60,,,,60,,,,60,,,,60,,,60
,22,40.7,〃,42,,,,,,,,75,,,,75,,,,75,,,,75,,,75
,30,55,T65〜T100･N125,54,,,,,,,〃 〃 〃,100,,,,100,,,,100,,,,100,,,100
,37,68,T80･T100･N125･N150,67,,,,,,,,100,,,,100,,,,100,,,,100,,,100
,45,83.5,T100･N125･N150,82,,,,,,,,,NF250-CV,125,NF250-SV,125,,,,,NF250-HV,125,NF250-RV,125,,NF250-UV,125
"Y-Δ始動
直入れ始動",5.5,11.2,,11,,,NF63-CV,30,NF63-SV,30,NF63-HV,30,,,NF125-SV,30,NF63-HRV,30,NF125-HV,30,,,NF125-RV,30,,NF125-UV,30
,7.5,14.6,,15,,,,30,,30,,30,,,,30,,30,,30,,,,30,,,30
,11,20.8,,22,,,,50,,50,〃 〃,50,,,,50,〃 〃,50,,50,,,,50,,,50
,15,28.6,,29,,,〃 〃 〃 〃,60,〃 〃 〃 〃,60,NF125-CV,60,,,,60,,,,60,,,,60,,,60
,18.5,34.1,− − − − − − − − −,35,,,,60,,60,,60,,,〃 〃 〃 〃 〃 〃 〃,60,,,〃 〃 〃 〃 〃 〃 〃,60,,,〃 〃 〃 〃 〃 〃 〃,60,,〃 〃 〃 〃 〃 〃 〃,60
,22,40.7,,42,,,,,,,,75,,,,75,,,,75,,,,75,,,75
,30,55,,54,,,,,,,〃 〃 〃 〃,100,,,,100,,,,100,,,,100,,,100
,37,68,,67,,,,,,,,100,,,,100,,,,100,,,,125,,,100
,"45
55","83.5
101",N125〜N220,"82
105",,,,,,,,,"NF250-CV
〃","150
175","NF250-SV
〃","150
175",,,,,"NF250-HV
〃","150
175","NF250-RV
〃","150
175",,"NF250-UV
〃","150
175"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
