直入れ始動,"電 動 機
4極の場合",,電磁開閉器（注1）（注2）,,遮断容量  kA  AC230V（Icu sym）,,,,,,,,,,,,,,,,,,,
,,,,,2.5,,5,,7.5,,15（注3）,,25,,30（注4）,,50,,85,,100,,150,
,"出力
kW
0.75","全負荷
電流A
3.6","形　　名
T10〜T21","ヒータ
称呼A
3.6","形　名
NV32-CVF","定格
10","形　名
NV30-KC","定格
10","形　名
NV63-CV","定格
10","形　名
NV32-SV","定格
（15）","形　名
NV63-HV","定格
（15）",形　名,定格,"形　名
NV125-SV","定格
（15）",形　名,定格,"形　名
NV125-HV","定格
（15）",形　名,定格
,,,,,,,,,,,,,,,,,,,,,,,,
,1.5,6.4,T10〜T25,6.6,,15,,15,,15,,15,,15,,,,15,,,,（15）,,
,2.2,9.4,T10〜T35,9,〃 〃 〃,20,〃 〃 〃,20,,20,〃 〃 〃,20,,20,,,,20,,,,20,,
,3.7,15,T20〜T35,15,,30,,30,〃 〃 〃 〃 〃,30,,30,〃 〃 〃 〃 〃,30,,,,30,,,,30,,
,5.5,22.3,T25〜T65,22,,,NV50-KC,50,,50,NV63-SV,50,,50,,,〃 〃 〃 〃 〃 〃 〃,50,,,〃 〃 〃 〃 〃 〃 〃,50,,
,7.5,29.1,T35〜T80,29,,,NV100-KC,60,,60,〃,60,,60,,,,60,,,,60,,
,11,41.6,T50〜T100,42,,,〃,100,,,,,,,NV125-CV,75,,75,,,,75,,
,15,57.1,T65･T100･N125,54,,,,,,,,,,,〃,100,,100,,,,100,,
"Y-Δ始動
直入れ始動",5.5,22.3,,22,,,NV50-KC,50,NV63-CV,50,NV63-SV,50,NV63-HV,50,,,NV125-SV,50,,,NV125-HV,50,,
,7.5,29.1,,29,,,NV100-KC,75,〃,60,〃,60,〃,60,NV125-CV,60,,60,,,,60,,
,11,41.6,− − − −,42,,,〃,100,,,,,,,,75,,75,,,〃 〃 〃 〃,75,,
,"15
18.5","57.1
68.2",T80･T100･N125,"54
67",,,,,,,,,,,〃 〃 〃,"100
100",〃 〃 〃 〃,"100
100",,,,"100
100",,
,,,,,,,,,,,,,,,,,,,,,,,,
,22,81.4,T100･N125･N150,82,,,,,,,,,,,NV250-CV,150,,,NV250-SV,150,NV250-HV,150,,
,30,110,N125〜N220,105,,,,,,,,,,,,175,,,,175,,175,,
,37,136,N150〜N220,125,,,,,,,,,,,〃 〃,225,,,〃 〃,225,〃 〃,225,,
,45,167,N180〜N400,150,,,,,,,,,,,,,NV400-CW,400,NV400-SW,300,NV400-HEW,250,NV400-REW,250
,55,202,N220〜N400,180,,,,,,,,,,,,,NV630-CW,500,NV400-SEW,300,〃,300,〃,300
,,,,,,,,,,,,,,,,,,,NV400-SW,350,,,,
