直入れ始動,"電  動  機
4極の場合",,電磁開閉器（注1）（注2）,,遮断容量  kA  AC415V（Icu sym）,,,,,,,,,,,,,,,
,,,,,2.5,,5,,7.5,,10,,25,,30（注3）,,50,,70,
,"出力
kW
0.75","全負荷
電流A
1.8","形　　名
T10〜T21","ヒータ
称呼A
1.7","形　名
NV63-CV","定格
5","形　名
NV32-SV","定格
5","形　名
NV63-SV","定格
5","形　名
NV63-HV","定格
（15）",形　名,定格,"形　名
NV125-SV","定格
（15）","形　名
NV125-HV","定格
（15）",形　名,定格
,,,,,,,,,,,,,,,,,,,,
,1.5,3.2,,3.6,,10,,10,,10,,（15）,,,,（15）,,（15）,,
,2.2,4.7,〃 〃,5,,10,,10,,10,,（15）,,,,（15）,,（15）,,
,3.7,7.5,T12〜T35,6.6,,20,〃 〃 〃 〃 〃,20,,20,,20,,,,20,,20,,
,5.5,11.2,T20〜T25,11,,30,,30,,30,〃 〃 〃 〃 〃 〃 〃,30,,,,30,,30,,
,7.5,14.6,T20〜T50,15,〃 〃 〃 〃 〃 〃 〃 〃,30,,30,〃 〃 〃 〃 〃 〃 〃 〃,30,,30,,,,30,,30,,
,11,20.8,T25〜T65,22,,50,,,,50,,50,,,〃 〃 〃 〃 〃 〃 〃 〃 〃 〃 〃,50,〃 〃 〃 〃 〃 〃 〃 〃 〃 〃 〃,50,,
,15,28.6,T35〜T80,29,,60,,,,60,,60,,,,60,,60,,
,18.5,34.1,T50〜T100,35,,60,,,,60,NV125-CV,60,,,,60,,60,,
,22,40.7,〃,42,,,,,,,,75,,,,75,,75,,
,30,55,T65〜T100･N125,54,,,,,,,〃 〃 〃,100,,,,100,,100,,
,37,68,T80･T100･N125･N150,67,,,,,,,,100,,,,100,,100,,
,45,83.5,T100･N125･N150,82,,,,,,,,,NV250-CV,125,NV250-SV,125,,,NV250-HV,125
"Y-Δ始動
直入れ始動",5.5,11.2,,11,NV63-CV,30,NV32-SV,30,NV63-SV,30,NV63-HV,30,,,NV125-SV,30,NV125-HV,30,,
,7.5,14.6,,15,,40,,,,40,,40,,,,40,,40,,
,11,20.8,,22,,50,,,,50,〃 〃,50,,,,50,,50,,
,15,28.6,,29,〃 〃 〃 〃,60,,,〃 〃 〃 〃,60,NV125-CV,60,,,,60,,60,,
,18.5,34.1,− − − − − − − − −,35,,60,,,,60,,60,,,〃 〃 〃 〃 〃 〃 〃,60,〃 〃 〃 〃 〃 〃 〃,60,,
,22,40.7,,42,,,,,,,,75,,,,75,,75,,
,30,55,,54,,,,,,,〃 〃 〃 〃,100,,,,100,,100,,
,37,68,,67,,,,,,,,100,,,,100,,100,,
,"45
55","83.5
101",N125〜N220,"82
105",,,,,,,,,"NV250-CV
〃","150
175","NV250-SV
〃","150
175",,,"NV250-HV
〃","150
175"
,,,,,,,,,,,,,,,,,,,,
