"最大使用電流
A","遮断器の
定格電流A",遮断容量  kA  AC415V（Icu sym）,,,,,,,,,,,,,,
,,"1.5
2.5
5
7.5
10
25
30
36
45
50
70
85
125
150
200",,,,,,,,,,,,,,
12,15,"NF32-CVF
NF32-SVF
NF32-SV
NF30-KC",,,,,,,,"NF125-HV
NF125-
HEV",,,"NF125-
NF125-RV
UV",,,
16,20,,,,,,,,,,,,,,,
24,30,,,,,,,,,,,,,,,
25,32,"NF63-SVF
NF32-CVF
NF63-SV
NF63-HRV",,,,,,,,,,,,,,
32,40,"NF63-CV
NF63-HV
NF50-KC
BH-K（2P, 3P）
NF125-SVF",,,,,,,,,,,,,,
40,50,,,,,,,,,,,,,,,
48,60,"NF63-CVF
BH-K100",,,,,,,,,,,,,,
50,63,"NF63-CVF, NF63-CV",,,,,,,,,,,,,,
60,75,"BH-K100
NF125-CVF
NF125-SEV
NF125-SV",,,,,,,,,,,,,,
80,100,,,,,,,,,,,,,,,
100,125,NF125-CV,,,,,,,,,,,,,,
120,150,"NF250-SV
NF250-CV
NF250-SEV",,,,,,,,"NF250-HV
NF250-HEV",,,"NF250-
NF250-RV
UV",,,
140,175,,,,,,,,,,,,,,,
160,200,,,,,,,,,,,,,,,
180,225,,,,,,,,,,,,,,,
200,250,,,,,,,,,,,,,,,
240,300,NF400-CW,,,,,,,,"NF400-
SW","NF400-
SEW","NF400-
HEW",NF400-REW,,NF400-UEW,
280,350,,,,,,,,,,,,,,,
320,400,,,,,,,,,,,,,,,
400,500,NF630-CW,,,,,,,,"NF630-SW
NF630-SEW",,"NF630-
HEW",NF630-REW,,NF800-UEW,
480,600,,,,,,,,,,,,,,,
504,630,,,,,,,,,,,,,,,
560,700,NF800-CEW,,,,,,,,NF800-SEW,,"NF800-
HEW",NF800-REW,,,
640,800,,,,,,,,,,,,,,,
800,1000,NF1000-SEW,,,,,,,,,,,,NF1200-UR,,
960,1200,NF1250-SEW,,,,,,,,,,,,,,
1000,1250,,,,,,,,,,,,,,,
1120,1400,NF1600-SEW,,,,,,,,,,,,,,
1200,1500,,,,,,,,,,,,,,,
1280,1600,,,,,,,,,,,,,,,
