形名,モータブレーカ,,MB30-KC（注4）,NF32-SV,MB50-KC（注4）,NF63-CV,NF63-SV,NF63-SVF,NF125-SV,NF250-SV,
,"モ ー タ 保 護 用
漏 電 遮 断 器",,MN30-KC（注4）,,MN50-KC（注4）,NV63-CV,NV63-SV,NV63-SVF,NV125-SV,NV250-SV,
"定格短絡
遮断容量
kA",,AC200/230V,5,7.5,5,7.5,15,15,50,85,
,,AC415/440V,1.5（注3）,2.5,1.5（注3）,2.5,7.5,10（注8）,30（注5）,36,
"600%始動時間制限
（s）",,,2,2,2,"32A以下2
40A以上7","32A以下2
40A以上7",2,"32A以下2
40A以上7",5,
"始 動 突 入 制 限
（％）",,,700,1200,700,1200,1200,1100,1200,1100,
"電動機の定格容量例
（kW）",,,定格電流,定格電流,定格電流,定格電流,定格電流,定格電流,定格電流,定格電流,"電磁接触器を組合
せる場合の形名"
200/220V,,400/440V,,,,,,,,,
,,,（0.8）（注7）,,,,,,,,T10〜T21
,,0.4,（1.2）（注7）,,,,,1.2（注1）,,,
0.2,,,1.4（注1）（注7）,,（1.4）（注2）,,,1.4,,,
,,0.75,（2）,,,,,"（注1）
2",,,
0.4,,,2.5（注1）（注7）,,（2.5）（注2）,,,2.5,,,
0.75,,1.5,4 （注1）,,（4）（注2）,4,4,4,,,
,,2.2,（5）,4 5,,"（注1）
5","（注1）
5","（注1）
5",,,
,,,（6.3）（注2）（注6）,,（6.3）（注2）,,,,,,
1.5,,,7.1（注1）（注7）,7.1,（7.1）（注2）,7.1,7.1,7.1,,,
,,3.7,（8）,8,（8）,"（注1）
8","（注1）
8","（注1）
8",,,T12〜T35
2.2,,,10（注1）,10,（10）,10,10,10,,,
,,5.5,（12）（注7）,12,（12）,12（注1）,12（注1）,12（注1）,（12.5）,,T20〜T35
3.7,,7.5,16（注1）,16,（16）,16,16,16,（16）,,T20〜T50
5.5,,11,25（注1）（注7）,25,（25）,25,25,25,（25）,,T25〜T65
7.5,,15,32（注1）（注7）,32,（32）,32,32,32,32,,T35〜T80
,,18.5,,,（40）,40（注1）,40（注1）,40（注1）,（40）,,T50〜T100
11,,22,,,45（注1）,45,45,,45（注1）,,
15,,30,,,,,,,63,,T65〜T100･N125
18.5,,37,,,,,,,71,,T80･T100･N125
22,,45,,,,,,,90,,T100･N125
,,55,,,,,,,100,,N125〜N220
30,,,,,,,,,,125（注1）,
37,,75,,,,,,,,150（注1）,N150〜N400
45,,90,,,,,,,,175（注1）,N180〜N400
,,,,,,,,,,200（注1）,N220〜N400
55,,110,,,,,,,,225（注1）,
