形名,,モータブレーカ,NF32-SV PR,NF63-CV PR,NF63-SV PR,NF125-SV PR,NF250-SV PR,
,,"モ ー タ 保 護 用
漏 電 遮 断 器",,NV63-CV PR,NV63-SV PR,NV125-SV PR,NV250-SV PR,
"定格短絡遮断
容量　kA",,AC200/230V,7.5,7.5,15,50,85,
,,AC415/440V,2.5,2.5,7.5,30（注3）,36,
"8
0
0 % 始 動 時 間 制 限
（s）",,,2,"32A以下2
40A以上3","32A以下2
40A以上3","32A以下2
40A以上3",3,
"始
動
突
入
制
限
（％）",,,1200,1200,1200,1200,1100,
"電 動 機 の 定 格 容 量 例
（kW）",,,定格電流,定格電流,定格電流,定格電流,定格電流,"電磁接触器を組合せる
場合の形名"
200/220V,400/440V,,,,,,,
,0.75,,（2）,（2）,（2）,,,T10〜T21
0.75,1.5,,,"（注2）
4",（4）,,,
,2.2,,4 5,（5）,（5）,,,
1.5,,,7.1,7.1,7.1（注1）,,,
,3.7,,8,"（注1）
8","（注1）
8",,,T12〜T35
2.2,,,10,10,10（注1）,,,T12〜T35
,5.5,,12,12（注1）,12（注1）,（12.5）,,T20〜T35
3.7,7.5,,16,16,16（注1）,（16）,,T20〜T50
5.5,11,,25,25,25（注1）,（25）,,T25〜T65
7.5,15,,32,32,32（注1）,（32）,,T35〜T80
,18.5,,,（40）,（40）,（40）,,T50〜T100
11,22,,,45,45（注1）,45（注1）,,
15,30,,,,,63（注1）,,T65〜T100･N125
18.5,37,,,,,71（注1）,,T80･T100･N125
22,45,,,,,90（注1）,,T100･N125
,55,,,,,（100）,,N125〜N220
30,,,,,,,（125）,
37,75,,,,,,150（注1）,N150〜N400
45,90,,,,,,（175）,N180〜N400
,,,,,,,（200）,N220〜N400
55,110,,,,,,（225）,
