"コンデンサ容量
kvar",分岐回路用遮断器の定格電流　 A,,,,,
,合計バンク数,,,,,
,リアクトル　 6％,,,,,
,,,,,5,6
,"1 3
0","2 3
0","3 3
0","4 3
0",30,30
"5 1
0",50,50,50,50,50,50
15,75,75,75,75,75,75
20,100,100,100,100,100,100
25,125,125,125,125,125,125
30,125,125,125,125,125,150
40,175,175,175,175,175,200
50,225,225,225,225,225,250
75,350,350,350,350,350,350
100,500,500,500,500,500,500
150,700,700,700,700,700,700
200,900,900,900,900,900,1000
250,1200,1200,1200,1200,1200,1200
300,1400,1400,1400,1400,1400,1400
400,1800,1800,1800,1800,1800,1800
500,2500,2500,2500,2500,2500,2500
600,2500,2500,2500,2500,2500,2800
750,3200,3200,3200,3200,3200,3200
