"主回路遮断器
単体遮断容量
分岐回路遮断器",,,電　子　式　NFB,,,,,,,
,,,"NF125-SEV
NF125-HEV","NF250-SEV
NF250-HEV",NF400-SEW,NF630-SEW,"NF800-CEW
NF800-SEW",,NF1000-SEW NF1250-SEW NF1600-SEW,
,,,70（注3）,70（注3）,50,50,50（注4）,85,85,85
"NF
│S・H・N
V│S・H",NF32-SV,2.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,NV32-SV,5,1.5,2.5,5,5,5,5,5,5
,"NF63-SV
NV63-SV",7.5,1.5,2.5,7.5,7.5,7.5,7.5,7.5,7.5
,"NF63-HV
NV63-HV",10,1.5,2.5,7.5,10,10,10,10,10
,NF63-HRV,30,－,2.5,7.5,15,18,18,18,30
,"NF125-SV
NF125-SEV
NV125-SV
NV125-SEV","30
（注3）",－,2.5,5,10,10,10,10,22
,"NF125-HV
NV125-HV",50,－,2.5,7.5,18,18,18,18,50
,"NF250-SV
NF250-SEV
NV250-SV
NV250-SEV",36,－,－,－,10,10,10,10,22
,"NF250-HV
NF250-HEV
NV250-HV
NV250-HEV",70,－,－,－,10,15,15,15,22
,"NF400-SW
NV400-SW",45,－,－,－,－,13,13,13,20
,"NF400-SEW
NV400-SEW",50,－,－,－,－,8,10,10,16
,"NF630-SW
NF630-SEW
NV630-SW
NV630-SEW",50,－,－,－,－,－,－,－,16
"NF
│C・N
V│C","NF63-CV
NV63-CV",2.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,"NF125-CV
NV125-CV",10,－,2.5,5,10,10,10,10,10
,"NF250-CV
NV250-CV",25,－,－,－,7.5,7.5,7.5,7.5,15
,"NF400-CW
NV400-CW",36,－,－,－,－,13,13,13,20
,"NF630-CW
NV630-CW",36,－,－,－,－,－,－,－,20
"NF
│U",NF125-RV,150,－,2.5,15,30,30,50,50,85
,NF125-UV,200,－,2.5,15,30,50,50,50,85
,NF250-RV,150,－,－,－,15,15,25,25,85
,NF250-UV,200,－,－,－,15,25,25,25,85
,NF400-UEW,200,－,－,－,－,15,15,15,25
,NF800-UEW,200,－,－,－,－,－,－,－,－
BH,"240V以下
BH-K（注1）
BH-P",2.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,"BH-K（注2）
BH-K100",2.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
