"主回路遮断器
単体遮断容量
分岐回路遮断器",,,低圧気中遮断器 AE-SW,,,,,,,,,,,
,,,,AE630-SW AE1000-SW AE1250-SW AE1600-SW AE2000-SWA,,,,,AE2000-SW AE2500-SW AE3200-SW AE4000-SWA,,,,AE4000-SW AE5000-SW AE6300-SW,
,,,65,65,65,65,65,85,85,85,85,130,130,130
"NF
│S・N
V│S",NF32-SV,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,NV32-SV,5,5,5,5,5,5,5,5,5,5,5,5,5
,"NF63-SV
NV63-SV",7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
,"NF63-HV
NV63-HV",10,9(10),10,10,10,10,10,10,10,10,10,10,10
,NF63-HRV,30,9(30),30,30,30,30,30,30,30,30,30,30,30
,"NF125-SV
NV125-SV",30,7(30),20(30),25(30),30,30,30,30,30,30,30,30,30
,"NF125-SEV
NV125-SEV",36,7(36),20(36),25(36),30(36),36,36,36,36,36,36,36,36
,"NF125-HV
NV125-HV",50,9(50),30(50),50,50,50,50,50,50,50,50,50,50
,"NF250-SV
NF250-SEV
NV250-SV
NV250-SEV",36,7(36),14(36),19(36),25(36),25(36),36,36,36,36,36,36,36
,"NF250-HV
NF250-HEV
NV250-HV
NV250-HEV",70,7(65),15(65),25(65),42(65),42(65),70,70,70,70,70,70,70
,"NF400-SW
NV400-SW",45,－,－,18(45),24(45),24(45),33(45),45,45,45,45,45,45
,"NF400-SEW
NV400-SEW",50,9(50),15(50),18(50),24(50),24(50),30(50),39(50),50,50,50,50,50
,"NF400-HEW
NV400-HEW",70,9(65),15(65),18(65),24(65),24(65),30(70),39(70),70,70,70,70,70
,"NF400-REW
NV400-REW",125,9(65),15(65),18(65),24(65),24(65),30(75),39(75),80,80,100,100,100
,"NF630-SW
NV630-SW",50,－,－,－,24(50),24(50),30(50),37(50),50,50,50,50,50
,"NF630-SEW
NV630-SEW",50,－,15(50),18(50),24(50),24(50),30(50),37(50),50,50,50,50,50
,"NF630-HEW
NV630-HEW",70,－,15(65),18(65),24(65),24(65),30(70),37(70),48(70),48(70),70,70,70
,NF630-REW,125,－,15(65),18(65),24(65),24(65),30(75),37(75),48(75),48(75),75(100),75(100),75(100)
,"NF800-SEW
NV800-SEW",50,－,－,18(50),24(50),24(50),30(50),37(50),48(50),48(50),50,50,50
,"NF800-HEW
NV800-HEW",70,－,－,18(65),24(65),24(65),30(70),37(70),48(70),48(70),70,70,70
,NF800-REW,125,－,－,18(65),24(65),24(65),30(75),37(75),48(75),48(75),75(100),75(100),75(100)
"NF
│C・N
V│C","NF63-CV
NV63-CV",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,"NF125-CV
NV125-CV",10,9(10),10,10,10,10,10,10,10,10,10,10,10
,"NF250-CV
NV250-CV",25,9(25),15(25),18(25),25,25,25,25,25,25,25,25,25
,"NF400-CW
NV400-CW",36,－,15(36),18(36),24(36),24(36),25(36),36,36,36,36,36,36
,"NF630-CW
NV630-CW",36,－,－,－,24(36),24(36),30(36),36,36,36,36,36,36
,NF800-CEW,36,－,－,18(36),24(36),24(36),30(36),36,36,36,36,36,36
"NF
│U",NF125-RV,150,35(65),65,65,65,65,85,85,85,85,125,125,125
,NF125-UV,200,50(65),65,65,65,65,85,85,85,85,130,130,130
,NF250-RV,150,9(65),50(65),65,65,65,85,85,85,85,125,125,125
,NF250-UV,200,9(65),65,65,65,65,85,85,85,85,130,130,130
,NF400-UEW,200,9(65),15(65),18(65),29(65),29(65),48(75),85,85,85,130,130,130
,NF800-UEW,200,－,－,18(65),24(65),24(65),30(75),37(75),68(75),68(75),85(100),85(100),85(100)
