"バックアップ
遮断器
単体遮断容量
被バックアップ
遮断器",,,NF-S/R・NV-S/R,,,,,,,,,,,,,,,NF-C・NV-C,,,,NF-R/U,,,,,,
,,,"NF125-SV
NV125-SV","NF125-HV
NV125-HV","NF250-SV
NV250-SV","NF250-HV
NV250-HV","NF400-SW
NV400-SW","NF400-HEW
NV400-HEW","NF400-REW
NV400-REW","NF630-SW
NV630-SW","NF630-HEW
NV630-HEW",NF630-REW,"NF800-SEW
NV800-SEW","NF800-HEW
NV800-HEW",NF800-REW,"NF1000-SEW, NF1250-SEW
NF1600-SEW","NV1000-SB
NV1200-SB","NF250-CV
NV250-CV","NF400-CW
NV400-CW","NF630-CW
NV630-CW",NF800-CEW,NF125-RV,NF125-UV,NF250-RV,NF250-UV,NF400-UEW,NF800-UEW,NF1200-UR
,,,50,100,85,100,85,100,150,85,100,150,85,100,150,125,125,36,50,50,50,150,200,150,200,200,200,170
"NF
｜S･N
F｜H･N
V｜S･N
V｜H",NF32-SV,7.5,42,50,10,10,,,,,,,,,,,,,,,,125,200,35,50,,,
,NV32-SV,10,42,50,35,35,"− 1
4","− 1
4","− 1
4","− 1
4","− 1
4","− 1
4",,,,,,"− 2
5",− 1,− 1,,125,200,35,50,,,
,NF63-SV,15,42,85,35,35,30,30,30,30,30,30,− − − −,− − − −,− − − −,− − − −,− − − −,25,4 − −,4 − −,− − − −,125,200,85,125,− − − −,− − − −,− − − −
,NV63-SV,15,42,85,35,35,−,−,−,,−,−,,,,,,25,,,,125,200,85,125,,,
,"NF63-HV
NV63-HV",25,50,100,50,50,50,50,50,"− 5
0",50,50,−,−,−,−,−,−,30,30,−,125,200,85,125,−,−,−
,NF63-HRV,85,−,−,−,−,−,−,−,,−,−,−,−,−,−,−,−,−,−,−,125,200,125,200,200,125,−
,"NF125-SV
NV125-SV",50,−,100,−,85,85,85,85,"− 8
5",85,85,−,−,−,−,−,−,−,−,−,125,200,125,200,200,125,−
,"NF125-HV
NV125-HV",100,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,125,200,125,200,200,125,−
,"NF250-SV
NV250-SV",85,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,125,200,200,125,−
,"NF250-HV
NV250-HV",100,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,125,200,200,200,−
,"NF400-SW
NV400-SW",85,−,−,−,−,−,−,−,−,−,−,−,−,−,100,100,−,−,−,−,−,−,−,−,200,200,100
,"NF400-SEW
NV400-SEW",85,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NF630-SW
NF630-SEW
NV630-SW
NV630-SEW",85,−,−,−,−,−,−,−,−,−,−,−,−,−,100,100,−,−,−,−,−,−,−,−,−,200,100
"NF
｜C・N
V｜C","NF63-CV
NV63-CV",7.5,35,50,10,10,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,125,200,35,50,−,−,−
,"NF125-CV
NV125-CV",30,35,85,50,50,50,50,50,50,50,50,−,−,−,−,−,−,−,−,−,125,200,85,125,50,−,−
,"NF250-CV
NV250-CV",36,−,−,50,50,50,50,50,50,50,50,−,−,−,−,−,−,−,−,−,−,−,125,200,200,50,−
,"NF400-CW
NV400-CW",50,−,−,−,−,85,85,85,85,85,85,85,85,85,85,85,−,−,−,−,−,−,−,−,200,200,85
,"NF630-CW
NV630-CW",50,−,−,−,−,−,−,−,85,85,85,85,85,85,85,85,−,−,−,−,−,−,−,−,−,200,85
"BH
･
KC","BH-K (注1)
BH-P",2.5,30,42,5,7.5,−,−,−,−,−,−,−,−,−,−,−,5,−,−,−,125,200,−,−,−,−,−
,"BH-K (注2)
BH-K100",5,30,42,10,7.5,−,−,−,−,−,−,−,−,−,−,−,10,−,−,−,125,200,−,−,−,−,−
,"NF30-KC
NF50-KC
NF100-KC
NV30-KC
NV50-KC
NV100-KC",5,30,42,10,7.5,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,125,200,−,−,−,−,−
