仕様,"クラス
シリーズ",形名,船級協会（注1）,,,,,
,,,NK,LR,ABS,DNV,BV,CCS
,,,日本,イギリス,アメリカ,ノルウェー,フランス,中国
国内一般品,C,NF125-CVF,,,,,,
,,"NF63-CV, NF125-CV",,,,,,
,,NF250-CV,,,,,,
,,"NF400-CW, NF630-CW",● ● ● ● ● ● ●,△ △ △ △ △ △ △,△ △ △ △ △ △ △,△ △ △ △ △ △ △,△ △ △ △ △ △ △,△ △ △ ー ー △ △
,,NF800-CEW,,,,,,
,S,"NF32-SV, NF63-SV, NF125-SV",,,,,,
,,NF250-SV,,,,,,
,,"NF400-SW, NF630-SW",●,△,△,△,△,△
,,"NF400-SEW, NF630-SEW
NF800-SEW",,,,,,
,,"NF1000-SEW, NF1250-SEW",,,,,,
,H/R,"NF63-HRV, NF63-HV, NF125-HV",● ●,△ △,△ △,ー △,ー △,
,,NF250-HV,●,△,△,△,△,ー△ △ △
,,"NF400-HEW, NF400-REW",,,,,,（HEW）
,,"NF630-HEW, NF630-REW",,,,,,
,,"NF800-HEW, NF800-REW",,,,,,
,,"NF125-RV, NF250-RV",,,,,,
,U,"NF125-UV, NF250-UV",● ● ●,△ △ ー,△ △ ー,△ △ ー,△ △ ー,ー△ △ ー ー
,,NF400-UEW,,,,,,
,,NF1200-UR,,,,,,
,"モータ
ブレーカ","NF32-SV MB, NF63-CV MB
NF63-SV MB, NF125-SV MB
NF250-SV MB",●,△,△,△,△,△
,,"NF32-SV PR, NF63-CV PR
NF63-SV PR, NF125-SV PR
NF250-SV PR",●（2A 除く）,△,△,△,△,△
,AE,"AE630-SW, AE1000-SW
AE1250-SW, AE1600-SW
AE2000-SWA, AE2000-SW
AE2500-SW, AE3200-SW
AE4000-SWA",●,●,●,●,●,●
,,"AE4000-SW, AE5000-SW, AE6300-SW",●,,,,,
,CP,CP30-BA,△（注 2）（注 3）,● ー△,● ー ー,● ー △,● ー △,ー ー ー
,BH,"BH-K, BH-P
BH-K100",△,（BH-P）,,（BH-P）,（BH-P）,
