形名,"漏電遮断器の定格電流
A","定格感度電流
mA",動作時間,"雷インパルス電流の最大値
（8/20μs）"
NV30-KC,30,"（15）, 30",0.1s,5kA
NV50-KC,"30, 40, 50","15, 30",,
NV63-CV,"30, 40, 50","15※, 30",,
NV63-CV,"60, 63","（15）※, 30",,
NV100-KC,"60, 75, 100",30,,
NV125-CV,"60, 75, 100, 125","（15）, 30",,
NV250-CV,"125, 150, 175, 200, 225, 250",30,,
NV50-NKC,"30, 40, 50",30,,
NV60-NKC,60,30,,
NV63-NCV,"30, 40, 50, 60, 63",30,,
NV100-NKC,"60, 75, 100",30,,
NV125-NCV,"60, 75, 100, 125",30,,
NV250-NCV,"125, 150, 175, 200, 225, 250",30,,
