フレーム,,,,T10,T12,T20,T21,T25,T32,T35,T50,
準拠規格,,,,"JIS･C8201-4-1,IEC60947-4-1,EN･IEC60947-4-1,BS･EN60947-4-1,DIN･EN60947-4-1(VDE0660-102)",,,,,,,,
形 　名,電磁接触器(サーマルリレーなし、開放形),,非可逆,S-T10,S-T12,S-T20,S-T21,S-T25,S-T32,S-T35,S-T50,
,,,可　逆,S-2×T10,S-2×T12,S-2×T20,S-2×T21,S-2×T25,S-2×T32,S-2×T35,S-2×T50,
,"電磁開閉器
(標準形2素子
サーマルリレー付)",開放形,非可逆,MSO-T10,MSO-T12,MSO-T20,MSO-T21,MSO-T25,ー,MSO-T35,MSO-T50,
,,,可　逆,,MSO-2×T10 MSO-2×T12 MSO-2×T20 MSO-2×T21 MSO-2×T25,,,,ー,,MSO-2×T35 MSO-2×T50,
,,組み合せサーマルリレー,,TH-T18,,,TH-T25,,ー,,TH-T25/T50 TH-T25/T50,
,"電磁開閉器
(3素子(2E)
サーマルリレー付)",開放形,非可逆,,MSO-T10KP MSO-T12KP MSO-T20KP MSO-T21KP MSO-T25KP,,,,ー,MSO-T35KP,MSO-T50KP,
,,,可　逆,,MSO-2×T10KP MSO-2×T12KP MSO-2×T20KP MSO-2×T21KP MSO-2×T25KP,,,,ー,,MSO-2×T35KP MSO-2×T50KP,
,,組み合せサーマルリレー,,TH-T18KP,,,TH-T25KP,,ー,TH-T25/T50KP,TH-T25/T50KP,
定 　格,"[V]
定格絶縁電圧(注13)･",,,690,,,,,,,,
,"定格インパルス耐電圧･
[kV]",,,6,,,,,,,,
,"定格周波数･
[Hz]",,,50/60,,,,,,,,
,汚損度,,,3,,,,,,,,
,"AC-3級　定格容量／定格使用電流
(三相かご形モータ負荷標準責務)(注1)
･
[kW/A]",,200～220V,2.2/11,2.7/13,3.7/18,4/18(20),5.5/26,7.5/32,7.5/34(35),11/50,
,,,380～440V,2.7/7,4/9,7.5/18,7.5/18(20),11/25,15/32,15/32,22/48,
,,,500～550V,2.7/6,5.5/9,7.5/17,,11/20,,15/26,22/38,
,"AC-4級　定格容量／定格使用電流
(三相かご形モータ負荷インチング責務)
･
[kW/A]",,200～220V,1.5/8,2.2/11,3.7/18,,4.5/20,5.5/26,5.5/26,7.5/35,
,,,380～440V,2.2/6,4/9,5.5/13,,7.5/17,11/24,11/24,15/32,
,,,500～550V,2.7/6,5.5/9,5.5/10,,7.5/12,7.5/13,11/17,15/24,
,"単相モータ負荷　定格容量／定格使用電流
(AC-3級)･
[kW/A]",,100～110V,0.4/11,0.55/13,0.75/18,0.9/18(20),1.2/26,1.5/32,1.7/34(35),ー,
,,,200～220V,0.8/11,1/13,1.5/18,1.8/18(20),ー,ー,ー,ー,
,"AC-1級　定格使用電流
[A]
(抵抗、ヒータ負荷)･",,200～240V,20,,,32,,,60,80,
,,,380～440V,11,13,18,32,,,60,80,
,,,500～550V,8,11,17,32,,,60,,
,"開放熱電流　Ith･
[A]",,,20,,,32,,,60,80,
補助接点,接点構成,標準付属(注7),非可逆,1a,1a1b,,2a2b,,ー,2a2b,,
,,,"可逆(注8,注10)",1a×2+2b,1a1b×2＋2b,,2a2b×2,,,,,
,,"オプション
追加最大(注9)",非可逆,UT-AX2/4：1個又はUT-AX11：2個,,,,,,,,
,,,"可逆(注8,注10)",UT-AX2/4/11：2個,,,,,ー,UT-AX2/4/11：2個,,
,"AC-15級　定格使用電流(コイル負荷)･
[A]",,100～120V,6,,,,,ー,6,,
,,,200～240V,3,,,,,ー,3,,
,"開放熱電流　Ith･
[A]",,,10,,,,,ー,10,,
性 　能,"機械的耐久性(注5)･
[万回]",,,1000,,,,,,,,
,"電気的耐久性(注6)･
[万回]",,AC-3級,200(注4),,,,,,,,
,,,AC-4級,3(注4),,,,,,,,
,,,AC-1級,50,,,,,,,,
,"開閉頻度･
[回/時]",,AC-3級,1800,,,,,,,1200,
,,,AC-4級,300,,,,,,,,
,,,AC-1級,1200,,,,,,,,
特性,"操作コイル入力（交流操作形）･
[VA]",,常　時,7,,,,,4.5,10,,
,,,投入瞬時,45,,,75,,55,110,,
外形寸法,"電磁接触器(サーマルリレーなし)
[mm]
(幅×縦×奥行)･",,非可逆,36×75×78,44×75×78,,63×81×81,,43×81×81,75×89×91,,
,,,可　逆,82×85×78,98×85×78,,136×81×81,,96×81×111,160×114×97,,
,"開放形電磁開閉器
[mm]
(幅×縦×奥行)･",,非可逆,46×115×79,,,63×128×82,,ー,75×157.5×91,,
,,,可　逆,90.5×125×79,98.5×125×79,,136×138×82,,ー,160×179×97,,
"取付け可能なオプションの形名（注 1
1
）",追加補助接点ユニット,2極品,,UT-AX2/AX11,,,,,,,,
,,4極品,,UT-AX4,,,,,,,,
,"コイル用
サージ吸収器ユニット
(注3)","バリスタ･
(注2)",,UT-SA21,,,,,,,,
,,CR,,UT-SA23,,,,,,,,
,,バリスタ＋CR,,UT-SA25,,,,,,,,
,"DC-AC
インタフェース",トライアック出力,,UT-SY21,,,,,,,,
,,接点出力,,UT-SY22,,,,,,,,
,充電部保護カバー,電磁開閉器用,非可逆,ー,,,,,,,,
,,,可　逆,ー,,,,,,,,
,,電磁接触器用,非可逆,ー,,,,,,,,
,,,可　逆,ー,,,,,,,,
,端子カバー,電磁開閉器用(非可逆),,（標準装備）,,,,,,,,
,,電磁接触器用(非可逆),,（標準装備）,,,,,,,,
,機械的インタロックユニット,,,UT-ML20(注12),,,UN-ML21,,,,,
