,T65,T80,T100,N125,N150,N180,N220,N300,N400,N600AB,N800AB
,"JIS･C8201-4-1,IEC60947-4-1,EN･IEC60947-4-1,BS･EN60947-4-1,DIN･EN60947-4-1(VDE0660-102)",,,,,,,,,,
,S-T65,S-T80,S-T100,S-N125,S-N150,S-N180,S-N220,S-N300,S-N400,S-N600AB,S-N800AB
,S-2×T65,S-2×T80,S-2×T100,S-2×N125,S-2×N150,S-2×N180,S-2×N220,S-2×N300,S-2×N400,S-2×N600AB S-2×N800AB,
,MSO-T65,MSO-T80,MSO-T100,MSO-N125,MSO-N150,MSO-N180,MSO-N220,MSO-N300,MSO-N400,ー,ー
,MSO-2×T65,,MSO-2×T80 MSO-2×T100 MSO-2×N125 MSO-2×N150 MSO-2×N180 MSO-2×N220 MSO-2×N300 MSO-2×N400,,,,,,,ー,ー
,TH-T65,,TH-T65/T100 TH-T65/T100 TH-N120(TA),,TH-N120(TA),TH-N220RH,TH-N220RH,TH-N400RH,TH-N400RH,TH-N600(+CT),TH-N600(+CT)
,MSO-T65KP,MSO-T80KP,,MSO-T100KP MSO-N125KP MSO-N150KP MSO-N180KP MSO-N220KP MSO-N300KP MSO-N400KP,,,,,,ー,ー
,,MSO-2×T65KP MSO-2×T80KP MSO-2×T100KP MSO-2×N125KP MSO-2×N150KP MSO-2×N180KP MSO-2×N220KP MSO-2×N300KP MSO-2×N400KP,,,,,,,,ー,ー
,TH-T65KP,,TH-T65/T100KP TH-T65/T100KP,TH-N120(TA)KP,TH-N120(TA)KP,TH-N220RHKP,TH-N220RHKP,TH-N400RHKP,TH-N400RHKP,TH-N600KP(+CT),TH-N600KP(+CT)
,690,,,,,690（1000）,,,,,
,6,,,,,,,,,,
,50/60,,,,,,,,,,
,3,,,,,,,,,,
,15/65,19/80,22/100,30/125,37/150,45/180,55/220,75/300,110/400,160/630,200/800
,30/65,37/80,45/93,60/120,75/150,90/180,110/220,150/300,200/400,300/630,400/800
,30/45,45/75,45/75,60/90,90/140,110/180,132/200,160/250,200/350,300/500,400/720
,11/50,15/65,19/80,22/93,30/125,37/150,45/180,55/220,75/300,110/400,160/630
,22/47,30/62,37/75,45/90,55/110,75/150,90/180,110/220,150/300,200/400,300/630
,22/38,30/45,37/55,45/65,55/80,75/140,90/140,110/200,150/250,200/350,300/500
,ー,,,,,,,,,,
,ー,,,,,,,,,,
,100,120,150,150,200,260,260,350,450,660,800
,100,120,150,150,200,260,260,350,450,660,800
,100,100,150,150,200,260,260,350,450,660,800
,100,120,150,150,200,260,260,350,450,660,800
,2a2b,,,,,,,,,,
,2a2b×2,,,,3a3b×2,,,,,4a4b×2,
,UN-AX2/4：1個又はUN-AX11：2個,,UN-AX80：2個,,UN-AX150：2個,,,,,UN-AX600：1個,
,UN-AX2/4/11：2個,,UN-AX80：2個,,ー,,,,,,
,6,,,,,,,,,,
,3,,,,,,,,,,
,10,,,,,,,,,,
,500,,,,,,,,,,
,200,100,,,,,,,50,,
,3(注4),,,,,,,,,1.2(注4),
,50,,,,,,,,,,
,1200,,,,,,,,,,
,300,,,,,,,,,150,60
,1200,,600,,,,,,,,
,20,,23,24,,40,,50,,90,
,115,,210,270,,440,,,,790,
,88×106×106,,100×124×127,100×150×137,120×160×145,138×204×175,,163×243×195,,290×310×230,
,216×115×112,,270×140×137,276×150×148,296×160×156,370×215×189,,395×250×209,,660×410×249,
,90×158×106,90×169.5×106,100×191×127,112×239×137,120×250×145,144×282×180.5,,163×360×195,,ー,
,216×169×112,216×180.5×112,270×208×137,276×251×148,296×276×156,370×304×194.5,,395×392×209,,ー,
,UN-AX2/AX11,,UN-AX80,,UN-AX150,,,,,ー,
,UN-AX4,,ー,,,,,,,UN-AX600,
,ー,,,,,,,,,,
,ー,,,,,,,,,,
,ー,,,,,,,,,,
,UN-SY31,,ー,,,,,,,,
,UN-SY32,,ー,,,,,,,,
,UN-CZ500+UN-CZ501,,"UN-CZ800+
UN-CZ801","UN-CZ1250+
UN-CZ1251","UN-CZ1500+
UN-CZ1501",UN-CV2201,,UN-CV3001,,ー,
,UN-CZ504,,UN-CZ804,UN-CZ1254,UN-CZ1504,UN-CV2201+UN-CV2200,,UN-CV3001+UN-CV3000,,ー,
,UN-CZ500×2,,,UN-CZ800×2 UN-CZ1250×2 UN-CZ1500×2,,UN-CZ2200×2又はUN-CV2200,,UN-CZ3000×2又はUN-CV3000,,ー,
,UN-CZ502,,UN-CZ802,UN-CZ1252,UN-CZ1502,UN-CV2200×2,,UN-CV3000×2,,ー,
,UT-CW800+UT-CW655,,ー,,,,,,,,
,UT-CW800,,ー,,,,,,,,
,UN-ML21,,UN-ML80,,UN-ML150,UN-ML220,,,,ー,
