"フレーム
AC-３級
定格容量[kW]
補助接点
(注4)
機 種",,,,,T10,T12,T20,T21,T25,T32,T35,T50,T65,,T80 T100 N125 N150 N180 N220 N300 N400 N600AB N800AB,,,,,,,,
,,,,220V,2.2,2.7,3.7,4,5.5,7.5,7.5,11,15,19,22,30,37,45,55,75,110,160,200
,,,,440V,2.7,4,7.5,7.5,11,15,15,22,30,37,45,60,75,90,110,150,200,300,400
,,,,標　準,1a,,1a1b 1a1b ← 2a2b →,,,－,,,,,,,,,,,,,
,,,,,,,,,,,2a2b,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,特　殊,1b,"2a
（注6）","2a
（注6）",－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
電 　　磁 　　開 　　閉 　　器,開 　　　　放 　　　　形,標準仕様,MSO-□,,◎,◎,◎,◎,◎,－,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,－,－
,,,MSOD-□,,－,○,○,○,－,－,○,○,○,○,○,○,○,－,○,○,○,－,－
,,"3素子（2E）
サーマル",MSO-□KP,,○,○,○,○,○,－,○,○,○,○,○,○,○,○,○,○,○,－,－
,,,MSOD-□KP,,－,○,○,○,－,－,○,○,○,○,○,○,○,－,○,○,○,－,－
,,飽和リアクトル付,MSO-□SR,,○,○,○,○,○,－,○,○,○,○,○,○,○,○,○,○,○,－,－
,,,MSOD-□SR,,－,○,○,○,－,－,○,○,○,○,○,○,○,－,○,○,○,－,－
,,"3素子（2E）サーマル
飽和リアクトル付",MSO-□KPSR,,－,－,－,○,○,－,○,○,○,○,○,○,○,○,○,○,○,－,－
,,,MSOD-□KPSR,,－,－,－,○,－,－,○,○,○,○,○,○,○,－,○,○,○,－,－
,,"2素子
速動特性サーマル",MSO-□FS,,－,－,－,○,○,－,○,○,○,○,○,－,－,－,－,－,－,－,－
,,,MSOD-□FS,,－,－,－,○,－,－,○,○,○,○,○,－,－,－,－,－,－,－,－
,,"3素子（2E）
速動特性サーマル",MSO-□FSKP,,○,○,○,○,○,－,○,○,○,○,○,－,－,－,－,－,－,－,－
,,,MSOD-□FSKP,,－,○,○,○,－,－,○,○,○,○,○,－,－,－,－,－,－,－,－
,,開放時間短縮形,MSO-□QM,,－,－,－,－,－,－,－,－,○,○,○,○,○,○,○,○,○,－,－
,,サージ吸収器取付形,MSO-□SA,,○,○,○,○,○,－,○,○,－,－,－,－,－,－,－,－,－,－,－
,,,MSOD-□SA,,－,○,○,○,－,－,○,○,－,－,－,－,－,－,－,－,－,－,－
,,配線合理化端子,MSO-□BC,,◎,◎,◎,◎,◎,－,○,○,－,－,－,－,－,－,－,－,－,－,－
,,,MSOD-□BC,,－,○,○,○,－,－,○,○,－,－,－,－,－,－,－,－,－,－,－
,,遅延釈放形,MSO-□DL,,－,○,－,○,－,－,○,○,○,○,○,－,○,－,○,○,○,－,－
,,端子カバー付,MSO-□CW,,－,－,－,－,－,－,－,－,○,"○
（注5）",－,－,－,－,－,－,－,－,－
,,,MSOD-□CW,,－,－,－,－,－,－,－,－,○,"○
（注5）",－,－,－,－,－,－,－,－,－
,,機械ラッチ式,MSOL-□,,－,－,－,○,－,－,○,○,○,○,○,○,○,－,○,○,○,－,－
,,,MSOLD-□,,－,－,－,○,－,－,○,○,○,○,○,○,○,－,○,○,○,－,－
電 　　磁 　　接 　　触 　　器,開 　　　　放 　　　　形,標準仕様,S-□,,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎
,,,SD-□,,－,◎,◎,◎,－,◎,◎,◎,◎,◎,◎,◎,◎,－,◎,◎,◎,○,○
,,サージ吸収器取付形,S-□SA(注1),,◎,◎,◎,◎,○,○,○,○,－,－,－,－,－,－,－,－,－,－,－
,,,SD-□SA,,－,○,○,○,－,○,○,○,－,－,－,－,－,－,－,－,－,－,－
,,開放時間短縮形,S-□QM,,－,－,－,－,－,－,－,－,○,○,○,○,○,○,○,○,○,－,－
,,配線合理化端子,S-□BC,,◎,◎,◎,◎,◎,◎,◎,◎,－,－,－,－,－,－,－,－,－,－,－
,,,SD-□BC,,－,◎,◎,◎,－,◎,◎,◎,－,－,－,－,－,－,－,－,－,－,－
,,"スプリング
クランプ端子付",S-□SQ,,－,○,○,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,,SD-□SQ,,－,○,○,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
,,端子カバー付,S-□CW,,－,－,－,－,－,－,－,－,○,○,－,－,－,－,－,－,－,－,－
,,,SD-□CW,,－,－,－,－,－,－,－,－,○,○,－,－,－,－,－,－,－,－,－
,,遅延釈放形,S-□DL,,－,○,－,○,－,－,○,○,○,○,○,－,○,－,○,○,○,－,－
,,機械ラッチ式,SL-□,,－,－,－,◎,－,－,◎,◎,◎,◎,◎,◎,◎,－,◎,◎,◎,○,○
,,,SLD-□,,－,－,－,◎,－,－,◎,◎,◎,◎,◎,◎,◎,－,◎,◎,◎,○,○
,,耐熱二種,S-□FN,,－,○,－,○,－,－,○,○,－,○,○,－,○,－,－,－,○,－,－
,,"耐熱二種
機械ラッチ式",SL-□FN,,－,－,－,○,－,－,－,○,－,○,○,－,○,－,－,－,○,－,－
,,,SLD-□FN,,－,－,－,○,－,－,－,○,－,○,○,－,○,－,－,－,○,－,－
