"フレーム
AC-３級
定格容量[kW]
補助接点 
(注2～注4)
機 種",,,,,"2×
T10","2×
T12","2×
T20","2×
T21","2×
T25","2×
T32","2×
T35","2×
T50","2×
T65","2×
T80","2×
T100","2×
N125","2×
N150","2×
N180","2×
N220","2×
N300","2×
N400","2×
N600AB","2×
N800AB"
,,,,220V,2.2,2.7,3.7,4,5.5,7.5,7.5,11,15,19,22,30,37,45,55,75,110,160,200
,,,,440V,2.7,4,7.5,7.5,11,15,15,22,30,37,45,60,75,90,110,150,200,300,400
,,,,標　準,"(1a×2)
+2b","(1a1b×2)
＋2b",,2a2b×2,,,,,,,,,3a3b×2,,,,,4a4b×2,
,,,,特　殊,"(1b×2)
+2b","(2a×2)＋
2b",,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
電 　　磁 　　開 　　閉 　　器,開 　　　　放 　　　　形,標準仕様,MSO-□,,◎,◎,◎,◎,◎,－,◎,◎,◎,◎,◎,◎,◎,◎,◎,○,○,－,－
,,,MSOD-□,,－,○,○,○,－,－,○,○,○,○,○,○,○,－,○,○,○,－,－
,,"3素子（2E）
サーマル",MSO-□KP,,○,○,○,○,○,－,○,○,○,○,○,○,○,○,○,○,○,－,－
,,,MSOD-□KP,,－,○,○,○,－,－,○,○,○,○,○,○,○,－,○,○,○,－,－
,,飽和リアクトル付,MSO-□SR,,○,○,○,○,○,－,○,○,○,○,○,○,○,○,○,○,○,－,－
,,,MSOD-□SR,,－,○,○,○,－,－,○,○,○,○,○,○,○,－,○,○,○,－,－
,,"3素子（2E）サーマル
飽和リアクトル付",MSO-□KPSR,,－,－,－,○,○,－,○,○,○,○,○,○,○,○,○,○,○,－,－
,,,MSOD-□KPSR,,－,－,－,○,－,－,○,○,○,○,○,○,○,－,○,○,○,－,－
,,"2素子
速動特性サーマル",MSO-□FS,,－,－,－,○,○,－,○,○,○,○,○,－,－,－,－,－,－,－,－
,,,MSOD-□FS,,－,－,－,○,－,－,○,○,○,○,○,－,－,－,－,－,－,－,－
,,"3素子（2E）
速動特性サーマル",MSO-□FSKP,,○,○,○,○,○,－,○,○,○,○,○,－,－,－,－,－,－,－,－
,,,MSOD-□FSKP,,－,○,○,○,－,－,○,○,○,○,○,－,－,－,－,－,－,－,－
,,サージ吸収器取付形,MSO-□SA,,○,○,○,○,○,－,○,○,－,－,－,－,－,－,－,－,－,－,－
,,,MSOD-□SA,,－,○,○,○,－,－,○,○,－,－,－,－,－,－,－,－,－,－,－
,,配線合理化端子,MSO-□BC,,○,○,○,○,○,－,○,○,－,－,－,－,－,－,－,－,－,－,－
,,,MSOD-□BC,,－,○,○,○,－,－,○,○,－,－,－,－,－,－,－,－,－,－,－
,,端子カバー付,MSO-□CW,,－,－,－,－,－,－,－,－,○,"○
（注5）",－,－,－,－,－,－,－,－,－
,,,MSOD-□CW,,－,－,－,－,－,－,－,－,○,"○
（注5）",－,－,－,－,－,－,－,－,－
,,機械ラッチ式,MSOL-□,,－,－,－,○,－,－,○,○,○,○,○,○,○,－,○,○,○,－,－
,,,MSOLD-□,,－,－,－,○,－,－,○,○,○,○,○,○,○,－,○,○,○,－,－
電 　　磁 　　接 　　触 　　器,開 　　　　放 　　　　形,標準仕様,S-□,,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,◎,○,○
,,,SD-□,,－,○,○,○,－,○,○,○,○,○,○,○,○,－,○,○,○,○,○
,,サージ吸収器取付形,S-□SA(注1),,○,○,○,○,○,○,○,○,－,－,－,－,－,－,－,－,－,－,－
,,,SD-□SA,,－,○,○,○,－,○,○,○,－,－,－,－,－,－,－,－,－,－,－
,,配線合理化端子,S-□BC,,○,○,○,○,○,○,○,○,－,－,－,－,－,－,－,－,－,－,－
,,,SD-□BC,,－,○,○,○,－,○,○,○,－,－,－,－,－,－,－,－,－,－,－
,,端子カバー付,S-□CW,,－,－,－,－,－,－,－,－,○,○,－,－,－,－,－,－,－,－,－
,,,SD-□CW,,－,－,－,－,－,－,－,－,○,○,－,－,－,－,－,－,－,－,－
,,機械ラッチ式,SL-□,,－,－,－,○,－,－,○,○,○,○,○,○,○,－,○,○,○,○,○
,,,SLD-□,,－,－,－,○,－,－,○,○,○,○,○,○,○,－,○,○,○,○,○
,,耐熱二種,S-□FN,,－,－,－,○,－,－,○,○,－,○,○,－,○,－,－,－,○,－,－
,,"可逆接続導体付
（電源負荷側とも）",S-□SD,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,－,－
,,,SD-□SD,,－,○,○,○,－,○,○,○,○,○,○,○,○,－,○,○,○,－,－
,,"電源側3極同相
渡り導体付",S-□SG,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,－,－
,,,SD-□SG,,－,○,○,○,－,○,○,○,○,○,○,○,○,－,○,○,○,－,－
,,"負荷側3極同相
渡り導体付",S-□SX,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,－,－
,,,SD-□SX,,－,○,○,○,－,○,○,○,○,○,○,○,○,－,○,○,○,－,－
,,"負荷側3極逆相
切換渡り導体付",S-□SF,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,－,－
,,,SD-□SF,,－,○,○,○,－,○,○,○,○,○,○,○,○,－,○,○,○,－,－
