項　目,用　途,用　語　の　意　味,代表形名・表示
1.･機器,(1)･電磁開閉器(マグネットスイッチ),電磁接触器(コンタクタ)と熱動形保護継電器(サーマルリレー)を組合せたもの。,開放形：MSO(D)-□､MSOL(D)-□
,(2)･電磁接触器(コンタクタ),"主接点部を電磁石の力によって開閉する接触器で、開閉する主回路の種類(ACかDC
か)によって交流電磁接触器と直流電磁接触器とがある。","主回路交流・直流両用：Ｓ(D)-□､SL(D)-□
主回路直流専用：DU(D)-□"
,(3)･交流操作形電磁接触器,交流(AC)電源によって動作する電磁石を持つ電磁接触器。,S-□
,(4)･直流操作形電磁接触器,直流(DC)電源によって動作する電磁石を持つ電磁接触器。,SD-□
,(5)･機械ラッチ式電磁接触器,"投入コイルへ電圧を印加して接点を閉路(ON)し、その後、コイルへの電圧印加を
OFFしても接点閉路(ON)を機械ラッチ機構で保持する電磁接触器。開路(OFF)は引
外しコイルへ電圧を印加することで開路(OFF)可能。",SL(D)-□
,(6)･遅延釈放形電磁接触器,"操作回路の電圧降下や瞬時停電が発生しても、搭載されたコンデンサの放電により閉
路(ON)状態を数秒間、保持することができる電磁接触器。",S-□DL
,(7)･可逆式電磁接触器,"2台の電磁接触器を組み合わせて、3相回路の相順を入れ替えることでモータの正
転・逆転運動を可能にした電磁接触器。",S-(D)-2×□､SL(D)-2×□
,(8)･熱動形保護継電器(サーマルリレー),"モータ電流が過負荷・拘束・欠相等により過電流となったとき、内部のバイメタルが加
熱・湾曲し、接点が開閉するリレー。その接点動作により、電磁接触器などを操作（OFF
させる）し、モータの焼損を未然に防止することが可能。",TH-□
2.･定格,(1)･定格絶縁電圧,耐電圧を保証し、絶縁距離を決定する基準となる電圧。,□V(AC､DC共通)
,(2)･定格使用電圧,閉路容量、遮断容量、開閉頻度及び開閉耐久性に関連して適用を決定する電圧。,AC□～□V、ＤＣ□Ｖ
,(3)･定格容量,定格使用電圧における最大適用負荷の容量。,モータ□φ□kW、抵抗□φ□kW
,(4)･定格使用電流,定格使用電圧において性能を満足して使用できる最大電流。,AC-3□A、AC-4□A、DC1□A
