"適　用
フレーム",定　格　容　量　[kW],,,,,,,,,,"定格絶縁電圧
[V]"
,標　準　責　務,,,,,寸　動　責　務,,三相抵抗負荷（AC-1級）,,,
,三相かご形モータ（AC-3級）,,,"単相モータ適用容量
（AC-3級）",,"三相かご形モータ
（AC-4級）",,,,,
,200～220V,380～440V,500～550V,100～110V,200～220V,200～220V,380～550V,200～240V,400～440V,500～550V,
T10,2.2,2.7,2.7,0.4,0.8,1.5,2.7(2.2),6.5,8,7,690
T12,2.7,4,5.5,0.55,1,2.2,5.5(4),6.5,10,9.5,
T20,3.7,7.5,7.5,0.75,1.5,3.7,5.5,6.5,12,14.5,
T21,4,7.5,7.5,0.9,1.8,3.7,5.5,11,22,25,
T25,5.5,11,11,1.2,－,4.5,7.5,11,22,25,
T32,7.5,15,11,1.7,ー,5.5,7.5(11),11,22,25,
T35,7.5,15,15,1.7,ー,5.5,11,20,40,50,
T50,11,22,22,ー,ー,7.5,15,27,55,50,
T65,15,30,30,ー,ー,11,22,34,68,85,
T80,19,37,45,ー,ー,15,30,41,83,85,
T100,22,45,45,ー,ー,19,37,50,100,120,
N125,30,60,60,ー,ー,22,45,50,100,120,
N150,37,75,90,ー,ー,30,55,65,130,170,
N180,45,90,110,ー,ー,37,75,90,180,220,"690･
（1000）"
N220,55,110,132,ー,ー,45,90,90,180,220,
N300,75,150,160,ー,ー,55,110,120,240,300,
N400,110,200,200,ー,ー,75,150,155,310,380,
N600AB,160,300,300,ー,ー,110,200,220,440,570,
N800AB,200,400,400,ー,ー,160,300,270,540,700,
