"適　用
フレーム",モ　ー　タ　負　荷,,,,,,抵　抗　負　荷,,,開放熱電流
,AC-3級定格使用電流[A],,,AC-4級定格使用電流[A],,,AC-1級定格使用電流[A],,,(注1）
,200～220V,380～440V,500～550V,200～220V,380～440V,500～550V,200～240V,400～440V,500～550V,Ith[A]
T10,11,7,6,8,6,6,20,11,8,20
T12,13,9,9,11,9,9,20,13,11,20
T20,18,18,17,18,13,10,20,18,17,20
T21,18(20),18(20),17,18,13,10,32,32,32,32
T25,26,25,20,20,17,12,32,32,32,32
T32,32,32,20,26,24,13,32,32,32,32
T35,34(35),32,26,26,24,17,60,60,60,60
T50,50,48,38,35,32,24,80,80,60,80
T65,65,65,45,50,47,38,100,100,100,100
T80,80,80,75,65,62,45,120,120,100,120
T100,100,93,75,80,75,55,150,150,150,150
N125,125,120,90,93,90,65,150,150,150,150
N150,150,150,140,125,110,80,200,200,200,200
N180,180,180,180,150,150,140,260,260,260,260
N220,220,220,200,180,180,140,260,260,260,260
N300,300,300,250,220,220,200,350,350,350,350
N400,400,400,350,300,300,250,450,450,450,450
N600AB,630,630,500,400,400,350,660,660,660,660(800)
N800AB,800,800,720,630,630,500,800,800,800,800(1000)
