フレーム,"定格電圧
DC(V)","DC2,DC4級定格使用電流
（直流モータ負荷）[A]",,"DC1級定格使用電流
（抵抗負荷）[A]",,"DC-13級定格使用電流
（直流電磁石負荷）[A]",,
,,2極直列,3極直列,2極直列,3極直列,単極,2極直列,3極直列
T10,"24
48
110
220","8 4
2.5
0.8",8 6 4 2,"10
10
6 3","10
10
8 8","5 3
0.6
0.2","8 4 2
0.3","8 6 3
0.8"
T12,"24
48
110
220","12
6 4
1.2","12
10
8 4","12
12
10
7","12
12
12
12","7 5
1.2
0.2","12
6 3
0.5","12
10
5 2"
T20,"24
48
110
220","18
15
8 2","18
18
15
8","18
18
13
8","18
18
18
18","10
5
1.2
0.2","14
7 3
0.5","15
12
5 2"
T21,"24
48
110
220","20
15
8 2","20
20
15
8","20
20
15
10","20
20
20
20","12
8
1.5
0.25","20
12
3
1.2","20
15
10
4"
T25、T32,"24
48
110
220","25
20
10
3","25
25
20
10","25
25
25
12","25
25
25
22","15
10
1.5
0.25","25
15
4
1.2","25
25
12
4"
T35,"24
48
110
220","35
20
10
3","35
30
20
10","35
35
25
12","35
35
35
30","15
10
1.5
0.25","35
15
4
1.2","35
25
12
4"
T50,"24
48
110
220","45
25
15
3.5","50
35
30
12","50
40
35
15","50
50
50
40",,,
T65,"24
48
110
220","45
25
15
3.5","50
35
30
12","50
40
35
15","65
65
65
50",,,
T80,"24
48
110
220","65
40
20
5","80
60
50
20","80
65
50
20","80
80
80
60",,,
T100,"24
48
110
220","93
60
40
30","93
90
80
50","93
93
80
50","93
93
93
70",,,
N125,"24
48
110
220","120
60
40
30","120
90
80
50","120
100
80
50","120
120
100
80",,,
N150,"24
48
110
220","150
100
80
60","150
130
120
80","150
120
100
100","150
150
150
150",,,
N180(N220),"24
48
110
220","180(220)
150
120
80","180(220)
180(220)
150
100","180(220)
180
150
150","180(220)
180(220)
180(220)
180(220)",,,
N300,"24
48
110
220","300
200
150
90","300
280
200
150","300
240
200
200","300
300
300
300",,,
N400,"24
48
110
220","400
200
150
90","400
280
200
150","400
240
200
200","400
400
400
300",,,
N600AB(N800AB),"24
48
110
220","630(800)
630
630
630","630(800)
630
630
630","630(800)
630(800)
630
630","630(800)
630(800)
630(800)
630(800)",,,
